Swabian	Scots	probability
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɛ_m	ˈaːɪ̯	1.0
ˈɔə̯	ˈø	1.0
ˈɔ	ˈo	1.0
ˈuː	-	1.0
ˈo_ɡ	ˈaɪ̯	1.0
ˈo_l	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiə̯_ɡ	ˈiː	1.0
ˈiə̯	ˈi	1.0
ˈeː_ɡ	ˈɛː	1.0
ˈeə̯	ˈɛ	1.0
ˈaː_ɡ	ˈeː	1.0
ˈa_ʕ	ˈeː_r	1.0
ˈa_l	ˈɑː	1.0
ʃ_l	s_l	1.0
ʃ_d	s_t	1.0
ɪ	e	1.0
ɡ_s	k_s	1.0
ŋ	ŋ	1.0
t	d	1.0
s_a	t	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ŋ	1.0
h	h	1.0
f_a	p	1.0
eə̯	i_n	1.0
e	-	1.0
d_ʁ	d_r	1.0
b̥͡f	pʰ	1.0
a	-	0.939
b	b	0.872
f	f	0.866
ʋ	w	0.847
ˈɔe̯	ˈe	0.833
ʕ	r	0.833
ˈoː	-	0.822
n	n	0.817
ˈəi̯	ˈəi̯	0.796
ˈe	ˈɪ	0.785
ʌ	ə_r	0.753
ˈaː	-	0.684
ˈi	ˈɪ	0.679
ç	k	0.645
ʃ	ʃ	0.615
ˈɔː	-	0.583
ˈeː	-	0.583
ʦ	tʰ	0.582
ˈu	ˈɪ	0.581
s	s	0.543
d	d	0.527
ˈo	ˈʌ	0.526
ʁ	r	0.518
ˈae̯	-	0.504
ˈɛ	ˈɛ	0.49
ˈao̯	ˈu	0.488
x	ç	0.462
ˈu	-	0.419
ʦ	t	0.418
ˈeː	ˈiː	0.417
ɡ	ɡ	0.39
ɡ	k	0.386
ʃ	s	0.385
ˈuə̯	ˈø	0.375
ç	ç	0.355
ˈi	-	0.321
ˈaː	ˈø	0.316
ˈɔː	ˈi	0.314
ˈo	-	0.291
ˈae̯	ˈəi̯	0.285
x	x	0.278
s	t	0.269
d	θ	0.267
ʁ	r_ˈi	0.262
x	k	0.26
ˈuə̯	ˈɪ	0.25
ˈuə̯	ˈi	0.25
ʌ	r	0.247
ˈɛ	ˈɪ	0.245
ˈa	ˈa	0.243
ˈa	ˈɑː	0.241
ʁ	r_ˈɛ	0.219
ˈe	ˈa	0.215
ˈae̯	ˈiː	0.211
ˈəi̯	ˈɪ	0.204
ˈa	ˈɪ	0.201
ˈao̯	ˈuː	0.188
ˈo	ˈo	0.183
n	-	0.183
ˈoː	ˈe	0.178
ˈa	ˈeː	0.168
ˈɔe̯	-	0.167
ˈao̯	ˈi	0.165
ˈao̯	ˈiː	0.159
ɡ	-	0.15
ˈa	ˈe	0.146
s	z	0.139
b	-	0.128
ˈuə̯	ˈøː	0.125
ˈɔː	ˈoː	0.103
d	ð	0.1
ˈɛ	ˈi	0.089
ˈɛ	-	0.089
ˈɛ	ˈa	0.087
ʕ	-	0.085
ʕ	ˈeː_r	0.082
f	f_ˈo	0.08
ʋ	-	0.078
ʋ	ʍ	0.075
d	t	0.073
a	ə_n	0.061
f	v	0.054
