Logudorese	Friulian	probability
ĕ	i	1.0
f	f	1.0
lː	l	1.0
ŏ	i	1.0
tː	t	1.0
w	w	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʃː	s	1.0
a	a	0.131
b	v	0.451
j	u	0.191
k	k	0.221
m	ŋ	0.161
o	w	0.171
s	-	0.081
z	-	0.431
ð	t	0.351
ˈi	ˈeː	0.121
ˈo	ˈuː	0.11
a	-	0.152
a	e	0.702
i	i	0.302
k	ɡ	0.112
l	l	0.922
o	o	0.272
r	l	0.102
t	-	0.122
z	j	0.072
ɖ	t	0.112
ˈe	ˈi	0.162
ˈi	ˈe	0.222
ˈi	ˈi	0.42
ˈo	ˈo	0.142
b	b	0.23
bː	b	0.173
e	e	0.063
e	i	0.063
j	j	0.253
r	r	0.463
ɡ	ɡ	0.113
ɡ	ɟ	0.173
ɣ	-	0.423
ˈu	ˈu	0.503
b	p	0.064
d	t	0.084
n	n	0.864
o	u	0.244
rː	r	0.764
sː	s	0.074
z	s	0.384
ˈa	ˈaː	0.384
ˈe	j	0.074
ˈo	w	0.264
ˈu	ˈo	0.304
ă	-	0.5
ă	i	0.5
j	z	0.325
k	ʧ	0.175
m	m	0.75
u	-	0.825
v	b	0.305
v	ŋ	0.695
ŋ	n	0.195
ʦ	ʧ	0.5
ʦ	t	0.5
ˈo	ˈɔ	0.205
ˈu	ˈɔ	0.055
ˈu	ˈuː	0.095
β	f	0.235
d	d	0.836
k	c	0.356
nː	ɲ	0.326
nː	n	0.466
r	-	0.436
t	j	0.06
z	z	0.056
ɡ	v	0.116
ʣ	-	0.956
ˈa	ˈa	0.596
ˈi	ˈaː	0.066
b	k	0.137
bː	ɡ	0.637
k	-	0.137
p	p	0.927
z	ʧ	0.057
ŋ	ɲ	0.367
ɡ	ʤ	0.417
ˈe	ˈɛ	0.337
β	-	0.127
b	ɡ	0.08
i	e	0.078
j	ʤ	0.198
l	j	0.078
n	-	0.078
nː	m	0.208
sː	ʧ	0.238
sː	-	0.688
ŋ	ŋ	0.438
ɖ	ɟ	0.888
ɡ	-	0.168
ɣ	ʧ	0.18
ˈi	ˈu	0.058
β	v	0.608
bː	r	0.19
d	-	0.079
e	-	0.809
i	-	0.499
m	-	0.089
o	a	0.059
o	j	0.089
o	-	0.129
rː	ˈɛː	0.199
s	s	0.919
t	t	0.759
u	i	0.129
ð	d	0.649
ɣ	k	0.09
ɣ	s	0.249
ˈe	ˈiː	0.059
ˈe	ˈe	0.209
