Kashubian	Kashubian	probability
ˈ_#>	̂_#>	1.0
ʧ_i	a_k	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɾ	r	1.0
ɲ	n	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡ	ɡ	1.0
ɛ_ˈ	̂	1.0
ə_#>	#>	1.0
ɔ_#>	o_#>	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
w_ʉ	u	1.0
v_j	ʋ	1.0
u_ˈ	̂	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_i	a_r	1.0
õ	uː	1.0
n_i	a_n	1.0
n	n	1.0
m	m	1.0
k_#>	k_#>	1.0
j_ã	eː	1.0
i_#>	#>	1.0
f_j	ʋ	1.0
f	ʋ	1.0
d̥_#>	d_#>	1.0
d_w	l	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
a_#>	a_#>	1.0
<#_u̯ɛ	<#_o	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
k	k	0.895
v	ʋ	0.842
p	p	0.833
u̯ɛ	o	0.714
r	r	0.684
r̝	r	0.636
ʧ	-	0.6
l	ʎ	0.6
#>	o_#>	0.6
ˈ	̂	0.598
j	j	0.571
w	l	0.545
ɛ	e	0.5
ə	i	0.5
ã	eː	0.5
ã	-	0.5
a	a	0.5
i	i	0.444
ʦ	t	0.417
ɞ	-	0.417
ʧ	ʧ	0.4
l	l	0.4
#>	a_#>	0.4
ə	iː	0.375
w	-	0.364
u	oː	0.364
u	o	0.364
i	iː	0.333
ɛ	a	0.321
r	-	0.316
ɔ	o	0.312
e	e	0.3
e	-	0.3
ˈ	̌	0.299
ʦ	t_i	0.292
u	eː	0.273
ɞ	eː	0.25
ɔ	e	0.25
ɔ	aː	0.25
i	a	0.222
a	e	0.222
j	e	0.214
j	-	0.214
ʦ	ʦ	0.208
e	j_eː	0.2
e	eː	0.2
ɔ	oː	0.188
r̝	r̩	0.182
r̝	r_j	0.182
ɞ	uː	0.167
ɞ	aː	0.167
p	-	0.167
a	-	0.167
v	u	0.158
u̯ɛ	oː	0.143
u̯ɛ	a	0.143
ə	uː	0.125
a	j	0.111
ɛ	eː	0.107
k	-	0.105
w	uː	0.091
ʦ	a_t	0.083
ɛ	r̩	0.071
