Corsican	Corsican	probability
ˈɛ_r	ˈeː_r	1.0
ˈɔ_n	ˈɔ_n	1.0
ˈu_tː	ˈoː_t	1.0
ˈa_m	ˈa_m	1.0
ˈa_l	ˈa_ɫ	1.0
ʧː	-	1.0
ʧ_e	k_ɛ̃ː	1.0
ʦː	t_i	1.0
ʦ	t	1.0
ʤ	ɡ	1.0
ʣ	-	1.0
ʒ	s_i	1.0
ʎ	lʲ_i	1.0
ʃː	s_k	1.0
ʃ	s	1.0
ɡ_w	ɡʷ	1.0
ŋ	ŋ	1.0
z	s	1.0
w	kʷ	1.0
u_l	ɫ	1.0
t_u	t_ʊ̃ː	1.0
t_r	t_r	1.0
t_e	t_ɛ̃ː	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
rː	rː	1.0
r_ˈa	r_ˈaː	1.0
r_u	r_ʊ̃ː	1.0
r_t	r_t	1.0
p_u	p_ʊ̃ː	1.0
p_j	p_ɫ	1.0
p	p	1.0
nː	-	1.0
mː	mː	1.0
m	m	1.0
lː	lʲː	1.0
k_w	kʷ	1.0
k_r	k_r	1.0
k_a	k_a	1.0
k	k	1.0
j_#>	s_#>	1.0
i_m	ĩː	1.0
fː	fː	1.0
f	f	1.0
e_r	ɛ_r	1.0
dː	ɡ_ɪ	1.0
d_u	d_ʊ̃ː	1.0
d_i	d_ɪ	1.0
c	k_ʊ	1.0
bː	b_ʊ	1.0
b	b	1.0
<#_ˈɛ	<#_ˈɪ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_c	<#_k_ɫ	1.0
<#_a	<#_a	1.0
<#	<#_h	1.0
r	r	0.956
n	n	0.95
d	d	0.929
ˈe	ˈɛ	0.862
v	w	0.857
ʧ	k	0.833
l	ɫ	0.833
ˈu	ˈuː	0.808
ˈi	ˈiː	0.75
a	ãː	0.737
u	ʊ̃ː	0.676
kː	kː	0.667
ɟ	ɡ	0.611
tː	k_t	0.583
e	ɛ̃ː	0.536
ˈɔ	ˈɔ	0.5
ˈa	ˈaː	0.5
ɡ	ɡ	0.5
ɡ	k	0.5
o	ʊ̃ː	0.5
o	-	0.5
ˈa	ˈa	0.471
j	ɫ	0.462
#>	ɛ_#>	0.386
i	ɪ	0.385
ɲ	n_i	0.375
ɲ	n_e	0.375
ˈɛ	ˈɛ	0.356
#>	r_ɛ_#>	0.341
kː	-	0.333
ˈo	ˈoː	0.318
j	-	0.308
ɟ	j	0.278
ˈo	ˈʊ	0.273
ɲ	ŋ_n	0.25
tː	tː	0.25
j	i	0.231
i	iː	0.231
ˈɛ	ˈɪ	0.222
ˈɛ	ˈeː	0.222
ˈɔ	ˈoː	0.204
ˈu	ˈʊ	0.192
i	eː	0.192
ˈo	ˈɔ	0.182
#>	s_#>	0.182
ˈɔ	ˈʊ	0.167
ʧ	kʷ	0.167
tː	p_t	0.167
l	lʲ	0.167
e	ɛ	0.159
e	ɛ_r	0.145
ˈo	-	0.136
ɟ	-	0.111
ˈe	ˈɪ	0.103
a	a	0.101
ˈi	-	0.094
ˈo	ˈau̯	0.091
#>	ɛ̃ː_#>	0.091
u	ɔ	0.09
ˈɛ	ɛ	0.089
v	b	0.086
u	ʊ	0.081
i	ɛ	0.077
i	-	0.077
d	tʰ	0.071
ˈi	ˈi	0.062
a	aː	0.061
e	ɛ̃	0.058
v	-	0.057
ˈɔ	ˈau̯	0.056
u	ɛ̃ː	0.054
