Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɛ_ɡ̊	ˈɛi̯	1.0
ˈɔ_ɐ	ˈoə̯	1.0
ˈɒː	ˈɪə̯	1.0
ˈuː_d̥_#>	ˈɪə̯_#>	1.0
ˈuː_#>	ˈoː_#>	1.0
ˈaː_x	ˈɪə̯_k	1.0
ˈaː_#>	ˈiə̯_n_#>	1.0
ˈaʊ̯	ˈuː	1.0
ˈaɪ̯_#>	ˈɛ_j_#>	1.0
ˈa	k_ˈɛ	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	r	1.0
ɪ	ɪ	1.0
ɡ̊_n	χ	1.0
ɡ̊_#>	ɣ_ə_#>	1.0
ə	-	1.0
z̥_n	t_ə	1.0
z̥	t_ə	1.0
v̥	p	1.0
v_ˈɔ	ʋ	1.0
t	t_j	1.0
s_#>	s_#>	1.0
n_d̥	n	1.0
l_d̥	d̥	1.0
i	-	1.0
h	h	1.0
f_a	v_ə	1.0
f_#>	p_#>	1.0
eː	ɪ_n	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
<#_ˈɛ	<#	1.0
<#_ɡ̊	<#_k	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
l	l	0.936
m	m	0.931
f	f	0.92
r	r	0.833
ˈɔ	ˈɔ	0.778
a	ə	0.75
#>	n_#>	0.75
n_a	n_ə	0.667
ŋ	ŋ	0.643
ɡ̊	ɡ	0.611
s	s	0.6
v	ʋ	0.593
ˈuː	ˈuə̯	0.571
ʃ	s	0.556
n	n	0.512
ɐ	r	0.5
x	χ	0.5
b̥_#>	f_#>	0.5
b̥_#>	#>	0.5
ʃ	s_k	0.444
ˈɛ	-	0.421
ˈɪ	ˈɪ	0.417
d̥	t	0.39
d̥	d	0.373
ˈɛ	ˈɛ	0.368
ç	k	0.364
ˈeː	ˈɪə̯	0.333
v	v	0.333
s	t	0.333
n_a	n	0.333
ˈaː	ˈɪə̯	0.308
ˈaː	-	0.308
n	ə	0.302
ˈɒ	ˈa	0.296
ˈiː	ˈiə̯	0.292
ˈuː	-	0.286
ˈʊ	ˈɔ	0.278
ɡ̊	k	0.278
ç	χ	0.273
ɐ	ə_r	0.263
ˈoː	ˈiə̯	0.25
ˈoː	-	0.25
ˈaɪ̯	ˈiː	0.25
ˈaɪ̯	ˈi	0.25
x	k	0.25
x	-	0.25
a	-	0.25
#>	χ_#>	0.25
ˈaː	ˈaː	0.231
ˈʊ	ˈu	0.222
ˈʊ	-	0.222
ˈɔ	-	0.222
ˈeː	ˈɛi̯	0.222
ˈeː	ˈeː	0.222
ˈeː	-	0.222
ŋ	n	0.214
ˈɛ	ˈɪ	0.211
ˈɪ	-	0.208
ˈiː	ˈɪ	0.208
d̥	d̥	0.203
ˈoː	ˈa	0.2
ˈɒ	ˈɔː	0.185
ˈɒ	-	0.185
ç	ˈɔ_χ	0.182
ç	ŋ	0.182
ˈʊ	ˈɪ	0.167
ˈɪ	ˈi	0.167
r	-	0.167
ˈaː	ˈɪ	0.154
ˈoː	ˈoə̯	0.15
ˈoː	ˈaː	0.15
ˈaɪ̯	-	0.15
ˈɒ	ˈaː	0.148
ˈuː	ˈɪə̯	0.143
ŋ	ɣ_j	0.143
ˈɪ	ˈɔ	0.125
ˈiː	ˈɪə̯	0.125
ˈiː	j_ˈɪ	0.125
ˈiː	j	0.125
ˈʊ	ˈuː	0.111
ˈɒ	ˈɪə̯	0.111
ɡ̊	χ	0.111
ˈaɪ̯	ˈuː	0.1
ˈaɪ̯	j_ˈuə̯	0.1
ˈaɪ̯	j	0.1
n	-	0.093
ˈɪ	ˈɛː	0.083
ˈiː	ˈiː	0.083
f	p	0.08
ɐ	-	0.079
ˈɒ	ˈɔ	0.074
v	-	0.074
m	-	0.069
s	ɕ	0.067
l	l_ə	0.064
ɐ	ˈɪə̯_r	0.053
ɐ	ˈoə̯	0.053
ɐ	ə	0.053
