Swiss German	North Frisian	probability
b̥	b	0.664
b̥	v	0.168
b̥	f	0.094
b̥	-	0.066
d̥	-	0.303
d̥	d	0.279
d̥	t	0.153
d̥	tʲ	0.081
d̥	nʲ	0.052
f	f	0.689
f	v	0.15
f	p	0.145
f	-	0.031
fː	b	0.574
fː	v	0.284
h	h	0.961
h	-	0.047
i	i	0.75
i	n	0.094
i	-	0.071
j	ˈiː	0.212
j	j	0.212
k	k	1.0
l	l	0.909
l	lʲ	0.04
l	j	0.031
l	-	0.03
l_t	lʲ	1.0
m	m	1.0
mː	m	1.0
n	n	0.876
n	-	0.121
p	-	0.326
p	p	0.326
p͡f	p	0.776
p͡f	d	0.173
r	r	0.96
rː	r	0.244
s	s	0.767
s	t	0.104
s	z	0.054
s	tʲ	0.038
s	ʃ	0.038
sː	t	0.302
sː	tʲ	0.263
sː	d	0.242
sː	z	0.16
t	d	0.483
t	t	0.367
t	dʲ	0.105
t	-	0.03
tː	d	1.0
w	l	0.244
ŋ	ŋ	0.747
ŋ	nʲ	0.095
ŋ	-	0.081
ŋ	n	0.06
ə	ə	0.723
ə	-	0.231
ə	j	0.045
ɡ̊	-	0.497
ɡ̊	ɡ	0.271
ɡ̊	ŋ	0.054
ɡ̊	d	0.054
ɡ̊	j_ə	0.047
ʃ	s	0.562
ʃ	ʃ	0.416
ʃ_ʋ	s	1.0
ʃː	ʃ	0.494
ʋ	v	0.81
ʋ	-	0.187
ʦ	t	1.0
ˈa	ˈa	0.268
ˈa	ˈuː	0.268
ˈa	ˈœ	0.175
ˈa	ˈʊ	0.102
ˈa	ˈɒː	0.066
ˈau̯	ˈuː	1.0
ˈe	ˈa	0.488
ˈe	ˈʊ	0.28
ˈe	ˈɛː	0.173
ˈei̯	ˈɔi̯	0.341
ˈei̯	ˈɒː	0.194
ˈei̯	ˈi	0.129
ˈei̯	nʲ	0.119
ˈeː	ˈiː_ə	0.477
ˈeː	ˈiː	0.477
ˈi	ˈa	0.196
ˈi	ˈi	0.149
ˈi	ˈʊ	0.13
ˈi	ˈai̯	0.13
ˈi	ˈɔː	0.093
ˈiə̯	ˈiː	0.382
ˈiə̯	ˈɒ	0.163
ˈiə̯	ˈa	0.163
ˈiə̯	ˈeː	0.163
ˈiə̯	ˈɔu̯	0.111
ˈiː	ˈi	0.76
ˈiː	ˈyː	0.103
ˈiː	ˈiː	0.103
ˈo	ˈɔ	0.264
ˈo	ˈɔː	0.185
ˈo	ˈœ	0.157
ˈo	ˈʊ	0.137
ˈo	ˈøː	0.119
ˈou̯	ˈuː	0.561
ˈou̯	ˈiː	0.173
ˈou̯	ˈɔː	0.173
ˈoː	ˈuː	0.397
ˈoː	ˈyː	0.308
ˈoː	ˈaː	0.111
ˈoː	ˈɛi̯	0.085
ˈoː	ˈɛː	0.085
ˈu	ˈʊ	0.484
ˈu	w	0.107
ˈu	ˈɔ	0.107
ˈu	ˈɔː	0.107
ˈu	ˈyː	0.105
ˈuə̯	ˈœ	0.778
ˈuə̯	ˈyː	0.167
ˈuː	ˈyː	0.689
ˈuː	ˈøː	0.105
ˈuː	ˈyː_s	0.102
ˈuː	ˈuː	0.072
ˈy	ˈʊ	0.149
ˈy	ˈeː	0.149
ˈy	ˈiː	0.149
ˈy	ˈi	0.109
ˈy	ˈa	0.106
ˈyə̯	ˈɛ	0.425
ˈyə̯	ˈɔu̯	0.37
ˈyə̯	ˈɛi̯	0.119
ˈyː	ˈiː	0.554
ˈyː	ˈɛi̯	0.142
ˈyː	ˈʏ	0.084
ˈyː	w	0.081
ˈyː	ˈyː	0.062
ˈæ	ˈeː	0.296
ˈæ	ˈɛː	0.191
ˈæ	ˈa	0.116
ˈæ	ˈʊ	0.091
ˈæ	ˈi	0.088
ˈæi̯	ˈiː	1.0
ˈæː	ˈɛi̯	0.322
ˈæː	ˈi	0.198
ˈæː	ˈiː	0.183
ˈæː	ˈa	0.112
ˈø	ˈɒː	0.315
ˈø	ˈeː	0.194
ˈø	ˈɔː	0.194
ˈø	ˈʏ	0.119
ˈøi̯	ˈiː	0.206
ˈøi̯	ˈyː	0.156
ˈøi̯	ˈɛː	0.156
ˈøi̯	ˈɔu̯	0.102
ˈøi̯	ˈai̯	0.102
ˈøː	ˈiː	0.517
ˈøː	ˈyː	0.194
ˈøː	ˈi	0.119
ˈɒ	ˈɒ	0.162
ˈɒ	ˈɒː	0.141
ˈɒ	ˈœ	0.113
ˈɒ	ˈɔː	0.104
ˈɒ	ˈuː	0.091
ˈɒː	ˈeː	0.218
ˈɒː	ˈɒː	0.186
ˈɒː	ˈɛi̯	0.162
ˈɒː	-	0.12
ˈɒː	ˈɔː	0.104
ˈɛi̯	ˈai̯	0.247
ˈɛi̯	nʲ	0.215
ˈɛi̯	ˈi	0.122
ˈɛi̯	ˈɒ	0.069
χ	k	0.519
χ	x	0.302
χ	-	0.108
χ	s	0.039
χ	ʃ	0.035
