Swiss German	North Frisian	probability
b̥	b	0.65
b̥	f	0.147
b̥	v	0.136
d̥	d	0.315
d̥	t	0.247
d̥	-	0.151
d̥	dʲ	0.118
d̥	nʲ	0.071
d̥	tʲ	0.054
f	f	0.653
f	p	0.202
f	v	0.083
f	-	0.052
fː	b	0.658
fː	v	0.342
h	h	0.897
h	-	0.103
i	i	0.858
i	ə	0.142
j	ˈiː	0.669
j	j	0.331
k	k	1.0
kː	k	1.0
l	l	0.884
m	m	0.954
mː	m	1.0
n	n	0.959
nː	n	1.0
p	p	0.818
p	-	0.182
p͡f	p	0.872
p͡f	-	0.128
r	r	0.894
r	-	0.074
rː	ˈɔː	1.0
s	s	0.774
s	tʲ	0.052
sː	tʲ	0.55
sː	t	0.182
sː	z	0.121
sː	d	0.089
sː	s	0.058
t	d	0.435
t	t	0.382
t	dʲ	0.149
tː	d	1.0
w	l	1.0
æ	ɛi̯	1.0
ŋ	ŋ	0.789
ŋ	nʲ	0.108
ŋ	n	0.071
ə	ə	0.97
ɡ̊	ɡ	0.342
ɡ̊	-	0.18
ɡ̊	j	0.141
ɡ̊	ŋ	0.127
ɡ̊	k	0.096
ɡ̊	d	0.095
ɡ̊ː	d	0.312
ɡ̊ː	j	0.312
ɡ̊ː	-	0.188
ɡ̊ː	w	0.188
ʃ	s	0.566
ʃ	ʃ	0.434
ʃː	ʃ	1.0
ʋ	v	0.862
ʋ	-	0.138
ʦ	t	1.0
ˈau̯	ˈuː	1.0
ˈe	ˈa	0.623
ˈe	ˈʊ	0.222
ˈe	ˈɛː	0.155
ˈei̯	ˈi	0.299
ˈei̯	ˈɔi̯	0.266
ˈei̯	nʲ	0.153
ˈei̯	ˈɒ	0.142
ˈei̯	ˈɒː	0.14
ˈeː	ˈiː	0.703
ˈeː	ˈuː	0.212
ˈeː	ˈai̯	0.085
ˈi	ˈa	0.184
ˈi	ˈi	0.128
ˈi	ˈai̯	0.126
ˈi	ˈʊ	0.117
ˈi	ˈiː	0.095
ˈi	ˈœ	0.078
ˈi	ˈu	0.071
ˈi	ˈɛ	0.068
ˈi	ˈeː	0.058
ˈiə̯	ˈɔu̯	0.294
ˈiə̯	ˈiː	0.232
ˈiə̯	ˈeː	0.209
ˈiə̯	ˈa	0.188
ˈiə̯	ˈɒ	0.076
ˈiː	ˈi	0.662
ˈiː	ˈiː	0.167
ˈiː	ˈyː	0.096
ˈiː	ˈa	0.074
ˈo	ˈɔ	0.527
ˈo	ˈœ	0.096
ˈo	ˈɔː	0.095
ˈo	ˈʊ	0.087
ˈo	ˈøː	0.076
ˈo	ˈɔu̯	0.062
ˈo	ˈʏ	0.057
ˈou̯	ˈuː	0.801
ˈou̯	ˈiː	0.1
ˈou̯	ˈɔː	0.1
ˈoː	ˈuː	0.288
ˈoː	ˈyː	0.252
ˈoː	ˈɔu̯	0.132
ˈoː	ˈaː	0.127
ˈoː	ˈɔː	0.073
ˈoː	ˈɛi̯	0.073
ˈoː	ˈɛː	0.055
ˈu	ˈʊ	0.467
ˈu	ˈyː	0.132
ˈu	ˈu	0.111
ˈu	ˈa	0.102
ˈu	ˈœ	0.065
ˈuə̯	ˈœ	0.744
ˈuə̯	ˈɛ	0.12
ˈuə̯	ˈyː	0.068
ˈuə̯	ˈœi̯	0.068
ˈuː	ˈøː	0.442
ˈuː	ˈyː	0.426
ˈuː	ˈuː	0.075
ˈuː	ˈʏ	0.057
ˈy	ˈa	0.198
ˈy	ˈʊ	0.198
ˈy	ˈɔ	0.17
ˈy	ˈeː	0.128
ˈy	ˈyː	0.088
ˈy	ˈiː	0.067
ˈyə̯	ˈɛ	0.477
ˈyə̯	ˈɛi̯	0.399
ˈyə̯	ˈɔu̯	0.123
ˈyː	ˈiː	0.518
ˈyː	w	0.144
ˈyː	ˈøː	0.115
ˈyː	ˈɛi̯	0.102
ˈyː	ˈʏ	0.08
ˈæ	ˈeː	0.218
ˈæ	ˈa	0.195
ˈæ	ˈɒ	0.162
ˈæ	-	0.104
ˈæ	ˈɛː	0.099
ˈæ	ˈɛi̯	0.063
ˈæ	ˈʊ	0.052
ˈæi̯	ˈiː	1.0
ˈæː	ˈɛi̯	0.416
ˈæː	ˈiː	0.252
ˈæː	ˈeː	0.136
ˈæː	ˈa	0.099
ˈæː	ˈi	0.098
ˈø	ˈɔː	0.43
ˈø	ˈeː	0.221
ˈø	ˈʏ	0.22
ˈø	ˈɒː	0.129
ˈøi̯	ˈɔu̯	0.319
ˈøi̯	ˈiː	0.251
ˈøi̯	ˈyː	0.227
ˈøi̯	ˈai̯	0.147
ˈøi̯	ˈɛː	0.056
ˈøː	ˈiː	0.699
ˈøː	ˈi	0.241
ˈøː	ˈyː	0.06
ˈɒ	ˈœ	0.211
ˈɒ	ˈuː	0.172
ˈɒ	ˈɒ	0.119
ˈɒ	ˈɒː	0.114
ˈɒ	ˈa	0.097
ˈɒ	ˈʊ	0.08
ˈɒ	ˈɔː	0.066
ˈɒː	-	0.228
ˈɒː	ˈeː	0.149
ˈɒː	ˈɛi̯	0.148
ˈɒː	ˈɒː	0.115
ˈɒː	ˈɔː	0.103
ˈɒː	ˈɛː	0.096
ˈɒː	ˈʊ	0.08
ˈɛi̯	ˈai̯	0.388
ˈɛi̯	nʲ	0.322
ˈɛi̯	ˈi	0.202
ˈɛi̯	ˈɒ	0.088
χ	k	0.601
χ	x	0.208
χ	-	0.133
χ	ʃ	0.058
