Slovenian	Belarusian	probability
e	ˈe	1.0
i	ˈɨ	1.0
o	v_ˈo	1.0
òː	ˈo	1.0
r	r	1.0
ɔ̀ː	a	1.0
ɔ́	ˈo	1.0
ɔ́ː	ˈo	1.0
ɛ̀ː	æ	1.0
ɛ́	ˈe	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʧ	ʧ	1.0
l	ʌ_ɫ	0.121
l	lʲ	0.561
p	pʲ	0.461
ɔ	ˈo	0.391
ɛ	ˈe	0.11
ɛ	a	0.241
àː	a	0.242
d	ʣʲ	0.632
éː	ˈɛ	0.112
íː	ˈɨ	0.292
k	k	0.572
m	mʲ	0.502
s	s	0.632
t	t	0.512
ɛ	æ	0.22
ʦ	-	0.102
áː	ˈo	0.293
ìː	ˈɨ	0.333
w	w	0.3
x	xʲ	0.323
z	z	0.483
ə́	ˈe	0.213
ʋ	vʲ	0.583
a	a	0.284
àː	ˈo	0.244
àː	ˈa	0.514
èː	ˈe	0.434
k	kʲ	0.124
ə	-	0.614
ɡ	ɣ_ˈo	0.184
b	bʲ	0.325
b	b	0.675
éː	æ	0.125
j	j	0.085
j	-	0.915
n	n	0.375
n	nʲ	0.445
ʋ	v	0.325
a	ˈa	0.716
èː	a	0.206
èː	æ	0.36
éː	ˈe	0.416
k	k_a	0.206
óː	a	0.336
óː	ˈo	0.606
w	lʲ	0.136
w	ɫ_ɨ	0.326
ə	ˈo	0.116
ɡ	ɣ	0.816
áː	a	0.707
éː	ˈæ	0.17
éː	a	0.177
ìː	ˈi	0.667
x	x	0.677
z	zʲ	0.517
ə	e	0.27
ə́	ˈɵ	0.787
d	d	0.368
íː	ˈi	0.708
k	x	0.098
l	ɫ	0.318
m	m	0.498
n	n_ɨ	0.18
óː	ˈu	0.058
s	sʲ	0.368
t	ʦʲ	0.488
w	ɫ	0.238
ʦ	ʦ	0.898
p	p	0.539
ɔ	a	0.609
ɛ	e	0.429
ʋ	w	0.069
