Upper Franconian	Upper Franconian	probability
β	β	1.0
ˈɛː	-	1.0
ˈɛ	ˈe	1.0
ˈɘ	ˈi_ɐ	1.0
ˈɒː	ˈɑː	1.0
ˈeː	ˈeː	1.0
ˈaʊ̯	ˈau̯	1.0
ˈaɪ̯	ˈai̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɾ	d̥	1.0
ɡ̊_ˈeː	kʰ	1.0
ɡ̊_n	ɡ̊_a	1.0
ə	n	1.0
ŋ	ŋ	1.0
ç_d̥	x_d̥	1.0
ç_#>	#>	1.0
z̥	s	1.0
v	ʋ	1.0
t	d̥	1.0
r	r	1.0
n_a	n_a	1.0
m	m	1.0
l_ˈaː	l	1.0
l_d̥	j_d̥	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f_n	f_a	1.0
f	f	1.0
eː	eɐ̯	1.0
d̥_ˈuː	d̥_ˈu	1.0
d̥_n	d̥_n	1.0
d̥	d̥	1.0
b̥͡v̥	b̥͡v̥	1.0
b̥_#>	#>	1.0
b̥	b̥	1.0
#>	ɡ̊_#>	1.0
s	s	0.952
ˈʊ	ˈu	0.875
ˈɪ	ˈi	0.87
n	n	0.83
ˈɔ	ˈo	0.812
x	x	0.786
ˈaː	ˈoɐ̯	0.688
ç	ɡ̊	0.667
ɡ̊	ɡ̊	0.656
ˈiː	ˈiɐ̯	0.571
l	l	0.553
a	a	0.545
ˈuː	ˈuɐ̯	0.5
ˈoː	ˈɒː	0.5
ɐ	a	0.489
l	j	0.447
ˈɒ	ˈɑ	0.417
ɐ	ɐ	0.378
ˈɒ	ˈo	0.375
ɡ̊	kʰ	0.344
ç	ç	0.333
ˈaː	ˈaː	0.312
ˈuː	ˈou̯	0.278
a	ə	0.273
ˈoː	-	0.222
x	ɡ̊	0.214
ˈiː	ˈi	0.19
ˈɔ	ˈɒː	0.188
a	-	0.182
ˈoː	ˈoː	0.167
ˈiː	ˈiː	0.143
ˈɪ	ˈu	0.13
ˈʊ	-	0.125
ˈɒ	-	0.125
ˈuː	ˈoː	0.111
ˈuː	-	0.111
ˈoː	ˈɑː	0.111
ˈiː	-	0.095
n	a	0.094
ˈɒ	ˈa	0.083
n	-	0.075
ɐ	r	0.067
ɐ	d̥_a	0.067
