Icelandic	Ripuarian	probability
a	ə	0.926
aːu̯	e	1.0
b̥	b	0.98
c	-	0.476
c	k	0.462
c	ɕ	0.062
cʰ	k	1.0
d̥	d	0.562
d̥	k	0.185
d̥	t	0.124
d̥	-	0.119
f	f	1.0
h	h	1.0
j	-	0.462
j	ˈeː	0.33
j	ˈiː	0.108
k	ɕ	0.471
k	-	0.245
k	x	0.176
k	k	0.109
kʰ	k	0.65
kʰ	ʋ	0.176
kʰ	-	0.101
kʰ	f	0.073
l	l	0.869
l	ə_l	0.099
l̥	l	1.0
m	m	0.954
n	n	0.62
n	ŋ	0.312
n	-	0.068
nː	n	0.698
nː	ŋ	0.265
n̥	-	0.377
n̥	n	0.359
n̥	ə	0.264
p	f	0.805
p	m	0.11
r	ʀ	0.499
r	ɐ	0.281
r	-	0.183
rː̥	ɕ	1.0
r̥	-	0.917
r̥	ɐ	0.069
s	z	0.425
s	ʃ	0.37
s	s	0.158
sː	s	1.0
t	s	0.545
t	-	0.212
t	t	0.141
t	ʦ	0.102
tʰ	ʦ	0.972
u	-	0.5
u	ɪ	0.5
v	ʋ	0.33
v	v	0.276
v	f	0.158
v	-	0.148
x	ɕ	1.0
ç	h	1.0
ð	t	0.507
ð	d	0.356
ð	k	0.089
ŋ	ŋ	0.763
ŋ	n	0.189
ɑu̯	ə	1.0
ɛ	-	0.5
ɛ	ə	0.5
ɟ̊	j	0.759
ɟ̊	-	0.12
ɟ̊	ɣ	0.12
ɟ̊ː	k	1.0
ɡ̊	-	0.42
ɡ̊	j	0.308
ɡ̊	k	0.185
ɡ̊	ɕ	0.087
ɡ̊ː	k	0.871
ɡ̊ː	-	0.129
ɣ	ɕ	0.552
ɣ	x	0.448
ɪ	ɐ	0.705
ɪ	-	0.295
ɲ	ŋ	1.0
ʏ	-	0.887
ʏ	ɐ	0.088
ʰc	k	1.0
ʰk	ŋ_k	0.569
ʰk	k	0.431
ʰp	p	1.0
ʰt	ɕ	0.414
ʰt	x	0.328
ʰt	ʦ	0.214
ˈa	ˈa	0.323
ˈa	ˈɛː	0.252
ˈa	ˈɛ	0.192
ˈa	ˈɪ	0.112
ˈa	ˈaː	0.099
ˈai̯	ˈœ	0.647
ˈai̯	ˈʏ	0.207
ˈai̯	ˈøː	0.146
ˈau̯	ˈoː	0.47
ˈau̯	ˈɛ	0.465
