Icelandic	Ripuarian	probability
a	ə	0.6
a	-	0.4
b̥	b	0.937
b̥	-	0.063
b̥_j	b	1.0
c	ɕ	0.5
c	k	0.5
cʰ	k	1.0
d̥	d	0.722
d̥	t	0.131
d̥	k	0.099
d̥	ʦ	0.044
d̥_ʏ	k	1.0
f	f	1.0
h	h	0.947
h	k	0.055
j	ˈeː	0.464
j	-	0.442
j	x	0.05
j	ɣ	0.049
j_ˈoːu̯	ˈiː	0.488
j_ˈɛ	ˈɛː	0.488
k	-	0.361
k	k	0.267
k	ɕ	0.22
k	x	0.099
kʰ	k	0.671
kʰ	-	0.314
l	l	0.89
l	ə_l	0.105
l_ɡ̊	l	0.238
l_ʏ	l	1.0
l̥	l	1.0
m	m	1.0
m_ʏ	m	1.0
n	n	0.681
n	ŋ	0.206
n	-	0.109
nː	n	0.484
nː	ŋ	0.367
nː	-	0.095
nː_ʏ	n	1.0
n̥	n	0.636
n̥	ə	0.215
n̥	-	0.142
p	f	0.244
p	m	0.225
p	v	0.225
p	p	0.145
r	ʀ	0.508
r	ɐ	0.296
r	-	0.192
r_j	ʀ	1.0
r_ð	t	1.0
rː̥	ɕ	0.488
r̥	-	0.839
r̥	ɐ	0.138
r̥_t	ʦ	1.0
s	z	0.368
s	ʃ	0.341
s	s	0.189
s	-	0.071
s	ɕ	0.03
s_c	ʃ	1.0
sː	s	0.488
t	-	0.511
t	t	0.234
t	s	0.18
t	ʦ	0.069
t_ʏ	s	1.0
tʰ	ʦ	1.0
u	ɪ	0.157
u	ˈa	0.157
v	ʋ	0.507
v	v	0.242
v	-	0.098
v	s	0.065
v	f	0.065
v_ʏ	f	0.761
v_ʏ	p	0.232
x	ɕ	1.0
ç	h	1.0
ð	t	0.393
ð	d	0.329
ð	-	0.168
ð	k	0.1
ð_ʏ	t	1.0
ŋ	ŋ	0.765
ŋ	-	0.103
ŋ	ɪ	0.103
ɑu̯	ə	0.488
ɛ	-	0.574
ɛ	ə	0.28
ɟ̊	-	0.457
ɟ̊	ɣ	0.263
ɟ̊	k	0.147
ɟ̊	j	0.061
ɡ̊	-	0.459
ɡ̊	j	0.33
ɡ̊	ɕ	0.092
ɡ̊	ɣ	0.053
ɡ̊	k	0.052
ɡ̊_l	l	1.0
ɡ̊_ʏ	k	1.0
ɣ	x	0.447
ɣ	ɕ	0.389
ɣ	ʦ	0.095
ɪ	ɐ	0.623
ɪ	-	0.37
ɲ	ŋ	1.0
ʏ	-	0.844
ʏ	ŋ	0.08
ʏ	ə	0.069
ʰk	ŋ_k	0.758
ʰk	k	0.088
ʰp	p	1.0
ʰt	x	0.693
ʰt	-	0.087
ʰt	ɕ	0.084
ʰt	s	0.059
ˈa	ˈa	0.437
ˈa	ˈɛː	0.171
ˈa	ˈɛ	0.146
ˈa	ˈaː	0.094
ˈa	ˈɪ	0.071
ˈai̯	ˈʏ	0.274
ˈai̯	ˈøː	0.238
ˈai̯	ˈœ	0.133
ˈaː	ˈa	0.506
ˈaː	ˈaː	0.388
ˈaː	ˈeː	0.103
ˈaːi̯	ˈøː	0.644
ˈaːi̯	ˈaː	0.238
ˈaːu̯	ˈoː	0.488
ˈeːi̯	ˈøː	0.488
ˈi	ˈɪ	0.605
ˈi	ˈʏ	0.381
ˈiː	ˈiː	0.387
ˈiː	ˈɪ	0.08
ˈiː	ˈoː	0.08
ˈiː	ˈeɪ̯	0.073
ˈiː	ˈyː	0.064
ˈou̯	ˈɔ	0.392
ˈou̯	ˈʏ	0.22
ˈou̯	ˈɛ	0.22
ˈoːu̯	ˈoː	0.54
ˈoːu̯	-	0.267
ˈoːu̯	ʀ	0.091
ˈoːu̯	ˈo	0.091
ˈoːu̯_r̥	ˈiː	1.0
ˈu	ˈo	0.53
ˈu	ˈɔ	0.304
ˈu	ʋ	0.104
ˈuː	ˈuː	0.448
ˈuː	j	0.17
ˈuː	ˈaʊ̯	0.119
ˈuː	-	0.085
ˈuː	ˈoː	0.079
ˈœ	ˈɛː	0.684
ˈœ	ˈa	0.215
ˈœː	ˈaʊ̯	0.166
ˈœː	ˈɔ	0.153
ˈœː	ˈɛ	0.081
ˈœː	ˈeː	0.075
ˈœːy̯	ˈuː	0.381
ˈœːy̯	ˈoː	0.372
ˈœːy̯	ˈaʊ̯	0.115
ˈɑu̯	ˈa	0.579
ˈɑu̯	ˈaː	0.418
ˈɑːu̯	ˈoː	0.283
ˈɑːu̯	ˈøː	0.163
ˈɑːu̯	ˈuː	0.163
ˈɑːu̯	ˈɔ	0.163
ˈɑːu̯	ˈiː	0.113
ˈɔ	ˈɔ	0.437
ˈɔ	ˈʊ	0.282
ˈɔ	ˈoː	0.171
ˈɔu̯	ˈoː	0.322
ˈɔu̯	ˈɔ	0.196
ˈɔu̯	ˈaː	0.18
ˈɔu̯	ˈɪ	0.11
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.325
ˈɛ	ˈɛː	0.283
ˈɛ	ˈe	0.123
ˈɛ	ˈa	0.12
ˈɛ	ˈeɪ̯	0.081
ˈɛi̯	ˈeː	1.0
ˈɛː	ˈaː	0.26
ˈɛː	ˈɛ	0.226
ˈɛː	ˈɛː	0.149
ˈɛː	-	0.149
ˈɛː	ˈɪ	0.108
ˈɛːi̯	ˈeː	0.389
ˈɛːi̯	ˈyː	0.156
ˈɛːi̯	ˈuː	0.156
ˈɛːi̯	ˈaː	0.156
ˈɪ	ˈe	0.229
ˈɪ	ˈœ	0.173
ˈɪ	ˈɛ	0.173
ˈɪ	ˈɔ	0.114
ˈɪ	ˈiː	0.114
ˈɪː	ˈe	0.61
ˈɪː	ˈɪ	0.239
ˈɪː	ˈɛ	0.099
ˈʏ	ˈyː	0.228
ˈʏ	ˈœ	0.228
ˈʏ	ˈo	0.228
ˈʏ	ˈɔ	0.131
ˈʏ	ˈu	0.091
ˈʏ_t	ˈɔ	1.0
ˈʏː	ˈyː	0.245
ˈʏː	ˈɛː	0.245
ˈʏː	ˈɔ	0.149
ˈʏː	ˈu	0.149
ˈʏː	ˈeː	0.091
θ	d	1.0
