West Flemish	Swedish	probability
b	b	0.982
d	tʰ	0.377
d	-	0.34
d	d	0.191
f	v	1.0
h	-	0.315
h	ɡ	0.258
h	tː	0.228
h	k	0.199
j	j	1.0
k	k	0.432
k	kʰ	0.221
k	ɕ	0.205
k	kː	0.104
l	l	0.885
l	lː	0.055
m	m	0.726
m	mː	0.129
m	ɵ	0.128
n	n	0.529
n	a	0.247
n	nː	0.101
n	-	0.068
p	p	0.588
p	v	0.17
p	-	0.141
p	pʰ	0.101
s	s	0.909
s	ɧ	0.059
t	d	0.362
t	t	0.315
t	tʰ	0.094
t	tː	0.067
t	-	0.061
v	f	0.733
v	-	0.119
v	v	0.068
w	l	0.803
w	-	0.197
z	s	0.737
z	ɧ	0.172
z	h	0.091
ç	ɡ	1.0
ŋ	ŋː	0.691
ŋ	-	0.277
ə	a	0.736
ə	ɛ	0.099
ə	-	0.094
ə	ʊ	0.055
ɦ	ɡ	0.449
ɦ	-	0.258
ɦ	ɡː	0.102
ɦ	j	0.083
ɦ	jː	0.074
ɪ	ŋ	1.0
ɾ	r	0.816
ɾ	-	0.08
ʃ	f	0.5
ʃ	s	0.5
ʋ	v	0.821
ʋ	-	0.162
ˈeː	ˈɛː	0.385
ˈeː	ˈɛ	0.223
ˈeː	ˈʉː	0.195
ˈeː	ˈeː	0.153
ˈi	ˈiː	1.0
ˈiə̯	ˈyː	0.355
ˈiə̯	ˈʉː	0.209
ˈiə̯	ˈeː	0.156
ˈiə̯	ˈɛ	0.115
ˈiə̯	ˈiː	0.112
ˈoː	ˈøː	0.228
ˈoː	ˈuː	0.181
ˈoː	ˈɵ	0.159
ˈoː	ˈœː	0.158
ˈoː	ˈɔ	0.126
ˈoː	ˈœ	0.096
ˈu	ˈɵ	0.496
ˈu	ˈʊ	0.316
ˈu	ˈa	0.126
ˈu	ˈɪ	0.061
ˈuə̯	ˈuː	0.577
ˈuə̯	ˈøː	0.221
ˈuə̯	ˈʊ	0.159
ˈyː	ˈʉː	0.793
ˈyː	ˈʏ	0.118
ˈyː	ˈɵ	0.089
ˈæ	ˈɛ	0.21
ˈæ	-	0.187
ˈæ	ˈʏ	0.187
ˈæ	ˈæː	0.121
ˈæ	ˈa	0.114
ˈæ	ˈɪ	0.088
ˈøː	ˈoː	0.672
ˈøː	ˈɛː	0.328
ˈœ	ˈʏ	0.401
ˈœ	ˈɛ	0.23
ˈœ	ˈɵ	0.218
ˈœ	ˈʉː	0.15
ˈɑ	ˈa	0.651
ˈɑ	ˈoː	0.141
ˈɑ	ˈɑː	0.099
ˈɒː	ˈoː	0.347
ˈɒː	ˈɑː	0.293
ˈɒː	ˈa	0.277
ˈɒː	ˈæː	0.083
ˈɔ	ˈɔ	0.449
ˈɔ	ˈœ	0.291
ˈɔ	ˈʉː	0.153
ˈɔ	ˈa	0.059
ˈɛ	ˈɪ	0.487
ˈɛ	ˈɛ	0.278
ˈɛ	ˈiː	0.126
ˈɛ	ˈeː	0.109
ˈɛː	ˈoː	0.422
ˈɛː	ˈeː	0.219
ˈɛː	ˈɛ	0.165
ˈɛː	ˈøː	0.114
ˈɛː	j	0.081
ˈɪ	ˈɪ	0.576
ˈɪ	ˈɵ	0.17
ˈɪ	ˈɛ	0.129
ˈɪ	ˈeː	0.086
ˈʏ	ˈʏ	1.0
