Phone1	Phone2	Surprisal
a	a	1.179
a	ɛ	1.664
a	-	2.042
b	b	0.0
bʲ	b	0.0
b̥	b̥	0.0
d	-	0.811
d	d	1.218
d̥	d̥	0.685
d̥	ˈæ_d	1.403
e	ˈɛ	0.0
i	-	0.0
k	k	0.398
k	ʦ	2.054
kʲ	s	0.0
l	l	0.65
l	ʎ	1.464
m	m	0.0
n	n	0.55
n	-	1.658
p	p	0.0
pʲ	-	0.0
s	s	0.0
t	t	0.0
t_ʀ	j	0.0
u	uɔ̯_l	0.0
w	l	0.932
w	-	1.947
w	v	2.597
w	ˈuː	4.294
w_ɔ	l̩	0.0
w_ˈa	l	0.0
x	-	0.843
x	ɡ̊	1.177
xʲ	s	0.0
z	z	0.655
z	-	1.454
z̥	z̥	0.0
ɔ	s	1.526
ɔ	-	1.641
ɔ	ɛ	2.533
ɔ	i_s	2.649
ɛ	-	0.433
ɛ	ˈiɛ̯	1.946
ɥ	v	0.357
ɥ	v_ˈæː	2.19
ɦ	ɡ	0.409
ɦ	z	2.018
ɪ	s	0.0
ɲ	n	0.0
ʀ	r	0.815
ʀ	r̩	1.212
ʀʲ	r	0.0
ʃ	-	0.352
ʃ	ʧ	2.206
ʒ	ʣ	0.0
ʒ̊	ʣ_ɛ	0.0
ʥ	d	0.0
ʦ	-	0.955
ʦ	k_t	1.047
ʧ	b	0.0
ʨ	t	0.0
ˈa	-	0.585
ˈa	ˈa	1.974
ˈa	aː	3.67
ˈe	-	0.919
ˈe	ˈi	1.761
ˈe	ˈai̯	3.223
ˈe	e	3.862
ˈi	ˈiː	0.0
ˈo	ˈa	1.141
ˈo	-	1.471
ˈo	ˈaː	2.43
ˈu	ˈuɔ̯	0.652
ˈu	-	2.459
ˈu	ˈau̯	2.459
ˈɔ	-	1.642
ˈɔ	ˈi	2.033
ˈɔ	ˈæ	2.033
ˈɔ	ˈa	2.388
ˈɛ	-	0.85
ˈɛ	ˈɛ	1.168
ˈɪ	-	0.543
ˈɪ	ˈuː	1.673
