Upper Sorbian	Upper Sorbian	probability
ʨ_#>	#>	1.0
ʨ	t	1.0
ʦ	k_t	1.0
ʥ	d	1.0
ʒ	ʣ	1.0
ʃ	ʧ	1.0
ʀʲ	r	1.0
ɲ	n	1.0
ɥ_e	v	1.0
ɥ	v	1.0
z̥	z̥	1.0
z	z	1.0
t_ʀ	j	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m	m	1.0
j	-	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_#>	#>	1.0
<#_w	<#	1.0
<#_s	<#_s	1.0
<#_j	<#	1.0
#>	s_#>	0.875
ʀ	r	0.8
ɦ	ɡ	0.778
n	n	0.778
l	l	0.778
k	k	0.625
x	ɡ̊	0.6
d̥	d̥	0.6
u	uɔ̯	0.583
d	d	0.545
ɪ	s	0.5
w	l	0.5
o	a	0.5
o	-	0.5
i	iː	0.5
i	-	0.5
a	a	0.476
ɛ	-	0.462
d	-	0.455
e	-	0.444
x	-	0.4
d̥	æ_d	0.4
ɛ	ɛ	0.385
k	ʦ	0.375
ɪ	-	0.357
a	-	0.333
u	au̯	0.25
ɦ	z	0.222
n	-	0.222
l	-	0.222
e	ɛ	0.222
e	i	0.222
ʀ	r̩	0.2
w	v	0.188
w	i	0.188
ɔ	æ	0.167
ɔ	s	0.167
ɔ	-	0.167
u	-	0.167
ɛ	iɛ̯	0.154
ɪ	uː	0.143
ɔ	ɛ	0.133
ɔ	i	0.133
w	uː	0.125
#>	i_#>	0.125
e	ai̯	0.111
ɔ	a	0.1
a	ɛ	0.095
a	n_ɛ	0.095
ɔ	l	0.067
ɔ	i_s	0.067
