Old English	Afrikaans	probability
a	-	1.0
b	b	0.961
bː	-	1.0
d	t	0.455
d	d	0.376
d	-	0.155
dː	t	1.0
e	ə	0.586
e	-	0.282
e	ˈʊə̯	0.132
eo̯	-	1.0
f	f	0.949
f	v	0.051
h	ɦ	0.931
i	ə	0.599
i	-	0.401
iː	ə	1.0
iːy̯	i	1.0
j	χ	0.603
j	j	0.215
j	-	0.114
j	ŋ	0.068
k	k	0.884
k	-	0.077
kː	k	1.0
l	ɫ	0.99
lː	ɫ	1.0
l̥	ɫ	1.0
m	m	0.976
mː	m	1.0
n	n	0.845
n	ə_ŋ	0.125
nː	n	1.0
o	ə	0.788
o	-	0.198
p	p	1.0
pː	p	1.0
r	r	0.955
rː	r	1.0
r̥	r	1.0
s	s	1.0
t	t	0.99
tː	t	1.0
v	f	0.529
v	v	0.258
v	-	0.212
w	v	0.629
w	w	0.184
w	-	0.137
x	χ	1.0
z	s	1.0
ç	χ	0.888
ç	-	0.112
ð	-	0.743
ð	d	0.257
ŋ	ŋ	1.0
ɑ	-	1.0
ɡ	χ	0.661
ɡ	-	0.259
ɡ	k	0.08
ɣ	χ	0.971
ɫ	ɫ	0.804
ɫ	n	0.094
ɫ	-	0.076
ʃ	s	1.0
ʃː	s	1.0
ʍ	v	1.0
ʤ	χ	1.0
ʤː	-	1.0
ʧ	k	1.0
ʧː	k	1.0
ˈe	ˈɪə̯	0.446
ˈe	ˈɛ	0.304
ˈe	ˈa	0.093
ˈe	-	0.086
ˈeo̯	ˈæː	0.258
ˈeo̯	ˈɛ	0.249
ˈeo̯	ˈɑː	0.216
ˈeo̯	ˈa	0.131
ˈeo̯	ˈɪə̯	0.097
ˈeː	ˈu	0.406
ˈeː	ˈəɪ̯	0.243
ˈeː	ˈi	0.149
ˈeː	ˈɪ	0.1
ˈeː	ˈʊə̯	0.065
ˈeːo̯	ˈi	0.659
ˈeːo̯	ˈəɪ̯	0.083
ˈeːo̯	ˈə	0.081
ˈi	ˈə	0.75
ˈi	ˈɛ	0.115
ˈi	ˈɪə̯	0.076
ˈiy̯	ˈa	0.544
ˈiy̯	ˈɪə̯	0.27
ˈiy̯	ˈɪ	0.186
ˈiː	ˈəɪ̯	0.755
ˈiː	ˈə	0.119
ˈiː	ˈœi̯	0.082
ˈiːy̯	ˈʊə̯	0.695
ˈiːy̯	ˈi	0.216
ˈo	ˈʊə̯	0.506
ˈo	ˈɔ	0.34
ˈo	ˈə	0.09
ˈoː	ˈu	0.341
ˈoː	ˈɑː	0.267
ˈoː	ˈa	0.195
ˈoː	ˈɔ	0.122
ˈoː	ˈuː	0.074
ˈu	ˈɔ	0.821
ˈu	ˈɪø̯	0.159
ˈuː	ˈœɪ̯	0.606
ˈuː	ˈuːi̯	0.203
ˈuː	ˈɔ	0.123
ˈuː	ˈyː	0.068
ˈy	ˈœ	0.682
ˈy	ˈʊə̯	0.247
ˈy	-	0.071
ˈyː	ˈœɪ̯	0.351
ˈyː	ˈyː	0.222
ˈyː	ˈɛ	0.208
ˈyː	-	0.132
ˈyː	ˈʊə̯	0.087
ˈæ	ˈa	0.604
ˈæ	ˈɑː	0.27
ˈæ	ˈɔː	0.125
ˈæɑ̯	ˈa	0.491
ˈæɑ̯	ˈɑː	0.249
ˈæɑ̯	ˈæː	0.163
ˈæɑ̯	ˈœu̯	0.097
ˈæː	ˈɑː	0.869
ˈæː	ˈəɪ̯	0.075
ˈæːɑ̯	ˈʊə̯	0.574
ˈæːɑ̯	ˈɑː	0.348
ˈæːɑ̯	ˈoːi̯	0.052
ˈɑ	ˈa	0.694
ˈɑ	ˈɑː	0.287
ˈɑː	ˈəɪ̯	0.378
ˈɑː	ˈɪə̯	0.311
ˈɑː	ˈɑː	0.118
ˈɑː	ˈʊə̯	0.109
ˈɑː	ˈi	0.085
ˈɛ	ˈa	1.0
θ	d	0.68
θ	t	0.263
θ	n_t	0.056
