Franco-Provençal	Franco-Provençal	probability
ˈɛ_t	ˈɛ_k	1.0
ˈɑː	ˈa	1.0
ˈy	ˈo_β_ɾ	1.0
ˈo_#>	z_ˈa_l_t_ɾ_ə_s_#>	1.0
ˈo	ˈo	1.0
ˈi_#>	#>	1.0
ˈe_n	ˈi_n	1.0
ˈe_#>	#>	1.0
ˈaː_#>	w_#>	1.0
ˈaː	ˈa	1.0
ˈa_#>	#>	1.0
ˈa	ˈa	1.0
ʦ	-	1.0
ʎ_ə	ʎ_ə	1.0
ʃ_j	k	1.0
ʃ_#>	#>	1.0
ʁ_o	ɾ_ə	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɛ̃	ə_n	1.0
ɛː	-	1.0
ɛ	ə	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɔ	u	1.0
ɑ̃	ə_n	1.0
ɑː	ə_s	1.0
ð_o	ʤ_ə	1.0
z_ˈĩ	ˈi	1.0
y	ə_m	1.0
w_ˈɛː	ˈo	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	ˈɔ_k	1.0
u	u	1.0
t	t	1.0
p	p	1.0
n	n	1.0
l_#>	l_#>	1.0
k	k	1.0
j_ˈe	ˈe	1.0
i	ə	1.0
f_l	f_l	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_ə	1.0
<#	<#_ˈe	1.0
a	ə	0.96
m	m	0.955
s	s	0.921
f	f	0.857
ɡ	ɡ	0.833
e	ə_s	0.778
ʎ	ʎ	0.727
ˈi	ˈi	0.722
b	b	0.722
ʃ	k	0.708
ˈu	ˈu	0.667
ˈĩ	ˈi	0.667
ʒ	ʒ	0.667
ð	ɾ	0.643
ˈø	ˈɔ	0.625
ˈɛː	ˈɛ	0.609
l	l	0.556
o	u	0.533
v	b	0.515
ˈɛ_#>	ə_#>	0.5
ˈɛ_#>	#>	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
z	z	0.5
z	-	0.5
ʁ	ɾ	0.468
l	ʎ	0.444
j	-	0.438
ˈɔ̃	ˈo	0.417
ˈoː	ˈɔ	0.412
ˈɛ	ˈɛ	0.4
ˈɛ	ˈe	0.4
v	β	0.394
ˈø	ˈo	0.375
#>	s_#>	0.35
ˈɑ̃	ˈa_n	0.333
ˈɑ̃	ˈa	0.333
ˈu	ˈɔ	0.333
ˈĩ	-	0.333
ʒ	-	0.333
ʁ	r	0.319
w	ˈu	0.304
w	-	0.304
ˈɛ̃	ˈe_n	0.286
ˈe	ˈe	0.281
ʎ	l	0.273
o	-	0.267
ˈɔ̃	ˈɔ_n	0.25
j	ˈa	0.25
ˈoː	ˈa_l	0.235
e	ə	0.222
ˈɛ̃	ɲ	0.214
ˈɛ̃	-	0.214
ð	w_ɾ	0.214
ˈɛ	ˈi	0.2
o	ə	0.2
ˈe	ˈɛ	0.188
j	ˈi	0.188
ˈɔ̃	ˈɔ	0.167
ˈɔ̃	ˈu	0.167
ˈɑ̃	ˈa_ŋ	0.167
ˈɑ̃	ˈa_m	0.167
ˈi	ˈɛ	0.167
ʃ	w	0.167
ɡ	ɣ	0.167
b	β	0.167
ˈe	ˈa	0.156
#>	w_#>	0.15
ˈɛ̃	ˈe	0.143
ˈɛ̃	n	0.143
ð	-	0.143
f	w	0.143
ˈɛː	ˈe	0.13
w	ˈɔ	0.13
ʃ	s	0.125
j	i	0.125
ˈoː	ˈɔ_s	0.118
ˈoː	ˈu	0.118
ˈoː	-	0.118
ˈi	ˈi_w	0.111
b	-	0.111
ʁ	-	0.106
#>	ˈa_#>	0.1
#>	ʎ_#>	0.1
#>	ə_#>	0.1
#>	n_#>	0.1
#>	k_#>	0.1
ˈe	ˈi	0.094
ˈe	-	0.094
v	-	0.091
ˈɛː	ˈe_j	0.087
ˈɛː	ˈa	0.087
ˈɛː	ɾ_ˈe	0.087
w	ˈɛ	0.087
w	ˈɔ_k	0.087
w	w	0.087
s	-	0.079
ʁ	r_t	0.064
ˈe	ˈe_s	0.062
ˈe	w	0.062
ˈe	j	0.062
