Logudorese	Romagnol	probability
β	v	1.0
ˈɛ_ɣ	ˈɛ_ð	1.0
ˈɔ_n	ˈõũ̯	1.0
ˈu_n	ˈou̯_n	1.0
ˈo_u	ˈɔə̯_v	1.0
ˈo_n	ˈõũ̯	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɛ	ˈeː	1.0
ˈa_ɾ	ˈeə̯	1.0
ˈa_ð	ˈeə̯	1.0
ˈa_n	ˈʌ̃	1.0
ʣ_u	j	1.0
ʣ	-	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɣ_ɛ	z	1.0
ɣ_u	ɡ	1.0
ɡ	ð	1.0
ɛ̆	-	1.0
ɛ_ɾ	r	1.0
ɖː	l	1.0
ŋ	n	1.0
ð_a	d_ɐ	1.0
z	-	1.0
ŭ	-	1.0
u_z	o	1.0
t_ˈu	w	1.0
t_u	θ	1.0
r	r	1.0
p	p	1.0
o	u	1.0
n_ʣ	ɲ	1.0
n_ɛ	j̃	1.0
n_a	n_ɐ	1.0
m_i	m	1.0
l_a	l_ɐ	1.0
l	l	1.0
k_ɾ	ʧ	1.0
j_u	ʧ	1.0
f	f	1.0
d	d	1.0
ă	-	1.0
a_m	ɐ_m	1.0
s	s	0.937
t	t	0.93
a	ɐ	0.901
k	k	0.711
ɾ	r	0.694
ɔ	-	0.687
nː	n	0.653
m	m	0.638
e	ɐ	0.632
i	-	0.628
n	n	0.611
ɔ̆	-	0.6
ˈe	ˈɛə̯	0.575
ð	t	0.561
j	-	0.557
ɛ	ɐ	0.506
ɣ	-	0.501
ˈu	ˈo	0.455
j	j	0.443
u	ɐ	0.441
b	v	0.441
ð	d	0.439
ˈo	ˈɔə̯	0.437
ˈa	ˈeə̯	0.429
ˈe	ˈɛ	0.425
ɔ̆	i	0.4
ˈi	ˈɛ	0.399
ʦ	θ	0.39
i	i	0.372
n	-	0.36
nː	-	0.347
b	b	0.337
u	ˈɔə̯	0.329
ˈa	ˈʌ̃	0.327
ʦ	-	0.314
ɔ	u	0.313
ʦ	t	0.295
ˈɔ	ˈɔə̯	0.281
ˈɔ	ˈou̯	0.28
ɣ	ɡ	0.277
ˈɛ	ˈeː	0.272
e	-	0.267
ɛ	-	0.256
ˈi	ˈi	0.249
ˈo	ˈu	0.241
k	θ	0.241
u	-	0.23
ɣ	z	0.222
ˈu	ˈou̯	0.21
ˈɔ	ˈɔ	0.204
ˈu	ˈu	0.203
m	ŋ	0.195
ˈi	ˈẽ	0.185
ˈɛ	ˈẽ	0.184
ˈɔ	ˈo	0.18
ˈɛ	ˈɛə̯	0.176
m	m_b	0.166
ˈɛ	ˈɛ	0.165
ˈo	ˈɔ	0.161
ˈo	ˈou̯	0.161
ˈa	ˈa	0.159
ɛ	v_ɐ	0.148
ˈɛ	ˈi	0.145
ɾ	-	0.128
ˈi	ˈeː	0.112
e	e	0.101
ɾ	ˈi	0.096
ɛ	v	0.089
b	ɡ	0.088
ˈa	-	0.085
b	-	0.082
t	-	0.07
ˈu	ˈɔ	0.068
ˈu	-	0.065
s	-	0.063
ˈɛ	ˈɛ̃	0.059
ˈɔ	u	0.055
ɾ	ɐ_r	0.051
b	k_v	0.051
