Old French	Old French	probability
ˈɛ_w	ˈo_k	1.0
ˈɛ_f	w	1.0
ˈɔ_s	ˈo_s	1.0
ˈỹ	ˈu	1.0
ˈy_j	o̯ˈa_p	1.0
ˈy	ˈu	1.0
ˈu_s	ˈo_j	1.0
ˈĩ	ˈi	1.0
ˈã_m	e̯ˈa_m	1.0
ˈã_j	ˈɨ	1.0
ˈã	ˈa	1.0
ʧ	k	1.0
ʎ_ə	ʎ_i	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_ˈɔ	i_d	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	-	1.0
w_#>	#>	1.0
ũ	-	1.0
s_#>	#>	1.0
r_t	r_t	1.0
p_ˈɛ	k_e̯ˈa	1.0
n_ə	n	1.0
n_t	m_t	1.0
n_d	n_i	1.0
n_#>	n_#>	1.0
j_s	ʦ	1.0
i	-	1.0
f_#>	#>	1.0
e_s	s	1.0
e	-	1.0
d	ʣ	1.0
b	b	1.0
a	-	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʤ	<#	1.0
<#_ɔ	<#_u	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_a	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
t	t	0.905
p	p	0.882
r	r	0.844
k	k	0.833
ˈẽ	ˈi	0.818
n	n	0.815
ˈũ	ˈu	0.8
m	m	0.8
ˈu	ˈu	0.75
ˈa	ˈa	0.75
u	u	0.75
s	s	0.75
ʦ	ʦ	0.714
f	f	0.714
#>	ə_#>	0.714
ˈɔ_j	e̯ˈa	0.667
ˈe	ˈa	0.667
j_ˈɛ	ˈe	0.6
ˈi	ˈi	0.591
l_#>	l_#>	0.556
ə	ə	0.508
ã	ɨ	0.5
ã	-	0.5
<#	<#_ˈo	0.5
<#	<#_a	0.5
w	ˈo	0.455
l_#>	r_#>	0.444
j_ˈɛ	ˈa	0.4
ʤ	ʤ	0.375
ʤ	ʣ	0.375
j	-	0.37
l	l	0.368
ə	i	0.361
ˈɔ_j	ˈe	0.333
v	v	0.333
v	j	0.333
l	ʎ	0.316
ˈɛ	ˈa	0.304
ˈɔ	o̯ˈa	0.286
ʦ	k	0.286
f	ç	0.286
#>	k_#>	0.286
w	l	0.273
w	-	0.273
ˈu	ˈo	0.25
ˈa	-	0.25
ʤ	-	0.25
u	r	0.25
s	ʃ	0.25
ˈi	-	0.227
ˈɛ	ˈe	0.217
ˈɔ	ˈo	0.214
ˈɔ	-	0.214
ˈũ	-	0.2
ˈe	e̯ˈa	0.2
m	ɲ	0.2
j	i	0.185
j	e̯ˈa	0.185
ˈẽ	-	0.182
v	p	0.167
v	-	0.167
k	ʦ	0.167
l	r	0.158
l	-	0.158
ˈɔ	r	0.143
ˈɔ	e̯ˈa	0.143
ˈe	-	0.133
ˈɛ	ˈa_p	0.13
ˈɛ	e̯ˈa	0.13
ˈɛ	-	0.13
p	k	0.118
n	n_i	0.111
j	ˈi	0.111
t	d	0.095
ˈi	ˈə	0.091
ˈi	e̯ˈa	0.091
ˈɛ	k	0.087
n	i	0.074
j	ˈɨ	0.074
j	r	0.074
