Lengadocian	Lengadocian	probability
β_ɾ	f	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_j	ˈiː	1.0
ˈɔ_w	ˈuː	1.0
ˈɔ_k	ˈøː	1.0
ˈy_ɲ	ˈœ̃	1.0
ˈy_n	ˈɔ̃	1.0
ˈu_ʦ	w_ˈɛ	1.0
ˈu_ʀ	ˈuː	1.0
ˈu_t	ˈɔ	1.0
ˈu_n	ˈɔ̃	1.0
ˈu_#>	ˈɔ̃_#>	1.0
ˈi_n	ˈɛ_n	1.0
ˈi_l	ˈɛ_j	1.0
ˈe_t	w_ˈɛ	1.0
ˈe_k	ˈɛ_ʧ	1.0
ˈa_ʦ	ˈɔː	1.0
ˈa_ɣ	ˈɔː	1.0
ˈa_w	ˈoː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_l	ˈɔː	1.0
ˈa_j	ˈɛ	1.0
ˈa_#>	ˈe_#>	1.0
ʧ_#>	#>	1.0
ʧ	t	1.0
ʦ	-	1.0
ʤ_e_#>	ʧ_#>	1.0
ʤ_e	ɲː	1.0
ʎ_ɔ	ˈa_j	1.0
ʎ	j	1.0
ɾ_e_#>	#>	1.0
ɲ	ɲ	1.0
ɔ_#>	#>	1.0
ŋ	-	1.0
w_#>	#>	1.0
u_n	ɔ̃	1.0
t_ɾ	t	1.0
s_t	ˈɛ_s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
p	p	1.0
nː	m	1.0
mː	m	1.0
m_#>	#>	1.0
lː	-	1.0
l_ɔ_#>	l_#>	1.0
k_ˈa	k_w	1.0
k_ɾ	k_ʀ	1.0
k_a	ʧ	1.0
k_#>	#>	1.0
j_ˈɛ	ˈiː	1.0
j_s	ʃ	1.0
i_ŋ	ẽ	1.0
i	-	1.0
f	f	1.0
b_ˈa	b_ˈa	1.0
<#_ʀ	<#_ʀ	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
ɾ	ʀ	0.903
m	m	0.885
s	s	0.881
ʀ	ʀ	0.857
l	l	0.84
d	d	0.833
t	t	0.8
ʤ	ʤ	0.75
ɡ	ɡ	0.75
ð	-	0.75
w	-	0.75
u	ɔ	0.75
j	-	0.75
ɥ	-	0.7
e	-	0.694
z	-	0.667
b	v	0.571
n	n	0.556
<#_e	<#	0.556
l_#>	#>	0.55
ɔ	j	0.545
k	k	0.543
ˈɛ	j	0.519
ʀ_t	ˈa_ʀ	0.5
ʀ_t	ʀ	0.5
l_#>	ˈa_#>	0.45
<#_e	<#_ɛ	0.444
a	a	0.412
β	v	0.4
β	f	0.4
k	ʧ	0.371
b	b	0.371
ˈɛ	-	0.37
ˈe	-	0.346
ˈɔ	w	0.333
ˈi	ˈi	0.333
ɣ	ɡ	0.333
ɣ	w	0.333
ɣ	-	0.333
z	ʒ	0.333
n	-	0.333
ˈu	ˈɔ	0.304
ˈy	ˈy	0.3
ˈy	-	0.3
ɥ	ˈuː	0.3
#>	ˈe_#>	0.286
ɔ	w	0.273
ˈɔ	ˈɔ	0.267
ˈi	ˈiː	0.259
ʤ	-	0.25
ɡ	k	0.25
ð	ˈøː	0.25
w	ɔ	0.25
u	-	0.25
j	ˈɛ	0.25
a	ɛ	0.235
#>	ˈẽ_#>	0.214
#>	n_#>	0.214
ˈa	ˈa	0.205
β	-	0.2
ˈy	ˈu	0.2
ˈy	ʀ	0.2
t	-	0.2
ˈe	w	0.192
ˈi	ˈẽ	0.185
ɔ	-	0.182
ˈu	ˈuː	0.174
ˈu	ˈu	0.174
d	-	0.167
ˈe	ˈɛ	0.154
ʀ	ˈa	0.143
#>	ˈi_#>	0.143
#>	ˈa_#>	0.143
e	ɛ	0.139
ˈa	ˈiː	0.136
ˈa	ˈe	0.136
ˈɔ	ˈuː	0.133
ˈɔ	ɔ	0.133
ˈɔ	-	0.133
ˈu	ˈøː_ʀ	0.13
ˈu	ˈøː	0.13
s	ʃ	0.119
a	ɔː	0.118
a	ɑ̃	0.118
a	-	0.118
ˈe	w_ˈɛː	0.115
ˈe	w_ˈɛ	0.115
m	-	0.115
ˈa	ˈɛ	0.114
ˈɛ	ˈiː	0.111
ˈi	ˈɛ	0.111
ˈi	-	0.111
n	ˈɛ̃	0.111
ɾ	-	0.097
ˈa	ˈɛ̃	0.091
ˈa	ˈɔː	0.091
ˈa	ˈɑ̃	0.091
ˈu	ˈɔ̃	0.087
k	-	0.086
e	i	0.083
e	a	0.083
l	j	0.08
l	-	0.08
ˈe	ˈɛ̃	0.077
ˈa	w_ˈɛ̃	0.068
ˈa	-	0.068
b	-	0.057
