Yiddish	Limburgish	probability
a	-	1.0
b	b	0.619
b	v	0.226
b	f	0.155
d	d	0.488
d	t	0.344
d	-	0.168
f	v	0.602
f	p	0.277
f	ə_f	0.059
h	ɦ	0.977
j	j	1.0
k	k	0.777
k	x	0.175
l	l	0.889
l	j	0.067
m	m	0.942
n	n	0.572
n	ə	0.296
n	-	0.132
p	p	0.773
p	t	0.141
p	-	0.085
s	t	0.733
s	s	0.204
s	-	0.063
t	t	0.556
t	d	0.278
t	j	0.08
t	-	0.056
v	β	0.919
z	z	0.628
z	s	0.372
ŋ	ŋ	0.978
ə	ə	0.782
ə	-	0.218
ɛ	ə	0.607
ɛ	-	0.393
ɡ	ɣ	0.457
ɡ	x	0.213
ɡ	-	0.137
ɡ	k	0.132
ɪ	ə	0.535
ɪ	ɪ	0.465
ʀ	ʀ	0.982
ʃ	s	0.52
ʃ	ʃ	0.363
ʃ	z	0.098
ʎ	l	1.0
ʦ	t	1.0
ʧ	s	1.0
ˈa	ˈaː	0.375
ˈa	ˈɑ	0.262
ˈa	ˈɑː	0.2
ˈa	ˈæ	0.055
ˈaɪ̯	ˈiː	0.314
ˈaɪ̯	ˈœi̯	0.184
ˈaɪ̯	ˈʏː	0.088
ˈaɪ̯	-	0.069
ˈaɪ̯	ˈeː	0.059
ˈaɪ̯	ˈɪ	0.057
ˈaɪ̯	ˈøː	0.055
ˈaɪ̯	ˈi	0.052
ˈi	ˈøː	1.0
ˈɔ	ˈɒː	0.327
ˈɔ	ˈʊː	0.151
ˈɔ	ˈaː	0.097
ˈɔ	ˈɔː	0.075
ˈɔ	ˈɔ	0.064
ˈɔ	ˈɑː	0.059
ˈɔ	ˈœː	0.058
ˈɔɪ̯	ˈuː	0.308
ˈɔɪ̯	ˈɔː	0.21
ˈɔɪ̯	ˈu	0.166
ˈɔɪ̯	ˈɔu̯	0.091
ˈɔɪ̯	ˈoː	0.067
ˈɛ	ˈeː	0.353
ˈɛ	ˈɪ	0.11
ˈɛ	ˈaː	0.09
ˈɛ	ˈiː	0.073
ˈɛ	ˈɑ	0.072
ˈɛ	ˈi	0.061
ˈɛɪ̯	ˈɛː	0.456
ˈɛɪ̯	ˈi	0.174
ˈɛɪ̯	ˈu	0.141
ˈɛɪ̯	ˈʊː	0.141
ˈɛɪ̯	ˈɛːi̯	0.088
ˈɪ	ˈeː	0.278
ˈɪ	ˈɪː	0.259
ˈɪ	ˈøː	0.088
ˈɪ	ˈʏ	0.072
ˈɪ	ˈɛː	0.07
ˈʊ	ˈʊː	0.459
ˈʊ	ˈɔ	0.17
ˈʊ	ˈoː	0.086
ˈʊ	ˈœː	0.065
ˈʊ	ˈʊ	0.055
χ	x	0.722
χ	k	0.218
χ	ə_k	0.061
