Megleno-Romanian	Aragonese	probability
a	a	1.0
e̯ˈa	ˈe	1.0
f	f	1.0
kʲ	p	1.0
o̯ˈa	ˈo	1.0
u	o	1.0
v	b	1.0
ŋ	ŋ	1.0
ɲ	-	1.0
ʃ	s	1.0
ʒ	ʧ	1.0
ʧ	θ	1.0
ˈɔ	ˈa	1.0
b	-	0.261
l	ʎ	0.171
s	s_o	0.191
t	ð	0.181
ə	ˈe	0.061
ə	-	0.171
ˈu	w_ˈe	0.311
l	-	0.162
r	l	0.052
r	-	0.052
t	t_o	0.122
ɡ	-	0.452
ˈa	ˈe	0.22
ˈa	ˈa	0.592
b	β	0.343
k	-	0.223
ʎ	l	0.513
ʦ	ð	0.273
ˈa	j_ˈe	0.073
ˈi	j_ˈe	0.313
ˈu	ˈo	0.173
d	d	0.714
j	-	0.504
p	j	0.264
z	d	0.284
ə	a	0.754
ˈe	ˈe	0.884
ˈi	-	0.074
ˈo	ˈe	0.34
i	ˈa	0.065
i	j	0.105
w	-	0.055
w	w	0.945
ˈa	a	0.065
b	b	0.396
d	ð	0.286
i	e	0.706
k	ɣ	0.066
l	l	0.666
t	-	0.276
z	-	0.716
ˈe	j_ˈe	0.116
ˈi	ˈe	0.236
ˈo	ˈo	0.236
ˈo	w_ˈe	0.336
j	ʝ	0.277
n	ʎ	0.087
p	β	0.117
ʦ	θ	0.567
ˈi	ˈi	0.377
k	k	0.68
m	m	0.928
n	n_o	0.118
t	t	0.388
ɡ	ɡ	0.548
ʎ	-	0.208
ʎ	ʎ	0.28
ˈo	-	0.088
i	-	0.089
j	β_j	0.219
n	n	0.709
p	p	0.559
r	ɾ	0.849
s	s	0.809
ʦ	k	0.129
ˈu	ˈu	0.49
