Corsican	Emilian	probability
a	a	0.828
a	-	0.146
b	b	0.886
b	-	0.086
c	ʧ	0.852
c	θ	0.105
c_u	ʧ	1.0
d	d	0.81
d	-	0.148
d_u	d	1.0
e	-	0.67
e	e	0.26
e_t	t	0.127
f	f	1.0
i	-	0.469
i	i	0.36
i	e	0.078
i	ˈa	0.078
i_k	ɡ	1.0
j	j	0.679
j	-	0.28
j_u	i	1.0
k	k	0.788
k	-	0.127
k	ɡ	0.058
k_u	ɡ	1.0
l	l	0.712
l	-	0.239
l_u	l	1.0
m	m	0.86
m	ŋ	0.059
m	-	0.051
n	n	0.552
n	ŋ	0.312
n	-	0.07
n_e	ŋ	1.0
n_u	ŋ	1.0
o	u	0.536
o	e	0.204
o	o	0.111
p	p	0.796
p	v	0.203
p_u	p	1.0
r	r	0.872
r	-	0.128
s	s	0.814
s	-	0.119
t	t	0.583
t	-	0.227
t	d	0.167
t_e	t	1.0
t_u	t	1.0
t_ˈe	ˈɛ	0.253
u	-	0.752
u	u	0.117
v	v	0.971
v_u	v	1.0
w	w	0.626
w	-	0.186
w	v	0.186
z	-	1.0
z_u	z	0.503
ŋ	ŋ	0.881
ŋ	n	0.117
ɟ	ð	0.662
ɟ	ʤ	0.216
ɟ	θ	0.062
ɟ	ɡ	0.061
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	0.727
ʃ	-	0.263
ʎ	j	0.644
ʎ	ˈɔː	0.245
ʎ_u	j	0.503
ʒ	z	1.0
ʣ	ð	1.0
ʤ	v	0.66
ʤ	ð	0.167
ʦ	θ	0.605
ʦ	-	0.219
ʦ	s	0.145
ʧ	θ	0.608
ʧ	-	0.231
ʧ	z	0.065
ʧ	j	0.051
ʧ_e	z	1.0
ˈa	ˈɛ	0.311
ˈa	ˈaː	0.296
ˈa	ˈa	0.193
ˈa	ˈɛ_r	0.153
ˈe	ˈɛ	0.467
ˈe	ˈa	0.202
ˈe	ˈiː	0.11
ˈe	ˈɛː	0.11
ˈe	ˈe	0.063
ˈe_t	ˈɛ	0.503
ˈi	ˈe	0.56
ˈi	ˈiː	0.243
ˈi	ˈi	0.069
ˈi	ˈæ	0.052
ˈo	ˈɔː	0.217
ˈo	ˈɔ	0.196
ˈo	ˈʌu̯	0.196
ˈo	ˈʌ	0.119
ˈo	ˈuː	0.113
ˈo	ˈo	0.083
ˈo	ˈaː	0.055
ˈu	ˈo	0.593
ˈu	ˈuː	0.304
ˈu	ˈe	0.055
ˈu	ˈʌu̯	0.051
ˈɔ	ˈɔː	0.268
ˈɔ	ˈɔ	0.204
ˈɔ	ˈʌu̯	0.14
ˈɔ	ˈʌ	0.136
ˈɔ	ˈo	0.094
ˈɔ	ˈuː	0.067
ˈɔ	u	0.062
ˈɛ	ˈa	0.288
ˈɛ	ˈæ	0.185
ˈɛ	ˈɛ	0.159
ˈɛ	ˈa_j	0.125
ˈɛ	ˈiː	0.073
ˈɛ	ˈɛː	0.062
ˈɛ	-	0.054
