Swedish	West Flemish	probability
a	ə	0.474
a	n	0.408
a	-	0.118
b	b	1.0
d	t	0.536
d	d	0.357
d	-	0.107
e	-	1.0
f	v	0.983
h	ɦ	0.647
h	z	0.353
j	ɦ	0.412
j	ˈæ	0.289
j	ˈɛː	0.107
j	j	0.099
j	l	0.073
jː	ɦ	1.0
k	k	0.811
k	h	0.189
kʰ	k	0.878
kʰ	-	0.122
kː	k	1.0
l	l	0.817
l	w	0.088
l	-	0.079
lː	l	0.504
lː	t	0.496
m	m	0.922
m	v	0.078
mː	m	1.0
n	n	0.846
n	-	0.117
nː	n	0.46
nː	n_d	0.347
nː	ʋ	0.193
p	p	1.0
pʰ	p	1.0
r	ɾ	0.886
r	-	0.09
rː	-	0.661
rː	ɾ	0.339
s	s	0.54
s	z	0.42
sː	s	1.0
t	t	0.956
tʰ	d	0.512
tʰ	t	0.379
tʰ	b	0.109
tː	t	0.673
tː	h	0.327
v	ʋ	0.644
v	f	0.154
v	v	0.142
v	p	0.06
ŋ	-	0.272
ŋ	n	0.254
ŋ	ɪ	0.216
ŋ	v	0.13
ŋ	ŋ	0.129
ŋː	ŋ	1.0
ɕ	k	0.768
ɕ	t	0.169
ɕ	d	0.063
ɖ	t	0.544
ɖ	d	0.456
ɛ	-	0.672
ɛ	ə	0.256
ɛ	ɾ	0.072
ɡ	ɦ	0.694
ɡ	h	0.21
ɡ	ç	0.06
ɡː	ɦ	0.745
ɡː	-	0.255
ɧ	z	0.535
ɧ	s	0.253
ɧ	ʃ_h	0.212
ɪ	-	0.683
ɪ	ə	0.317
ɳ	ɾ	1.0
ɳː	n	1.0
ɵ	m	0.542
ɵ	-	0.458
ʈː	t	1.0
ʊ	ə	0.88
ʊ	ˈeː	0.12
ˈa	ˈɑ	0.651
ˈa	ˈɒː	0.202
ˈa	ˈæ	0.065
ˈa	ˈu	0.054
ˈeː	ˈɛː	0.466
ˈeː	ˈiə̯	0.241
ˈeː	ˈeː	0.115
ˈeː	ˈɪ	0.065
ˈeː	ˈɛ	0.06
ˈeː	ˈɑ	0.053
ˈiː	ˈi	0.729
ˈiː	ˈiə̯	0.132
ˈiː	ˈɛ	0.079
ˈoː	ˈɒː	0.512
ˈoː	ˈɑ	0.174
ˈoː	ˈɛː	0.144
ˈoː	ˈøː	0.1
ˈoː	ˈɒː_n	0.069
ˈuː	ˈuə̯	0.638
ˈuː	ˈoː	0.238
ˈuː	ɾ	0.125
ˈyː	ˈiə̯	1.0
ˈæ	ɾ	1.0
ˈæː	ˈæ	0.714
ˈæː	ˈɒː	0.286
ˈøː	ˈoː	0.646
ˈøː	ˈuə̯	0.224
ˈøː	ˈɛː	0.13
ˈœ	ˈoː	0.524
ˈœ	ˈɔ	0.248
ˈœ	-	0.163
ˈœ	ˈuə̯	0.065
ˈœː	ˈoː	1.0
ˈɑː	ˈɒː	0.513
ˈɑː	ˈɑ	0.422
ˈɑː	ə	0.065
ˈɔ	ˈɔ	0.498
ˈɔ	ˈoː	0.432
ˈɔ	ˈɑ	0.07
ˈɛ	ˈɛ	0.194
ˈɛ	ˈiə̯	0.17
ˈɛ	ˈeː	0.137
ˈɛ	ˈɛː	0.135
ˈɛ	ˈɑ	0.111
ˈɛ	ˈœ	0.1
ˈɛ	ˈæ	0.087
ˈɛ	ˈɪ	0.065
ˈɛː	ˈeː	0.367
ˈɛː	ˈoː	0.17
ˈɛː	ˈæ	0.158
ˈɛː	ˈøː	0.158
ˈɛː	ˈɑ	0.101
ˈɪ	ˈɪ	0.664
ˈɪ	ˈu	0.151
ˈɪ	ˈɛ	0.087
ˈɪ	ˈæ	0.06
ˈɵ	ˈoː	0.314
ˈɵ	ˈu	0.269
ˈɵ	ˈɪ	0.248
ˈɵ	ˈœ	0.105
ˈʉː	d_ˈiə̯	0.319
ˈʉː	ˈyː	0.231
ˈʉː	ˈeː	0.139
ˈʉː	ˈiə̯	0.129
ˈʉː	ˈœ	0.091
ˈʊ	ˈu	0.569
ˈʊ	ˈuə̯	0.431
ˈʏ	ˈœ	0.342
ˈʏ	ˈæ	0.235
ˈʏ	ˈyː	0.196
ˈʏ	ˈiə̯	0.133
ˈʏ	ˈʏ	0.094
