Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	n	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ_ɐ	1.0
ˈɔʏ̯_d	ˈiː_s	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɡ_n	ŋ	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z_ˈøː	s	1.0
z	s	1.0
v̥	b̥	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
p	-	1.0
n_n	n_a	1.0
m	m	1.0
kʰ	ɡ̊	1.0
j	ɡ̊	1.0
i	ɡ̊	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ˈaɪ̯	d̥_ˈiː	1.0
d_n	z̥_n	1.0
b_m	v̥_n	1.0
b_#>	f_#>	1.0
aɪ̯	eː	1.0
<#_n	<#_n	1.0
l	l	0.96
v	v	0.931
b	b̥	0.882
ˈiː	ˈaɪ̯	0.857
d	d̥	0.766
x	x	0.75
ˈa	ˈɒ	0.739
ˈʏ	ˈɪ	0.714
ˈuː	ˈaʊ̯	0.714
n	n	0.702
ˈʊ	ˈʊ	0.667
ˈoː	ˈoː	0.609
t	d̥	0.583
ˈɪ	ˈɪ	0.571
ɡ	ɡ̊	0.571
ˈaʊ̯	ˈuː	0.552
ˈɔʏ̯	-	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈeː	ˈɛ	0.5
ˈeː	-	0.5
s	ʃ	0.5
ˈaɪ̯	ˈiː	0.45
ˈɛ	ˈɛ	0.444
ˈɔ	ˈɔ	0.444
ˈaː	ˈɒ_l	0.4
ˈaː	-	0.4
ˈaɪ̯	ˈaː	0.4
ˈʊ	ˈɔ	0.333
ˈɛ	-	0.333
ˈɔ	ˈʊ	0.333
ç	ç	0.308
s	s	0.3
ˈʏ	ˈʊ	0.286
ˈoː	-	0.261
ˈɔʏ̯	ˈiː	0.25
ˈɔʏ̯	ˈeː	0.25
ɡ	x	0.25
x	-	0.25
ç	ɡ̊	0.231
ˈɛ	ˈeː	0.222
ˈɔ	-	0.222
ˈaː	ˈa	0.2
s	ɡ̊_s	0.2
ˈɪ	ˈiː	0.179
ɡ	ç	0.179
ˈa	ˈoː	0.174
ˈaʊ̯	ˈaː	0.172
t	ʦ	0.167
t	s	0.167
n	-	0.158
ç	ç_d̥	0.154
ç	x	0.154
ç	-	0.154
ˈaɪ̯	-	0.15
ˈuː	ˈuː	0.143
ˈuː	-	0.143
ˈiː	ˈiː_ɐ	0.143
b	b̥͡v̥	0.118
ˈɪ	ˈaː	0.107
d	s	0.104
ˈaʊ̯	ˈɔ	0.103
ˈaʊ̯	ˈɒ	0.103
ˈoː	ˈɛː	0.087
ˈa	-	0.087
t	t	0.083
ˈɪ	ˈaɪ̯	0.071
ˈɪ	-	0.071
ˈaʊ̯	-	0.069
v	-	0.069
n	n_d̥	0.053
n	n_a	0.053
