Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʊ	ˈu	1.0
ˈɪ_n	nː	1.0
ˈɛːi̯	-	1.0
ˈɔu̯	-	1.0
ˈɒː_z̥	ˈɛː	1.0
ˈœː	ˈɔ	1.0
ˈœ_k	ʰc	1.0
ˈœ	-	1.0
ˈæ	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈœːy̯	1.0
ˈiː	ˈiː	1.0
ʀ_ə	r_t͡n̥	1.0
ʀ_#>	r̥_#>	1.0
ɪ	ɑu̯	1.0
ɣ_ə	ɡ̊	1.0
ɡ	-	1.0
ə_ʀ	ɪ_r̥	1.0
ə_ɣ̊	ɡ̊	1.0
ə_m	m_ʏ	1.0
ə_#>	#>	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
w	ˈʏ_t͡l̥	1.0
v̥	v_ʏ	1.0
n_s	s_c	1.0
n_d	nː	1.0
l_ə	l̥	1.0
l_#>	l_#>	1.0
k_n	n̥	1.0
i	aːu̯	1.0
b	b̥	1.0
<#_β	<#	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#	<#_kʰ	1.0
ŋ	ŋ	0.909
m	m	0.905
z	s	0.88
t	t	0.818
v	f	0.792
ˈɔː	-	0.75
ˈyː	-	0.75
x	ʰt	0.75
d̥	ð	0.75
ɦ	h	0.739
ɣ	ɟ̊	0.714
<#_ʀ	<#_r	0.714
ˈɑː	ˈa	0.667
ˈøː	-	0.667
ʃ	s_c	0.667
ʀ	r	0.667
s	s	0.667
l	l	0.621
ˈɪ	-	0.6
ˈœi̯	-	0.6
d̥_#>	d̥_#>	0.6
n	n	0.593
p	p	0.583
ə	a	0.574
ˈoː	-	0.571
ˈɔ	-	0.556
ɣ̊	ɣ	0.556
d	d̥	0.545
ˈɒː	ˈɑːu̯	0.5
ˈɒː	-	0.5
j	ð	0.471
d	θ	0.455
#>	ʏ_r̥_#>	0.452
ˈɔ	ˈʏ	0.444
ɣ̊	-	0.444
n_#>	n_#>	0.444
ˈoː	ˈoːu̯	0.429
j	-	0.412
ˈɪ	ˈɪ	0.4
ˈœi̯	ˈiː	0.4
ˈaː	ˈaː	0.4
d̥_#>	#>	0.4
ˈɛ	ˈɪ	0.375
ˈɛ	-	0.375
k	k	0.37
ˈɪː	ˈi	0.364
ˈɪː	-	0.364
#>	r̥_#>	0.355
ˈaː	ˈa	0.35
ˈɑː	ˈœ	0.333
ˈɑ	-	0.333
ˈøː	ˈaːi̯	0.333
ˈæː	ˈɛ	0.333
ˈæː	ˈau̯	0.333
ˈæː	ˈa	0.333
ʃ	s_k	0.333
n_#>	#>	0.333
ˈɛː	ˈɛːi̯	0.312
ˈɛː	-	0.312
ˈʊː	-	0.292
ɣ	ˈuː	0.286
<#_ʀ	<#_r̥	0.286
l	t͡l̥	0.276
ˈɪː	ˈɪ	0.273
ˈɛ	ˈɛ	0.25
ˈɔː	ˈœːy̯	0.25
ˈɑ	ˈɛ	0.25
ˈɑ	ˈɑu̯	0.25
ˈyː	i	0.25
ˈi	ˈɑːu̯	0.25
ˈi	j_ˈoːu̯	0.25
ˈi	j	0.25
ˈi	-	0.25
x	-	0.25
p	ʰp	0.25
d̥	d̥_ʏ	0.25
s	s_k	0.222
n_#>	r̥_#>	0.222
ˈeː	j	0.219
ˈʊː	ˈʏ	0.208
ˈʊː	ˈɔ	0.208
ˈʊː	ˈoːu̯	0.208
v	v	0.208
ˈɛː	ˈɪː	0.188
ˈɛː	ˈɛi̯	0.188
ɦ	ç	0.174
ˈɑ	ˈa	0.167
p	-	0.167
ˈeː	ˈɛː	0.156
ˈeː	ˈɛ	0.156
ˈeː	j_ˈoːu̯	0.156
#>	a_#>	0.151
ˈaː	-	0.15
n	t͡n̥	0.148
n	nː	0.148
ʀ	r̥	0.133
ə	ʏ	0.131
ə	-	0.131
z	s_j	0.12
j	l	0.118
s	s_t	0.111
n	-	0.111
k	ʰk	0.111
k	ɡ̊_ʏ	0.111
k	cʰ	0.111
l	l̥	0.103
ˈaː	ˈɑu̯	0.1
m	m_ʏ	0.095
ˈeː	j_ˈuː	0.094
ˈeː	-	0.094
ŋ	ɲ	0.091
t	ʰt	0.091
ɦ	h_ˈɛːi̯	0.087
ˈʊː	ˈaːu̯	0.083
k	ʏ	0.074
k	ɡ̊	0.074
k	c	0.074
k	-	0.074
ʀ	r_t͡n̥	0.067
ə	j_a	0.066
ˈeː	ˈʏː	0.062
ˈeː	j_ˈɛː	0.062
t	-	0.061
