Aragonese	Franco-Provençal	probability
f	f	1.0
r	ʁ	1.0
u	-	1.0
ʝ	-	1.0
ʧ	ð	1.0
a	-	0.061
b	-	0.191
b	v	0.741
e	o	0.221
j	-	0.421
o	ʁ_o	0.051
o	a	0.051
w	w	0.61
ɡ	ɡ	0.591
ɣ	v	0.111
ˈe	ˈɛ	0.191
ˈo	ˈu	0.1
ˈo	ˈo	0.1
d	-	0.072
e	-	0.282
i	e	0.352
p	-	0.12
ŋ	-	0.842
ɾ	-	0.112
ʎ	ʎ	0.722
ˈo	ˈɔ	0.062
ˈo	ˈø	0.112
ˈo	-	0.172
k	k	0.333
m	m	0.73
ð	-	0.963
ʃ	-	0.293
ˈa	ˈa	0.363
ˈe	-	0.263
ˈi	ˈe	0.133
ˈu	-	0.063
ˈu	w	0.823
β	-	0.093
β	v	0.73
θ	-	0.103
n	n	0.744
ɣ	-	0.714
ɾ	ð_ə	0.054
ˈe	ˈe	0.154
ˈu	ˈu	0.114
a	a	0.55
t	-	0.325
t	t	0.675
ɣ	ɡ	0.175
ˈe	ˈɛː	0.175
ˈi	ˈi	0.75
e	ɛ	0.066
j	j	0.536
l	-	0.066
o	ˈoː	0.076
o	o	0.586
s	-	0.206
s	s	0.756
w	-	0.376
ɾ	ʁ	0.676
ˈa	ˈɛː	0.066
ˈa	ˈe	0.146
ˈo	w	0.186
β	b	0.176
k	ʃ	0.637
m	-	0.27
o	ˈu	0.07
o	ˈɛ̃	0.167
ʃ	s	0.707
ˈe	ˈi	0.097
a	ə	0.288
b	b	0.068
d	d	0.928
i	-	0.648
p	p	0.88
ŋ	ˈɔ̃	0.158
ɾ	ð	0.158
ʎ	-	0.278
ˈa	ˈaː	0.138
ˈi	-	0.118
ˈo	ˈoː	0.268
θ	ʃ	0.238
θ	s	0.638
e	ə	0.369
l	l	0.9
n	-	0.229
ɡ	-	0.409
ˈa	-	0.129
