Lower Sorbian	Čakavian	probability
ˈɨ	î	1.0
ˈi	îː	1.0
ʨ	t	1.0
ʦ	ʦ	1.0
ʑ	d	1.0
ʐ	ʒ	1.0
ɨ_#>	#>	1.0
ɨ	a	1.0
ɡ	ɡ	1.0
ɔ_#>	ô_#>	1.0
z	z	1.0
x	x	1.0
vʲ	ʋ	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
l	l	1.0
kʲ_i	k	1.0
kʲ	a_k	1.0
j	j	1.0
i_#>	#>	1.0
i	i	1.0
e	e	1.0
d	d	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
k	k	0.909
w	l	0.846
t	t	0.846
v	ʋ	0.818
m	m	0.778
ɔ	o	0.75
ˈu	ûː	0.667
ɲ	n	0.667
r	r	0.636
ɛ	e	0.6
a	â	0.526
ʂ	ʃ	0.5
ʂ	r	0.5
ɕ	t	0.5
a	a	0.474
ˈe	ê	0.429
ˈɛ	ô	0.4
ˈɛ	o	0.4
ɛ	î	0.4
ˈɪ	î	0.364
ˈa	â	0.364
ˈu	ǔː	0.333
ɲ	ɲ	0.333
ˈe	e	0.286
ˈe	-	0.286
ˈɪ	îː	0.273
ˈɔ	ô	0.273
ˈa	-	0.273
ɔ	e	0.25
ˈɔ	ôː	0.227
m	n	0.222
ɕ	t_i	0.214
ˈɛ	ôː	0.2
ˈɪ	ǐː	0.182
ˈɪ	êː	0.182
ˈa	î	0.182
ˈa	ê	0.182
v	-	0.182
r	r̩̂	0.182
r	ǎː	0.182
w	ûː	0.154
t	d	0.154
ɕ	r	0.143
ɕ	a_t	0.143
ˈɔ	âː	0.136
ˈɔ	o	0.091
ˈɔ	ê	0.091
ˈɔ	ǎː	0.091
ˈɔ	â	0.091
k	x	0.091
