North Frisian	Bokmål Norwegian	probability
ˈɛi̯	ˈoː	1.0
ˈɛ	ˈøː	1.0
ˈɔu̯_n	ˈoː_n	1.0
ˈɔ	ˈuː	1.0
ˈœ_nʲ	ˈɑ_nː	1.0
ˈœ_dʲ_#>	ˈuː_#>	1.0
ˈøː	ˈʉː	1.0
ˈyː_dʲ	ˈøː	1.0
ˈyː_#>	ˈʉː_#>	1.0
ˈiː_nʲ	ˈæɪ̯_n	1.0
ˈa_r	ˈɑː_ɳ	1.0
ə_r	ɾ_ə	1.0
ə_l_#>	l_#>	1.0
ə_#>	ə_#>	1.0
ŋ_ə	ŋː_ə	1.0
ŋ_#>	ŋː_#>	1.0
z	t	1.0
x_t	tː	1.0
x	k	1.0
v_ə	ʋ_ə	1.0
v_#>	#>	1.0
tʲ_#>	t_#>	1.0
t_ə	t_ə	1.0
s	s	1.0
r_d_#>	ˈuː_ɾ_#>	1.0
r_#>	ɾ_#>	1.0
p_#>	p_#>	1.0
p	p	1.0
nʲ_#>	#>	1.0
n_ə	nː_ə	1.0
m_#>	m_#>	1.0
lʲ_#>	lː_#>	1.0
k_ə	k	1.0
k_#>	k_#>	1.0
i_ŋ	ɪ_ŋ	1.0
i	i	1.0
h	j	1.0
f_#>	ʋ_#>	1.0
dʲ	-	1.0
<#_ˈʊ	<#_ˈʉ	1.0
<#_ˈeː	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
d_#>	#>	0.818
<#_v	<#_ʋ	0.812
l	l	0.783
t	t	0.75
r	ɾ	0.697
ˈi	ˈiː	0.667
<#_ʃ	<#_ʂ	0.667
ə	-	0.625
ˈʏ	ˈʏ	0.6
ˈɒː	ˈɑː	0.6
ˈɒ	ˈɑ	0.6
ˈyː	ˈʉː	0.6
ʃ_#>	s_k_#>	0.6
ŋ	ŋː	0.6
m	mː	0.6
d	-	0.6
s_#>	s_#>	0.583
v	ʋ	0.556
l_#>	l_#>	0.556
ˈʊ	ˈʉ	0.538
t_#>	t_#>	0.538
ˈɔu̯	ˈuː	0.5
ˈɔu̯	ʋ	0.5
ˈuː	ˈøː	0.5
ˈuː	ˈoː	0.5
ʃ	ç	0.5
ʃ	s_k	0.5
j	ɡ	0.5
j	-	0.5
<#_ˈuː	<#_ˈøː	0.5
<#_ˈuː	<#	0.5
n_#>	#>	0.481
t_#>	#>	0.462
n	n	0.462
v	-	0.444
l_#>	lː_#>	0.444
ˈɔː	ˈɑ	0.429
ˈœ	ˈuː	0.429
s_#>	#>	0.417
ˈʏ	ˈœ	0.4
ˈɒː	ˈɛ	0.4
ʃ_#>	s_k_ə_#>	0.4
ŋ	-	0.4
m	ˈœ_mː	0.4
d	tʰ	0.4
ˈa	ˈɛ	0.385
n	nː	0.385
k	kː	0.364
k	-	0.364
ˈɛː	ˈæː	0.333
ˈɛː	ˈoː	0.333
ˈɛː	ˈeː	0.333
ˈi	ˈɪ	0.333
ˈeː	ˈɛ	0.333
n_#>	n_#>	0.333
<#_ʃ	<#_s	0.333
ˈa	ˈɪ	0.308
ˈiː	ˈyː	0.296
ˈɔː	ˈʉː	0.286
ˈɔː	ə	0.286
ˈœ	ˈʊ	0.286
ˈœ	ˈɑ	0.286
k	k	0.273
ə	ə	0.25
t	tː	0.25
ˈʊ	ˈɑ	0.231
ˈʊ	-	0.231
ˈeː	ˈʏ	0.222
ˈeː	ˈɑː	0.222
ˈeː	ˈæː	0.222
l	lː	0.217
ˈɒ	ˈɛ	0.2
ˈɒ	ˈɑː	0.2
ˈyː	ˈʉ_nː	0.2
ˈyː	ˈoː	0.2
<#_v	<#	0.188
n_#>	nː_#>	0.185
d_#>	d_#>	0.182
ˈa	ˈɔ	0.154
ˈa	ˈɑ	0.154
n	nː_ə	0.154
r	ɳ	0.152
ˈiː	ˈɛ	0.148
ə	ʋ	0.125
ˈiː	ˈæɪ̯	0.111
ˈiː	ˈiː	0.111
ˈiː	ˈeː	0.111
r	ɾ_ˈʏ	0.091
ˈiː	ˈʉː	0.074
ˈiː	ˈɪ	0.074
ˈiː	ˈøː	0.074
r	ɾ_ə	0.061
