Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɛə̯	ˈɛ	1.0
ˈu_ɡ	ˈɔ_k	1.0
ˈu	ˈu	1.0
ˈeː_t	j	1.0
ˈeə̯_v	ˈa_p	1.0
ˈeə̯_r	ˈa_ɾ	1.0
ˈe	ˈi	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ʧ	cː	1.0
ɐ_r_#>	#>	1.0
ɐ_r	ɪ_ɾ	1.0
ŋ	ŋ	1.0
w	w	1.0
u_j	ˈu	1.0
t_ɐ	ʈː	1.0
r_ɐ	ɾ	1.0
p_ˈo	p_ˈu	1.0
p_j	c	1.0
p	p	1.0
o	o_l	1.0
n_d	nː	1.0
k_ˈu	k_ˈu	1.0
k_r	k_ɾ	1.0
j̃	n_ɪ	1.0
f_j	ç	1.0
e	i	1.0
d_ɐ	t_a	1.0
a	a	1.0
<#_θ	<#_ɕ	1.0
<#_ˈɔə̯	<#_ˈɔ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɐ	<#_a	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
f	f	0.95
ˈou̯	ˈu	0.889
ɲ	ɲː	0.889
m	m	0.88
n	n	0.868
k	k	0.844
ˈɔ	ˈɔ	0.8
ɐ	a	0.793
i	i	0.75
ˈo	ˈu	0.722
ˈɔə̯	ˈɔ	0.714
v	v	0.711
ˈʌ̃	ˈa	0.708
ˈẽ	ˈi	0.7
ˈɛ	ˈi	0.69
ɡ	ɡ	0.688
ˈi	ˈi	0.682
ˈeə̯	ˈa	0.667
t	t	0.65
j	ɟː	0.636
#>	ʊ_#>	0.608
ˈõũ̯	ˈu_n	0.6
ʤ	-	0.6
l	l	0.597
b	b	0.591
ˈeː	ˈi	0.583
z	ɕ	0.583
s	s	0.583
u	u	0.556
r	ɾ	0.5
u	-	0.444
ˈeː	ˈɛ	0.417
ˈõũ̯	ˈɔ_n	0.4
ʤ	j	0.4
ð	ʤ	0.4
j	-	0.364
#>	ɪ_#>	0.361
d	ɾ	0.357
θ	ʦː	0.333
ɡ	k	0.312
ˈẽ	ˈɛ	0.3
t	tː	0.3
ˈʌ̃	ˈa_n	0.292
r	r	0.292
d	t	0.286
l	ɖː	0.258
z	z	0.25
i	ɪ	0.25
b	-	0.227
θ	ʧː	0.222
θ	ʦ	0.222
θ	ɕ	0.222
ˈeə̯	ˈa_ɾ	0.208
ˈɔ	ˈu	0.2
ð	ɕ	0.2
ð	j	0.2
ð	-	0.2
s	ʃ	0.194
ˈi	ˈɛ	0.182
ˈɛ	ˈɛ	0.172
ˈo	ˈɔ	0.167
z	-	0.167
v	w	0.158
k	kː	0.156
ɐ	ɪ	0.152
ˈɔə̯	ˈa_w	0.143
ˈɔə̯	-	0.143
d	ʈ	0.143
d	d	0.143
ˈɛ	ˈe	0.138
ˈi	ɪ	0.136
b	v	0.136
ˈeə̯	ˈa_r	0.125
m	mː	0.12
ˈou̯	ˈɔ	0.111
ˈo	ˈo	0.111
ɲ	ɲ	0.111
s	ʃː	0.111
s	sː	0.111
r	ɽ	0.083
r	ɪ_ɾ	0.083
v	p	0.079
n	nː	0.079
d	dː	0.071
l	-	0.065
v	ʊ	0.053
n	-	0.053
