Northern Low Saxon	Old West Norse	probability
ˈɛː	ˈeː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	r	1.0
ˈœ	ˈo	1.0
ˈø	-	1.0
ˈyː	ˈyː	1.0
ˈeɪ̯	j_ˈoː	1.0
ɪ	ŋ	1.0
ɡ_l	ɣ_l	1.0
ə	-	1.0
ɐ_t	ɾ	1.0
ɐ_n	r_n	1.0
ɐ_d	r_ð	1.0
z	s	1.0
x_d	tː	1.0
x	ɣ	1.0
v	v	1.0
tʰ	tʰ	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p_i	1.0
k	kː	1.0
j	ɟ	1.0
i	u	1.0
f	f	1.0
aɪ̯	ɑː	1.0
h	h	0.878
ˈʊ	ˈu	0.872
b	b	0.77
ˈaː	ˈɑ_r	0.732
ˈuː	ˈuː	0.731
kʰ	kʰ	0.73
ˈiː	ˈiː	0.694
ˈɔʏ̯	ˈøː	0.684
l	l	0.654
t	t	0.637
ˈa	ˈɑ	0.627
m	m	0.623
s	s	0.618
ˈeː	-	0.595
ˈɛ	ˈe	0.594
ˈøː	-	0.523
ˈɪ	ˈi	0.495
ˈøː	ˈo	0.477
ŋ	ŋ	0.45
ˈʏ	ˈu	0.447
ɡ	k	0.444
ˈɔ	-	0.426
n	n	0.41
ˈɛ	-	0.406
ʃ	s	0.392
ˈoː	ˈɑː	0.385
s	s_t	0.382
ç	ɡ_r̥	0.375
ç	r̥	0.375
t	tː	0.363
d	t	0.361
ˈaɪ̯	ˈɛi̯	0.335
ʃ	s_k	0.33
ˈʏ	ˈy	0.317
ˈɔʏ̯	ˈøy̯	0.316
ˈoː	ˈɑ	0.315
ˈɔ	ˈoː	0.297
ˈɔ	ˈu	0.277
ʃ	s_c	0.277
d	ð	0.271
kʰ	cʰ	0.27
ˈuː	ˈu	0.269
ˈaː	ˈɑ_l	0.268
ˈeː	ˈe	0.267
ɐ	r	0.251
ç	ɣ_r̥	0.25
ˈaʊ̯	ˈoː	0.244
ˈʏ	-	0.237
n	nː	0.228
ɡ	-	0.226
ɐ	i	0.226
l	lː	0.223
d	θ	0.217
b	p	0.211
ˈaʊ̯	ˈɑu̯	0.21
n	ɑ	0.209
ɡ	ɟ	0.208
ˈaɪ̯	j_ˈuː	0.195
ˈiː	ˈeː	0.186
m	v	0.186
ˈɪ	-	0.185
ŋ	ɣ	0.158
ŋ	ŋ_ɟ	0.158
ŋ	-	0.158
ˈoː	ˈo	0.15
ˈaʊ̯	ˈɑː	0.15
ɐ	r̥	0.15
ɐ	r_i	0.15
ˈɪ	ˈe	0.139
ˈeː	ˈi	0.138
ˈaɪ̯	j_ˈoː	0.137
ˈaɪ̯	-	0.137
ˈʊ	ˈo	0.128
ɡ	cː	0.123
h	-	0.122
ˈiː	ˈyː	0.121
ˈa	-	0.12
ɐ	r̥ː	0.12
ˈaʊ̯	ˈɑ	0.119
d	d	0.11
ˈɪ	ˈɛi̯	0.104
ˈaɪ̯	j	0.099
ˈa	ˈɑː	0.099
ˈaɪ̯	ˈiː	0.098
l	ˈɑ_l	0.097
ˈa	ˈɔ	0.093
ˈaʊ̯	ˈo	0.089
m	ɑ	0.081
ˈɪ	ˈy	0.078
ŋ	ʝː	0.077
m	m_ˈa	0.077
ˈoː	r	0.075
ˈoː	-	0.075
ˈa	ˈɛ	0.061
ˈaʊ̯	ˈɔː	0.057
ˈaʊ̯	ˈøy̯	0.056
ɐ	ɡ_r̥	0.052
ɐ	n	0.052
