Gan	Gan	probability
ʦʰ	ʦʰ	1.0
ʔ	k̚	1.0
ɨ	u	1.0
ɥ	j	1.0
ɕ	ɕ	1.0
ɔ	ɔ	1.0
ŋ̍	n	1.0
¹¹	⁵³	1.0
²⁴	¹¹	1.0
²	⁵	1.0
y	i	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
nʲ_y	n̩	1.0
nʲ	ɲ	1.0
m	m	1.0
k	k	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	i	1.0
<#_w	<#_ʋ	1.0
<#	<#_ʋ	1.0
⁴²	⁴⁴	0.935
t̚	t̚	0.929
j	j	0.9
ŋ	ŋ	0.893
³⁵	¹¹	0.88
⁵	¹	0.864
w	w	0.842
a	a	0.829
n	n	0.806
l	l	0.778
ʨ	c	0.75
ʦ	ʦ	0.714
²¹³	³¹	0.686
u	ʊ	0.619
kʰ	kʰ	0.6
z̩	z̩	0.5
z̩	-	0.5
ɛ	a	0.471
kʰ	h	0.4
u	u	0.381
ʨʰ	ʨʰ	0.375
ʨʰ	cʰ	0.375
ɛ	ɛ	0.353
ɵ	ɔ	0.308
ɵ	a	0.308
ʦ	t	0.286
ʨʰ	ç	0.25
ʨ	ʨ	0.25
ɵ	i	0.231
l	n	0.222
n	m	0.194
ɛ	e	0.176
²¹³	⁵³	0.171
a	o	0.171
w	-	0.158
ɵ	ɛ	0.154
²¹³	⁴⁴	0.143
⁵	⁵	0.136
³⁵	⁵³	0.12
ŋ	-	0.107
j	-	0.1
t̚	p̚	0.071
⁴²	⁵³	0.065
