Aragonese	French	probability
d	d	1.0
f	f	1.0
r	ʁ	1.0
u	-	1.0
ð	-	1.0
ɲ	-	1.0
ʧ	ʒ	1.0
e	ə	0.311
m	-	0.251
o	ɔ̃	0.21
w	ɥ	0.091
ɡ	ɡ	0.631
ˈa	e	0.051
ˈa	ɛ̃	0.071
ˈe	i	0.1
ˈe	ɛ	0.381
ˈo	o	0.081
ˈu	-	0.11
ˈu	w	0.231
β	b	0.141
a	a	0.72
k	k	0.402
ŋ	-	0.612
ɡ	-	0.242
ɾ	-	0.222
ˈa	ɛ	0.362
ˈe	w	0.102
ˈe	-	0.162
θ	z	0.082
θ	s	0.72
l	-	0.143
n	n	0.623
o	i	0.063
o	ɛ̃	0.093
p	-	0.173
s	-	0.383
ɣ	ɡ	0.203
ɾ	ʁ	0.753
ʎ	-	0.73
ˈu	ɥ	0.063
b	v	0.774
e	w	0.094
o	e	0.094
t	-	0.304
ʝ	ʒ	0.074
ˈa	o	0.104
ˈa	a	0.164
ˈi	-	0.174
β	v	0.474
e	-	0.595
i	i	0.095
i	-	0.905
n	ɑ̃	0.095
o	ø	0.125
ʎ	j	0.075
ˈi	i	0.795
ˈo	u	0.315
β	-	0.385
j	j	0.316
j	-	0.66
t	t	0.696
ʎ	l	0.196
ʝ	-	0.926
ˈo	-	0.066
ˈo	ø	0.196
ˈo	œ	0.306
ˈu	u	0.06
ˈu	y	0.536
b	b	0.187
l	l	0.857
o	u	0.117
p	p	0.827
s	s	0.617
ɡ	k	0.127
ɣ	-	0.797
ˈa	-	0.077
ˈa	ɑ̃	0.17
a	e	0.068
o	-	0.268
ŋ	ɛ̃	0.388
ˈe	o	0.098
ˈe	w_a	0.108
a	-	0.19
k	-	0.069
k	ʃ	0.529
m	m	0.749
n	-	0.259
w	-	0.909
θ	-	0.199
