Catalan	Catalan	probability
β_ə	b_a	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈi_#>	ˈi_n_#>	1.0
ˈe_ʎ	ˈɛ_l	1.0
ʤ	-	1.0
ʎː	j	1.0
ʎ_ˈe	l_ˈe	1.0
ʎ_ə	l_j	1.0
ʃ_ə	ʃ_e	1.0
ʃ	s	1.0
ɡ	ɡ	1.0
ə_β	a_v	1.0
w_#>	#>	1.0
t_ə	t_a	1.0
t	t	1.0
s_ˈɛ	s_ˈe	1.0
r_n	r_n	1.0
r	r	1.0
p_#>	f_#>	1.0
p	p	1.0
n_#>	n_t_#>	1.0
n	n	1.0
mː	t	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈa	l_ˈa	1.0
l_ə	l_a	1.0
l_t	w_t	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_#>	ˈɛ_k_#>	1.0
j	-	1.0
f	f	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_ə_s	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
ɾ	r	0.923
ˈo	ˈo	0.85
l	l	0.8
ˈi	ˈi	0.741
u	o	0.733
ˈa	ˈa	0.73
ɲ	ɲ	0.727
ɣ	ɡ	0.714
ɾ_ə	e_r	0.7
ˈa_#>	ˈe_#>	0.667
ŋ	ŋ_k	0.667
z	-	0.667
<#_ə	<#_a	0.667
ə	a	0.655
s	s	0.644
ʒ	ʒ	0.643
ð	d	0.636
ʎ	l	0.63
k	k	0.625
ˈɔ	ˈɔ	0.576
β	-	0.556
ˈu	ˈu	0.55
ˈe	ˈɛ	0.522
w	-	0.5
s_#>	p_#>	0.5
s_#>	j_#>	0.5
#>	n_#>	0.5
b	v	0.464
b	b	0.464
β	v	0.444
i	i	0.429
ˈɛ	ˈe	0.379
k	ʨ	0.375
#>	r_#>	0.357
ˈa_#>	ˈa_n_#>	0.333
ŋ	ŋ	0.333
z	z	0.333
<#_ə	<#	0.333
ˈɔ	w	0.303
ɾ_ə	e	0.3
ɣ	-	0.286
i	j	0.286
i	e	0.286
ɲ	-	0.273
ˈa	ˈɛ	0.27
ˈɛ	ˈɛ	0.241
ˈɛ	ˈe_j	0.241
ʎ	d_l	0.222
ʒ	-	0.214
ˈu	w_ˈɛ	0.2
ð	t	0.182
ð	-	0.182
ˈe	ˈe	0.174
ə	e	0.161
ˈu	ˈo	0.15
ˈo	-	0.15
w	ˈɛ_f	0.15
w	w_ʃ	0.15
ʒ	ʥ	0.143
#>	j_#>	0.143
u	u	0.133
u	-	0.133
s	ʧ	0.133
ˈe	j	0.13
ˈɔ	ˈo	0.121
ˈi	ˈe	0.111
s	ʨ	0.111
ˈu	-	0.1
w	ˈɛ_ʃ	0.1
w	f	0.1
l	w	0.1
l	-	0.1
ə	-	0.092
ˈe	ˈe_j	0.087
ˈe	ˈa	0.087
ɾ	-	0.077
ˈi	ˈɛ	0.074
ˈi	j_ˈɛ	0.074
ʎ	j	0.074
ʎ	-	0.074
b	ʒ_ɡ	0.071
ˈɛ	ˈo	0.069
ˈɛ	j	0.069
s	ʦ	0.067
