Insular North Frisian	Insular North Frisian	probability
ˈʏ_#>	ˈoː_#>	1.0
ˈɪ_t	ˈi_t	1.0
ˈɛ_l	l	1.0
ˈɔa̯_ɾ_#>	ˈɪə̯_#>	1.0
ˈœ_n	n	1.0
ˈeː_d	ˈɛ_t	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	ˈɛi̯	1.0
ʃ	s	1.0
ə_n	ə_n	1.0
ə_m	m	1.0
ə_f	v_ə	1.0
ə_#>	j_ə_#>	1.0
ɐ_n	n	1.0
z	z	1.0
v_ˈʏ	ʋ	1.0
tʲ	ʦ	1.0
tʰ_r	t_r	1.0
tʰ	ʦ	1.0
t_#>	#>	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
lʲ	l_d̥	1.0
k	k	1.0
j	j	1.0
h	h	1.0
e	-	1.0
b	b	1.0
aɪ̯	ɪ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#	1.0
<#	<#_j	1.0
s	s	0.961
l	l	0.938
t	t	0.929
n	n	0.906
f	f	0.875
ŋ	ŋ	0.857
r	r	0.85
ɡ	ɡ	0.846
d	d	0.8
ˈɔa̯	ˈɪə̯	0.75
ˈa	ˈa	0.714
ˈøː	-	0.667
v	ʋ	0.654
ˈuː	ˈoə̯	0.6
ç	χ	0.571
ˈoː	-	0.556
x	-	0.556
ˈʏ	ˈuː	0.533
ɐ	r	0.528
ˈɛː	j_ˈɛ	0.5
ˈɛː	-	0.5
ˈɔ	ˈɔ	0.5
ˈiː_#>	ˈɪ_z_ə_#>	0.5
ˈiː_#>	ˈɛ_j_#>	0.5
ɪ	ɪ	0.5
ɪ	ə	0.5
ə	ə	0.5
nʲ	n_ə	0.5
nʲ	n	0.5
ˈiː	ˈiə̯	0.467
ˈɛ	ˈɪ	0.462
ˈœ	-	0.455
ˈoː	ˈɪə̯	0.444
x	χ	0.444
#>	n_#>	0.444
ˈyː	ˈuə̯	0.429
ˈeː	-	0.429
ç	ɣ	0.429
ˈɔː	ˈaː	0.412
ɾ	d̥	0.412
ˈɪ	ˈɪ	0.346
ˈʏ	-	0.333
ˈøː	ˈiə̯	0.333
ɐ	ə_r	0.333
#>	j_ə_#>	0.333
ˈʊ	ˈɔ	0.316
ˈɔː	-	0.294
ˈyː	ˈuː	0.286
ˈyː	ˈiə̯	0.286
ˈeː	ˈɪ	0.286
ˈɪ	ˈiː	0.269
ˈɛ	-	0.269
v	v	0.269
ˈiː	j	0.267
ˈʊ	-	0.263
ˈɔa̯	ˈoə̯	0.25
ˈɔ	ˈuə̯	0.25
ˈɔ	-	0.25
ə	r	0.25
ə	-	0.25
ɾ	d_ə	0.235
ɾ	-	0.235
#>	d̥_#>	0.222
ˈuː	ˈɔu̯	0.2
ˈuː	ˈuə̯	0.2
ˈɪ	ˈi	0.192
ˈœ	ˈɔː	0.182
ˈœ	ˈuə̯	0.182
ˈœ	ˈu	0.182
ˈɔː	ˈa	0.176
ˈɪ	-	0.154
ˈɛ	ˈiə̯	0.154
ɡ	k	0.154
r	ˈoə̯	0.15
ˈeː	ˈɛː	0.143
ˈeː	ˈeː	0.143
ˈa	ˈɛː	0.143
ˈa	ˈɛ	0.143
ŋ	n	0.143
ˈʏ	ˈyː	0.133
ˈiː	ˈi	0.133
ˈiː	-	0.133
f	-	0.125
ˈɔː	ˈiə̯	0.118
ɾ	ə	0.118
ˈʊ	ˈɪə̯	0.105
ˈʊ	ˈɪ	0.105
ˈʊ	ˈuə̯	0.105
ˈʊ	ˈu	0.105
d	t	0.1
d	-	0.1
n	n_d	0.094
ɐ	-	0.083
ˈɛ	ˈɪə̯	0.077
v	-	0.077
t	d̥	0.071
l	-	0.062
ɐ	ə	0.056
