Franco-Provençal	Piedmontese	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	a	1.0
m	m	1.0
o	u	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɲ	ɲ	1.0
ʎ	j	1.0
ʒ	ʤ	1.0
ˈaː	ˈa	1.0
ˈø	ˈɔ	1.0
ˈɑː	ˈa	1.0
ˈɑ̃	ˈa_ŋ	1.0
ˈɔ	ˈɔ	1.0
ˈɔ̃	ˈu_ŋ	1.0
n	n	0.531
t	t	0.561
ˈe	ˈa	0.151
t	s_t	0.342
v	v	0.962
ɡ	ɡ	0.922
ʁ	r	0.852
ˈe	-	0.242
ˈi	ˈe	0.192
ˈĩ	ˈi	0.842
ˈoː	ˈɔ	0.722
ˈɛ̃	ŋ	0.422
j	j	0.393
n	ŋ	0.33
ˈɛː	ˈe	0.473
k	k	0.844
l	-	0.074
w	ˈu	0.264
ə	e	0.284
ˈa	ˈe	0.314
ˈe	ˈi	0.094
ˈo	ˈu	0.804
ˈu	ˈy	0.214
ˈɛ	ˈɛ	0.894
ð	-	0.055
l	j	0.156
ʃ	k	0.726
ˈa	ˈa	0.686
ˈe	ˈe	0.266
ˈo	ˈy	0.196
ˈu	ˈu	0.196
ˈɛ	ˈɔ	0.106
j	-	0.607
l	l	0.77
t	s	0.097
w	-	0.617
ð	r	0.667
ʃ	z	0.107
ʃ	s	0.167
ˈe	ˈɛ	0.247
ˈɛː	ˈɛ	0.527
a	a	0.898
w	w	0.118
ð	ʤ	0.278
ə	a	0.648
ɡ	-	0.078
ʁ	-	0.138
ˈĩ	ˈi_ŋ	0.158
ˈoː	ˈø	0.278
ˈɛ̃	ˈɛ_ŋ	0.578
a	-	0.079
k	-	0.129
n	-	0.139
ə	ˈe	0.069
ˈi	ˈi	0.769
ˈu	ˈɔ	0.59
