Dutch	Dutch	probability
χ_t	x_t	1.0
χ	ɣ	1.0
ˈʏ	ˈu	1.0
ˈɪ_n	ɑi̯	1.0
ˈɛ_ɾ	r_ˈi	1.0
ˈɔ	ˈu	1.0
ˈɑ_s	ˈɑ_s	1.0
ˈɑ	ˈɑ	1.0
ˈøː	ˈɑ	1.0
ˈyː	-	1.0
ˈu	ˈɔː	1.0
ˈaː_ɾ	ˈe_r	1.0
ɾ_ə	r_n	1.0
ɾ_n	r_n	1.0
ɾ_#>	r_#>	1.0
ɪ	-	1.0
ɦ	x	1.0
ə_ɫ	l_ɑ	1.0
ə_v̥	i_ɸ	1.0
ə_n	i_z	1.0
z̥	s	1.0
w	w_ɑ	1.0
s_χ	s_k	1.0
s_ɫ	s_l	1.0
n_#>	ɑ̃_#>	1.0
i	e_x	1.0
b	b	1.0
<#_χ	<#_ɣ	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɾ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
n	n	0.935
z	s	0.926
m	m	0.903
ʋ	w	0.879
ɾ	r	0.878
p	p	0.875
t	t	0.85
ˈœy̯	ˈuː	0.846
v	ɸ	0.844
ˈɪ	ˈi	0.833
v̥	β	0.818
ɫ	l	0.806
ŋ	ŋ_ɡ	0.769
ˈɑu̯	ˈɑ_l	0.75
k	k	0.727
s	s	0.7
ˈi	ˈeu̯	0.667
ə_ɾ	r	0.667
ˈoː	ˈɑu̯	0.543
ˈɛi̯	ˈiː	0.526
ˈeː	ˈɑi̯	0.481
ˈɛ	ˈe	0.474
d	θ	0.435
d	d	0.435
ˈɛ	ˈɑ	0.421
ə	ɑ	0.403
ˈoː	ˈu	0.4
ˈaː	ˈɛː	0.4
ˈaː	ˈɑ	0.4
#>	ɑ̃_#>	0.397
d̥	ð	0.375
#>	ɑ_z_#>	0.355
d̥	θ	0.344
ˈeː	ˈe	0.333
ə_ɾ	r_u	0.333
ˈɛi̯	ˈi	0.263
ˈɑu̯	wː	0.25
s	s_k	0.25
ŋ	ŋ	0.231
d̥	d	0.219
ə	j_ɑ	0.209
v̥	ɸ	0.182
ˈi	ˈe	0.167
ˈɛi̯	ˈɑi̯	0.158
v	β	0.156
ˈœy̯	ˈiu̯	0.154
k	kʷ	0.136
d	ð	0.13
ˈɪ	ˈe	0.125
p	pː	0.125
ʋ	xʷ	0.121
ˈaː	ˈɑː	0.12
ˈi	-	0.111
ˈeː	ˈi	0.111
ˈɛ	ˈi	0.105
#>	z_#>	0.103
k	k_u	0.091
ɫ	lː	0.083
ɾ	r_i	0.082
ˈaː	ˈɑ_x	0.08
ə	ɛː	0.075
t	tː	0.075
t	t_u	0.075
ˈeː	ˈɑ	0.074
z	s_w	0.074
m	m_b	0.065
d̥	d_u	0.062
ˈoː	-	0.057
ˈi	ˈeː	0.056
ɫ	x_l	0.056
ɫ	l_i	0.056
ˈɛi̯	jː	0.053
#>	ɔ̃ː_#>	0.051
#>	i_z_#>	0.051
