Old High German	Bokmål Norwegian	probability
ˈɛ_ɡ	ˈæɪ̯	1.0
ˈɑː	ˈoː	1.0
ˈɑ_t	ˈɑː	1.0
ˈɑ_h	ˈoː	1.0
ˈoː	ˈøː	1.0
ˈie̯	ˈæː	1.0
ˈeː	ˈøː	1.0
ˈe	ˈɛ	1.0
ʦː	tː	1.0
ɛ_r	ɾ	1.0
ɛ	ə	1.0
ə	-	1.0
ɑ_ɡ	i	1.0
ɑ_r	ɾ	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	kː	1.0
xː	k	1.0
x_t	tː	1.0
w_ˈo	ˈʉ	1.0
u	-	1.0
tː	ˈeː	1.0
s_ˈɛ	s_ˈɛ	1.0
s_ˈuo̯	s_ˈøː	1.0
s_t	s_t	1.0
s_k	ʂ	1.0
rː	ɾ	1.0
r_ʦ	ʈː	1.0
r_n	ɳ	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈøː	1.0
nː	nː	1.0
n_t	nː	1.0
n_d	nː	1.0
mː	ˈœ_mː	1.0
lː	lː	1.0
l_d	lː	1.0
kː_ɑ	ɡː	1.0
kʰ	kʰ	1.0
h_ˈɛ	j_ˈɛ	1.0
fː	p	1.0
eː	-	1.0
e	ə	1.0
r	ɾ	0.957
s	s	0.942
f	f	0.852
l	l	0.844
ˈiː	ˈiː	0.839
h	h	0.824
ˈuː	ˈʉː	0.81
k	k	0.805
ɑ	ə	0.795
ˈuo̯	ˈuː	0.783
i	-	0.775
w	ʋ	0.761
m	m	0.749
b	b	0.736
s̻	t	0.704
ˈio̯	ˈyː	0.689
ˈɑ	ˈɑ	0.666
ʦ	tʰ	0.654
o	ə	0.635
ɡ	ɡ	0.613
n	n	0.602
d	tʰ	0.594
ˈi	ˈɪ	0.593
s̻ː	t	0.593
t	-	0.571
ˈou̯	ˈœ	0.56
kː	ɡː	0.5
kː	-	0.5
ˈei̯	ˈæɪ̯	0.488
x	k	0.461
ˈiu̯	ˈyː	0.451
ˈo	ˈuː	0.42
s̻ː	-	0.407
d	-	0.406
ˈu	ˈʉ	0.4
o	-	0.365
ˈei̯	ˈɛ	0.361
ˈiu̯	-	0.354
ʦ	-	0.346
x	-	0.316
s̻	tː	0.296
t	t	0.289
ˈou̯	ˈøː	0.283
ɡ	-	0.28
ˈo	-	0.265
ˈɛ	ˈæː	0.252
m	mː	0.251
ˈɛ	-	0.247
w	-	0.239
ˈu	ˈœ	0.225
i	ə	0.225
x	j	0.224
ˈuo̯	ˈœ	0.217
ˈo	ˈʉː	0.21
ɑ	-	0.205
ˈɛ	j	0.197
ˈu	ˈɔ	0.195
k	-	0.195
ˈiu̯	ˈʏ	0.194
ˈuː	-	0.19
ˈio̯	-	0.185
ˈɑ	ˈɑː	0.183
ˈu	ˈʏ	0.18
ˈɛ	ˈeː	0.178
h	-	0.176
ˈi	-	0.175
ˈiː	ˈɛ	0.161
ˈi	ˈiː	0.161
ˈou̯	ˈœʏ̯	0.156
l	lː	0.156
ˈei̯	ˈeː	0.15
b	ʋ	0.143
t	d	0.141
ˈɛ	ˈɛ	0.126
ˈio̯	ˈʉː	0.126
n	ə	0.124
b	-	0.122
n	nː	0.12
ɡ	j	0.107
ˈo	ˈʉ	0.105
f	p	0.092
n	ˈiː	0.087
ˈi	ˈɛ	0.071
ˈɑ	ˈɛ	0.067
n	-	0.067
s	ʂ	0.058
f	ʋ	0.055
ˈɑ	ˈɔ	0.051
