Czech	Macedonian	probability
a	a	1.0
b	b	1.0
c	t	1.0
d	d	1.0
f	f	1.0
j	j	1.0
m	m	1.0
m̩	u_m	1.0
n	n	1.0
o	o	1.0
p	p	1.0
r̝̊	r	1.0
s	s	1.0
v	v	1.0
z	z	1.0
ɟ	d	1.0
ɪ	i	1.0
ɲ	n	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈa	ˈa	1.0
ˈl̩	ˈo_ɫ	1.0
ˈo	ˈo	1.0
ˈr̩	ˈr̩	1.0
ˈuː	ˈo	1.0
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	1.0
ɛ	ɛ	0.851
ˈiː	ˈɛ	0.831
ˈɛ	ˈr̩	0.081
ˈɛ	ˈɛ	0.861
l	l	0.482
r	r	0.912
r̝	r	0.962
x	f	0.382
ˈu	ˈu	0.32
k	k	0.953
t	t	0.893
ˈaː	ˈɛ	0.164
ˈaː	ˈa	0.836
t	-	0.107
ˈɛ	ˈo	0.057
l	ɫ	0.478
r	-	0.088
x	k	0.618
ˈu	ˈa	0.68
ɛ	a	0.149
ɦ	ɡ	0.969
ˈiː	ˈi	0.169
