Saterland Frisian	Westphalian	probability
a	ˈaɪ̯	0.525
a	n	0.475
b	b	0.971
d	d	0.702
d	t	0.166
d	-	0.117
f	f	0.919
f	v	0.081
h	h	0.965
i	aɪ̯	1.0
j	ˈaɪ̯	0.436
j	-	0.274
j	x	0.172
j	j	0.06
k	k	0.772
k	-	0.228
l	l	0.991
m	m	0.989
n	n	0.982
p	p	0.907
p	b	0.093
r	r	0.426
r	ɐ	0.364
r	-	0.121
r	d_ɐ	0.055
s	s	0.53
s	ʃ	0.418
t	t	0.896
t	d	0.104
v	w	0.584
v	v	0.361
v	-	0.055
w	v	0.896
w	w	0.104
x	ç	0.479
x	x	0.315
x	v	0.111
x	ɡ	0.096
z	s	0.374
z	z	0.374
z	ɡ	0.252
ŋ	ŋ	0.949
ŋ	-	0.051
ə	n	0.332
ə	ə	0.266
ə	ɐ	0.229
ə	-	0.17
ɡ	x	1.0
ɣ	x	0.551
ɣ	ɡ	0.137
ɣ	ɣ	0.095
ɣ	-	0.076
ɣ	ŋ	0.072
ɣ	v	0.068
ɪ	ɪ	0.519
ɪ	-	0.298
ɪ	ɐ	0.182
ˈa	ˈa	0.541
ˈa	ˈɛ	0.233
ˈa	ˈʊ	0.226
ˈaː	ˈa	0.587
ˈaː	ˈeː	0.283
ˈaː	ˈɪɛ̯	0.129
ˈaːi̯	ˈɛ	0.493
ˈaːi̯	ˈaː	0.369
ˈaːi̯	ˈa	0.138
ˈaːu̯	ˈeː	0.893
ˈaːu̯	ˈɔ	0.107
ˈeː	ˈeː	0.384
ˈeː	ˈɪɛ̯	0.244
ˈeː	ˈaɪ̯	0.198
ˈeː	ˈœː	0.068
ˈeː	ˈøː	0.063
ˈeːu̯	ˈɪə̯	1.0
ˈi	ˈiː	0.574
ˈi	ˈɪ	0.146
ˈi	-	0.086
ˈi	ˈaɪ̯	0.079
ˈi	ˈɪɛ̯	0.071
ˈiː	ˈɪ	0.391
ˈiː	ˈɔː	0.224
ˈiː	ˈiː	0.148
ˈiː	ˈɪɛ̯	0.077
ˈiː	ˈɛː	0.077
ˈoː	-	0.403
ˈoː	ˈaʊ̯	0.218
ˈoː	ˈɔː	0.148
ˈoːu̯	ˈa	0.309
ˈoːu̯	ˈoː	0.271
ˈoːu̯	ˈɔː	0.164
ˈoːu̯	ˈuː	0.085
ˈu	ˈʊ	0.399
ˈu	ˈaʊ̯	0.352
ˈu	ˈyː	0.205
ˈuː	ˈyː	0.219
ˈuː	ˈuː	0.177
ˈuː	ˈʊ	0.132
ˈuː	ˈuə̯	0.094
ˈuː	ˈoː	0.088
ˈuː	ˈa	0.079
ˈuː	ˈuːə̯	0.079
ˈuː	ˈɛ	0.073
ˈyː	ˈø	0.791
ˈyː	ˈyː	0.209
ˈɔ	ˈa	0.449
ˈɔ	ˈyə̯	0.196
ˈɔ	ˈʊ	0.133
ˈɔ	ˈʏ	0.131
ˈɔ	ˈɔ	0.055
ˈɔː	ˈa	0.276
ˈɔː	ˈuːə̯	0.176
ˈɔː	ˈaː	0.16
ˈɔː	ˈɛː	0.101
ˈɔː	ˈøː	0.073
ˈɔː	ˈɔ	0.064
ˈɔː	ˈɛ	0.059
ˈɔːɪ̯	ˈaɪ̯	1.0
ˈɛ	ˈɛ	0.33
ˈɛ	ˈaː	0.149
ˈɛ	ˈɪ	0.149
ˈɛ	ˈɔː	0.108
ˈɛ	ˈiɛ̯	0.104
ˈɛ	ˈa	0.082
ˈɛ	ˈø	0.078
ˈɛɪ̯	ˈøː	0.384
ˈɛɪ̯	ˈeː	0.144
ˈɛɪ̯	ˈɔː	0.142
ˈɛɪ̯	ˈaɪ̯	0.117
ˈɛɪ̯	ˈiː	0.081
ˈɛɪ̯	ˈuː	0.058
ˈɛɪ̯	ˈiɛ̯	0.058
ˈɛː	ˈa	0.363
ˈɛː	-	0.275
ˈɛː	ˈʏ	0.185
ˈɛː	ˈɪ	0.071
ˈɛː	ˈɪɛ̯	0.065
ˈɪ	ˈɪ	0.873
ˈɪ	ˈɛ	0.127
ˈʊ	ˈʊ	0.724
ˈʊ	ˈɛ	0.118
ˈʊ	ˈuːə̯	0.068
ˈʊ	ˈɔː	0.064
