Piedmontese	Aromanian	probability
ˈy	ˈu	1.0
ˈu_j	ˈo_j	1.0
ˈa_r	ˈa_t	1.0
ə	-	1.0
w	-	1.0
s_ˈɛ	s	1.0
r_a	r_ə	1.0
p_ˈɛ	k_e̯ˈa	1.0
p_j	p_l	1.0
n	n	1.0
k_a	k	1.0
j_ˈa	l_e̯ˈa	1.0
j_t	p_t	1.0
i	-	1.0
dː	d_e̯ˈa	1.0
b	b	1.0
a_d	ə_t	1.0
r	r	0.948
k	k	0.903
t	t	0.87
p	p	0.857
ŋ	n	0.851
ˈi	ˈi	0.764
u	u	0.725
m	m	0.699
e	i	0.675
ʤ	ʤ	0.647
a	ə	0.627
ɲ	ɲ	0.6
ˈu	ˈu	0.595
f	f	0.584
z	ʣ	0.577
s	s	0.575
d	d	0.54
ˈa	ˈɨ	0.537
ɡ	ɡ	0.525
ɡ	k	0.475
ˈɛ	ˈe	0.467
ˈɔ	ˈo	0.436
ˈø	ˈo	0.426
ˈe	ˈa	0.426
z	ʦ_i	0.423
v	-	0.42
ɲ	m	0.4
j	ʎ	0.37
ˈu	o̯ˈa	0.361
ʤ	ʣ	0.353
l	l	0.34
l	r	0.332
ˈa	ˈa	0.328
l	ʎ	0.328
j	e̯ˈa	0.328
ˈø	o̯ˈa	0.305
u	-	0.275
f	ç	0.272
ˈø	-	0.269
ˈɛ	ˈi	0.254
v	p	0.249
ˈɔ	o̯ˈa	0.222
v	v	0.21
d	t	0.209
j	r	0.204
e	ˈi	0.186
s	ʃ	0.184
ˈe	ˈi	0.173
ˈi	-	0.171
m	ɲ	0.168
ˈɛ	e̯ˈa	0.166
a	i	0.149
f	-	0.144
p	k	0.143
d	ʣ	0.143
ˈe	e̯ˈa	0.14
e	-	0.138
m	-	0.133
ˈɔ	ˈa_v	0.13
t	p_t	0.13
a	ʎ_i	0.129
s	ʃ_t	0.122
ˈɛ	ˈa	0.112
ˈɔ	ˈa	0.112
ˈe	i	0.111
d	-	0.107
ˈɔ	ˈu	0.101
ŋ	m	0.098
j	u	0.098
k	ʦ	0.097
v	j	0.094
s	t	0.093
ˈe	ˈa_ʦ	0.079
ˈe	e̯ˈa_w	0.072
ˈi	ˈə	0.065
ˈa	ɨ	0.056
ˈa	-	0.056
a	-	0.056
r	u	0.052
ŋ	ŋ	0.051
