Alsatian	Pennsylvania German	probability
b̥	b	0.858
b̥	p	0.096
d̥	d	0.553
d̥	t	0.315
d̥	-	0.131
e	-	1.0
eː	eː	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.841
i	ə	0.159
j	j	0.793
j	k	0.207
k	k	0.979
kʰ	kʰ	0.954
l	l	0.963
m	m	1.0
n	n	0.907
p	p	1.0
p͡f	p	1.0
s	s	1.0
t	t	0.676
t	d	0.314
v	ɣ	0.569
v	v	0.431
w	ʋ	1.0
x	x	1.0
ŋ	ŋ	1.0
ə	ə	0.579
ə	ɑ	0.418
ɡ̊	ɡ	0.957
ʁ	-	0.522
ʁ	ɾ	0.478
ʃ	ʃ	0.69
ʃ	ç	0.215
ʃ	t	0.061
ʋ	ʋ	0.919
ʦ	ʦ	0.92
ʦ	s	0.08
ˈai̯	ˈɔː	1.0
ˈaː	ˈɔː	0.669
ˈaː	ˈa	0.331
ˈe	ˈɛ	0.863
ˈe	ˈɛː	0.08
ˈe	ˈɪ	0.057
ˈei̯	ˈaɪ̯	0.793
ˈei̯	ˈiː	0.207
ˈeː	ˈeː	0.853
ˈeː	ˈɛ	0.147
ˈi	ˈɪ	0.73
ˈi	ˈaɪ̯	0.109
ˈi	ˈeː	0.071
ˈi	ˈiː	0.061
ˈiː	ˈaɪ̯	0.493
ˈiː	ˈiː	0.408
ˈiː	ˈɛː	0.071
ˈo	ˈaː	0.549
ˈo	ˈɔ	0.276
ˈo	ˈʊ	0.111
ˈo	ˈɔː	0.064
ˈoː	ˈoː	0.796
ˈoː	ˈɔː	0.166
ˈu	ˈʊ	0.829
ˈu	ˈɪ	0.077
ˈyː	ˈaʊ̯	0.905
ˈyː	ˈʊ	0.095
ˈæ	ˈɛ	0.622
ˈæ	ˈeː	0.345
ˈæː	ˈɛː	0.555
ˈæː	ˈeː	0.355
ˈæː	ˈɛ	0.089
ˈø	ˈɔ	1.0
ˈøi̯	ˈaʊ̯	1.0
ˈøː	ˈuː	0.804
ˈøː	ˈʊ	0.196
ˈœ	ˈɔː	1.0
ˈɒ	ˈa	0.876
ˈɒ	ˈɔː	0.086
ˈɒː	ˈɔː	0.716
ˈɒː	ˈaː	0.186
ˈɒː	ˈa	0.06
ˈɔi̯	ˈɔː	1.0
ˈəi̯	ˈeː	0.865
ˈəi̯	ˈɔɪ̯	0.1
ˈɛ	ˈɛ	1.0
ˈʊː	ˈuː	0.456
ˈʊː	ˈɔː	0.276
ˈʊː	ˈʊ	0.19
ˈʊː	ˈaʊ̯	0.079
