Scots	Swiss German	probability
b	b̥	1.0
d	t	0.678
d	d̥	0.185
e	i	1.0
f	f	0.831
f	b̥	0.144
h	h	0.98
i	i	0.73
i	æ	0.27
j	j	0.299
j	ɡ̊	0.255
j	ˈøi̯	0.249
j	-	0.142
j	ˈæ	0.054
k	χ	0.736
k	k	0.232
kʰ	χ	0.816
kʰ	k	0.142
l	l	0.966
m	m	0.919
m	-	0.051
n	n	0.812
n	-	0.118
p	f	0.685
p	fː	0.223
p	p͡f	0.092
pʰ	p͡f	1.0
r	r	0.908
r	-	0.067
s	s	0.632
s	ʃ	0.338
t	sː	0.353
t	t	0.269
t	ʦ	0.189
t	s	0.175
tʰ	ʦ	0.913
tʰ	b̥	0.087
v	f	0.625
v	b̥	0.375
w	ʋ	0.855
w	-	0.145
x	χ	0.625
x	ɡ̊	0.375
z	s	0.803
z	r	0.197
ç	χ	0.929
ç	ɡ̊	0.071
ð	d̥	0.627
ð	tː	0.273
ð	t	0.1
ŋ	ŋ	0.893
ŋ	i	0.107
ə	ə	0.788
ə	-	0.149
ɛ	ə	1.0
ɡ	ɡ̊	0.816
ɡ	ɡ̊ː	0.143
ɪ	i	1.0
ʃ	ʃ	1.0
ʍ	ʋ	1.0
ʤ	ɡ̊ː	1.0
ʧ	χ	1.0
ˈa	ˈæ	0.392
ˈa	ˈɒ	0.304
ˈa	ˈɒː	0.263
ˈaɪ̯	ˈo	0.356
ˈaɪ̯	ˈi	0.355
ˈaɪ̯	ˈiː	0.29
ˈaː	ˈi	1.0
ˈaːɪ̯	ˈyː	1.0
ˈe	ˈæi̯	0.239
ˈe	ˈɒ	0.217
ˈe	ˈei̯	0.177
ˈe	ˈɛi̯	0.163
ˈe	ˈɒː	0.083
ˈe	ˈoː	0.055
ˈeː	ˈɒː	0.384
ˈeː	ˈɒ	0.235
ˈeː	ˈæ	0.178
ˈeː	ˈeː	0.094
ˈi	ˈyə̯	0.186
ˈi	ˈøː	0.134
ˈi	ˈoː	0.104
ˈi	ˈau̯	0.091
ˈi	ˈou̯	0.071
ˈi	ˈu	0.071
ˈi	ˈɒː	0.07
ˈi	ˈæ	0.064
ˈi	ˈyː	0.062
ˈi	ˈy	0.054
ˈiː	ˈyː	0.261
ˈiː	ˈɒː	0.117
ˈiː	ˈeː	0.114
ˈiː	ˈi	0.109
ˈiː	ˈiə̯	0.106
ˈiː	ˈou̯	0.073
ˈiː	ˈy	0.051
ˈo	ˈo	0.759
ˈo	ˈy	0.156
ˈoː	ˈɒ	0.552
ˈoː	ˈu	0.448
ˈu	ˈuː	0.648
ˈu	ˈo	0.142
ˈu	ˈu	0.105
ˈu	ˈy	0.105
ˈuː	ˈuː	0.352
ˈuː	-	0.267
ˈuː	ˈo	0.142
ˈuː	ˈu	0.142
ˈuː	ˈuə̯	0.097
ˈø	ˈuə̯	0.662
ˈø	ˈɒ	0.171
ˈø	ˈiː	0.113
ˈøː	ˈuə̯	1.0
ˈɑː	ˈɒ	0.871
ˈɑː	ˈøi̯	0.072
ˈɑː	ˈeː	0.057
ˈɔɪ̯	ˈe	1.0
ˈəi̯	ˈiː	0.555
ˈəi̯	ˈyː	0.306
ˈəi̯	ˈuː	0.098
ˈɛ	ˈæ	0.385
ˈɛ	ˈæː	0.176
ˈɛ	ˈe	0.089
ˈɛ	ˈeː	0.086
ˈɛ	ˈɒː	0.061
ˈɛ	ˈei̯	0.058
ˈɛ	ˈɒ	0.052
ˈɛː	ˈæː	1.0
ˈɪ	ˈi	0.452
ˈɪ	ˈy	0.095
ˈɪ	ˈu	0.092
ˈɪ	ˈoː	0.089
ˈʌ	ˈu	0.652
ˈʌ	ˈoː	0.22
ˈʌ	ˈøi̯	0.078
ˈʌu̯	ˈo	0.498
ˈʌu̯	ˈiə̯	0.435
ˈʌu̯	ˈy	0.067
θ	d̥	0.818
θ	ŋ	0.08
θ	t	0.07
