Westphalian	Westphalian	probability
ˈʏ	ˈɪ	1.0
ˈɪə̯	-	1.0
ˈɛː	j_ˈœ	1.0
ˈɔ	ˈa	1.0
ˈɒː	ˈɛːa̯	1.0
ˈøː	ˈøː	1.0
ˈø	-	1.0
ˈyːœ̯	-	1.0
ˈyː	ˈʊ̯iː_ɹ	1.0
ˈyə̯	ˈʊ	1.0
ˈuə̯	-	1.0
ˈiː_d̥	ˈʊ̯iː	1.0
ˈiɛ̯	-	1.0
ə_#>	#>	1.0
ŋ_k	ʰk	1.0
z̥	s	1.0
z	s	1.0
x_t	ʰt	1.0
x	ʤ̊	1.0
v	v	1.0
t_ə	t_ʊ	1.0
t_ɐ	ʰt͡n̥	1.0
t_n	t_a	1.0
s	s	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
k_ə	k_a	1.0
k_n	a	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
aɪ̯	a	1.0
<#_x	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
<#	<#_kʰ	1.0
b	b̥	0.909
ˈʊ	ˈʊ	0.857
r	ɹ	0.857
m	m	0.826
ˈiː	ˈʊ̯iː	0.8
ˈaʊ̯	ˈɛːi̯	0.778
ˈɔː	ˈɔ̯aː	0.727
ˈuː	ˈʉːu̯	0.714
ʋ	v	0.714
l	l	0.697
ʃ	s	0.667
ç	ʊ	0.667
k	k	0.667
ˈɪɛ̯	-	0.625
p	p	0.625
ˈuːə̯	ˈɔ	0.6
#>	ʊ_ɹ_#>	0.594
t	t	0.591
ə	a	0.545
ˈɪ	ˈɪ	0.526
d	tʰ	0.526
ˈoː	ˈɔːu̯	0.5
ˈaː	ˈɛːa̯	0.5
ˈaː	ˈa	0.5
ˈaɪ̯	-	0.5
ɐ	ɹ	0.455
ŋ	ŋ	0.455
n	a	0.451
d̥	d̥_ʊ	0.444
t	ʰt	0.409
ˈuːə̯	ˈɔ_ɹ	0.4
ˈeː	ˈai̯	0.4
ˈeː	-	0.4
ˈɛ	ˈɛ	0.385
ˈɪɛ̯	ˈeː	0.375
p	ʰp	0.375
n	n	0.353
ˈa	ˈa	0.348
ʃ	ʃ	0.333
ɡ	ʤ̊ː	0.333
ɡ	ɡ̊	0.333
ɡ	-	0.333
ç	-	0.333
d̥	d̥	0.333
ˈɪ	-	0.316
ˈɛ	j	0.308
ˈa	ˈɔ	0.304
ˈaɪ̯	ˈɔːu̯	0.3
#>	ɹ_#>	0.29
ˈuː	ˈɪ	0.286
ʋ	v_ʊ	0.286
ˈɔː	-	0.273
ə	ʊ	0.273
ŋ	ŋ_ɡ̊	0.273
ˈoː	ˈɔːu̯_w	0.25
ˈoː	-	0.25
ˈaʊ̯	-	0.222
k	ʰk	0.222
d̥	j_ʊ	0.222
ɐ	ɪ_ɹ	0.212
l	t͡l̥	0.212
ˈiː	ˈɛːa̯_ɹ	0.2
ˈeː	ˈaːi̯	0.2
ˈaɪ̯	ˈʉːu̯	0.2
ə	ɡ̊_a	0.182
ŋ	ɡ̊	0.182
ˈa	ˈɛːa̯	0.174
ˈɪ	ˈiː	0.158
d	j	0.158
ˈɛ	ˈɛːa̯	0.154
ˈɛ	-	0.154
ˈʊ	ˈʉːu̯	0.143
r	-	0.143
k	ʰʧ	0.111
d	ʧʰ	0.105
d	w	0.105
d	-	0.105
ɐ	ɹ_a	0.091
ŋ	ɲ	0.091
l	l̥	0.091
b	v	0.091
ˈa	ˈɛ	0.087
ˈa	ˈœ	0.087
m	mː	0.087
m	a	0.087
#>	a_#>	0.087
n	nː	0.078
n	n_d̥	0.078
ɐ	ˈeː	0.061
ɐ	ɹ_ɪ	0.061
ɐ	ɡ̊_ʊ	0.061
ɐ	a_ɹ	0.061
