Latin	Latin	probability
ˈyː	ˈi	1.0
ˈu	ˈu	1.0
ˈoː_r	ˈu	1.0
ˈoe̯	ˈe	1.0
ˈo	-	1.0
ˈĩː	lː	1.0
ˈi	ˈi	1.0
ˈeː_ɡ	ˈe_j	1.0
ˈe	j_ˈe	1.0
ˈaː_n	ˈa	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈa_w	1.0
ˈae̯	ˈɛ	1.0
ˈa_r	ˈa	1.0
ˈa_n	ˈa	1.0
ˈa	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	e	1.0
ɫ_ãː	ɔ	1.0
ɪ̃	z_e	1.0
ɪ_k	e	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	e	1.0
ɛ̃	-	1.0
ɛ_ɫ	e_l	1.0
ɛ_r	ɾ	1.0
ɛ_n	e_n	1.0
ɛ_#>	#>	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
w_ʊ̃ː	w	1.0
w_ɪ	w	1.0
w_ɛ̃ː	w	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	z	1.0
t_ʊ̃ː_#>	#>	1.0
t_r	j_ɾ	1.0
t_i	ʦ	1.0
t_ãː	ð_ɔ	1.0
sː	s	1.0
s_t	s_t	1.0
s_k	j_s	1.0
s_#>	s_#>	1.0
rː	ʀ	1.0
r_ˈaː	ɾ_ˈa	1.0
r_ˈa	ɾ_ˈa	1.0
r_ʊ̃ː	ɾ_e	1.0
r_ɛ_#>	#>	1.0
r_n_ʊ̃ː_#>	ʀ_#>	1.0
r_k	ʀ_k	1.0
p_ɛ	β	1.0
p_t	mː	1.0
o	u	1.0
nː	-	1.0
n_ɛ	n_d	1.0
n_t_ɛ̃ː_#>	n_#>	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	b	1.0
m_ɪ	nː	1.0
m_ɛ̃ː_#>	m_#>	1.0
lʲː	l	1.0
lʲ_ˈɪ	l_ˈe	1.0
lʲ_i	ʎ	1.0
lʲ	l	1.0
kː	k	1.0
k_ʊ̃ː_#>	k_#>	1.0
k_ʊ̃ː	ˈɔ_k	1.0
k_ɛ̃ː	ʦ	1.0
k_t	ʧ	1.0
k_r	k_ɾ	1.0
k_i	s	1.0
k_ãː	k_ɔ	1.0
j	ʤ	1.0
iː	i	1.0
fː	f	1.0
f	f	1.0
d_ʊ̃ː	t	1.0
b_ˈa	b_ˈa	1.0
b_ʊ	β	1.0
b_ɛ	w	1.0
ãː_#>	#>	1.0
ãː	ɔ	1.0
au̯	-	1.0
ae̯	e	1.0
a_d	a_ʤ	1.0
a	a	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɔ	<#_u	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_e	1.0
m	m	0.947
ˈiː	ˈi	0.917
ɫ	l	0.875
s	s	0.875
ˈuː	ˈy	0.87
ˈoː	ˈu	0.857
w	b	0.833
ˈeː	ˈe	0.818
ˈʊ	ˈu	0.81
ˈɛ	ˈɛ	0.81
p	p	0.792
ɛ	e	0.773
ˈɪ	ˈe	0.75
ŋ	ŋ	0.7
d	-	0.667
i	-	0.647
ˈɔ	ˈɔ	0.639
ʊ	-	0.636
n	n	0.636
aː	a	0.625
oː_#>	i_#>	0.6
kʷ	k	0.6
b	b	0.6
k_ʊ	ʎ	0.571
t	t	0.562
ɔ	u	0.545
eː	e_z	0.5
eː	-	0.5
e	e	0.5
e	-	0.5
a_#>	ɔ_#>	0.5
a_#>	#>	0.5
r	ɾ	0.49
ɪ	-	0.474
ɔ	-	0.455
k_ʊ	ˈɛ	0.429
ɪ	e	0.421
oː	u	0.417
r	ʀ	0.412
oː_#>	#>	0.4
ɡ	ɡ	0.379
aː	-	0.375
ʊ	u	0.364
n	-	0.364
k	s	0.353
oː	-	0.333
ɡ	ʤ	0.31
ŋ	n	0.3
b	β	0.3
t	ð	0.25
oː	w	0.25
ɡ	-	0.241
k	ɣ	0.235
k	-	0.235
ɛ	-	0.227
ˈɔ	ɥ	0.222
d	ʤ	0.222
kʷ	ɣ	0.2
kʷ	s	0.2
ˈʊ	ˈy	0.19
ˈeː	j	0.182
i	ˈɛ	0.176
i	j	0.176
w	β	0.167
ˈoː	-	0.143
ˈɔ	ˈu	0.139
ˈuː	-	0.13
ˈɪ	ˈɛ	0.125
ˈɪ	-	0.125
s	z	0.125
ˈɛ	j_ˈɛ	0.119
p	β	0.113
d	d	0.111
ɪ	ˈe	0.105
b	w	0.1
p	-	0.094
k	ˈɛ	0.088
k	k	0.088
ˈiː	-	0.083
ˈɛ	j	0.071
ɡ	ɣ	0.069
ɫ	w	0.062
ɫ	-	0.062
t	ʧ	0.062
t	s	0.062
t	-	0.062
r	-	0.059
m	-	0.053
