Gothic	Gothic	probability
θ_ˈuː	d	1.0
θ_s	d̥	1.0
θ_iː	d̥	1.0
β	v	1.0
ˈɛː_w	ˈiː	1.0
ˈɔ_r	ˈɔː	1.0
ˈuː	ˈuː	1.0
ˈu_ɡ	ˈoʊ̯	1.0
ˈiː_s	ˈeɪ̯	1.0
ˈiu̯_j	ˈøʏ̯	1.0
ʍ	ʋ	1.0
ɣ	j	1.0
ɡʷː	ˈyː	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ	ŋ	1.0
x	ɕ	1.0
u_s	ɡ̊	1.0
t_#>	d̥_#>	1.0
s_w	ʃ_ʋ	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_t	ʦ	1.0
r_#>	#>	1.0
nː	n	1.0
n_s	n	1.0
n_d	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
lː	ɫ	1.0
kʷ	k	1.0
k_s	ɕ	1.0
j_a	ə	1.0
j	j	1.0
iː	-	1.0
h_t	x	1.0
h_l	l	1.0
f_s	v̥	1.0
f	f	1.0
e	-	1.0
d_s	ɡ̊	1.0
aː	-	1.0
a_r	ɐ	1.0
<#_θ	<#_d	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_z	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
u	-	0.9
w	ʋ	0.875
ˈoː	ˈoː	0.857
b	b	0.857
i	-	0.778
oː	-	0.769
ˈiː	ˈiː	0.714
k	ɕ	0.714
l	ɫ	0.68
d	d	0.667
ˈiu̯	ˈeː	0.625
θ	d̥	0.6
ɡ_s	ɡ̊	0.6
n	n	0.6
h	h	0.6
a	ə	0.571
r	ɐ	0.55
ˈu	ˈo	0.545
ɡ	-	0.538
t	s	0.529
ˈɛ	ˈɛ	0.5
ˈɔ	ˈuː	0.5
ˈɔ	-	0.5
ˈeː	ˈoː	0.5
ˈeː	-	0.5
ˈa	ˈa	0.5
ð	d	0.5
ð	-	0.5
p	p	0.5
p	f	0.5
ɡ	j	0.462
ˈu	ˈɔ	0.455
r	ʀ	0.45
ˈɛː	ˈeː	0.429
s	ʃ	0.429
ˈɔː	ˈuː	0.4
ɡ_s	ɕ	0.4
ˈiu̯	ˈʏ	0.375
ˈi	ˈe	0.375
a	-	0.357
t	t	0.353
d	d̥	0.333
l	l	0.32
ˈɔː	ˈɔʊ̯	0.3
ˈɔː	ˈyː	0.3
n	ŋ	0.3
ˈɛː	ˈeɪ̯	0.286
ˈɛː	-	0.286
ˈiː	ˈɪ	0.286
k	k	0.286
ˈɛ	ˈɛː	0.25
ˈɛ	-	0.25
h	-	0.24
oː	ɐ	0.231
i	ə	0.222
ˈi	ˈɪ	0.219
s	z̥	0.214
s	-	0.214
ˈa	ˈaː	0.206
θ	d	0.2
θ	-	0.2
ˈoː	ˈøː	0.143
s	s	0.143
b	v̥	0.143
ˈi	ˈɛ	0.125
w	-	0.125
ˈa	ˈɛ	0.118
t	ʦ	0.118
u	ɪ	0.1
n	ə	0.1
ˈi	ˈɛː	0.094
ˈi	-	0.094
ˈa	ˈoː	0.088
ˈa	-	0.088
h	ˈo_ŋ	0.08
h	x	0.08
a	ɐ	0.071
ˈi	ˈœ	0.062
