Mecklenburgisch-Vorpommersch	Middle English	probability
ˈʊ_n	ˈuː	1.0
ˈʊ	ˈu	1.0
ˈɛː	-	1.0
ˈɛɪ̯	ˈeː	1.0
ˈɔʏ̯	ˈeː	1.0
ˈœ	-	1.0
ˈøː	ˈi_ŋ	1.0
ˈoː	ˈɛː	1.0
ˈeː	-	1.0
ɪ_ç	iː	1.0
ɣ̊	-	1.0
ɣ	-	1.0
ɡ̊	-	1.0
ɡ_l	ɫ	1.0
z̥	z	1.0
z	s	1.0
w	w	1.0
v_ˈɛː	w	1.0
r	r	1.0
pʰ	-	1.0
p	p	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
ae̯	eː	1.0
t	t	0.931
b	b	0.851
v	w	0.839
m	m	0.811
n	n	0.775
d	θ	0.754
s	s	0.751
kʰ	k	0.706
ɡ	ɡ	0.691
ɾ	d_ə	0.664
ʃ	ʃ	0.662
ˈiː	ˈiː	0.656
ˈyː	ˈeː	0.621
l	l	0.605
ˈœː	-	0.541
ˈaː	ˈa_r	0.539
ˈʏ	ˈi	0.534
x	ç	0.501
x	x	0.499
ˈa	ˈa	0.483
ˈɪ	ˈi	0.475
ˈɛ	ˈɛ	0.472
k	k_ə	0.471
ˈaʊ̯	ˈoː	0.47
ˈœː	ˈu	0.459
æ	r	0.444
ˈuː	ˈuː	0.437
ˈɔ	-	0.426
ŋ	ŋ_ɡ	0.426
ˈae̯	ˈɔː	0.402
ç	ʤ	0.381
ˈyː	ˈiː	0.379
ç	ç	0.365
ˈɪ	ˈiː	0.362
ˈiː	-	0.344
ʃ	s	0.338
ɾ	ð	0.336
l	ɫ	0.333
ˈaʊ̯	ˈɛː	0.326
ˈɔ	ˈu	0.317
ɡ	-	0.309
kʰ	ʧ	0.294
ˈuː	ˈɔ	0.278
ˈʏ	ˈu	0.267
ˈa	ˈɔː	0.267
ˈɔ	ˈɔ	0.258
ç	x	0.254
s	k	0.249
d	d	0.246
ˈɒː	ˈaː	0.243
æ	ə_r	0.242
ˈɛ	ˈæi̯	0.236
k	k	0.235
ˈaː	ˈɛ_r	0.231
ˈaː	ˈa	0.231
æ	r_ə	0.231
ˈae̯	ˈeː	0.225
ˈae̯	-	0.223
k	ʧ_ə	0.212
ŋ	n	0.206
ˈɒː	ˈɛː	0.204
ˈʏ	-	0.198
ˈɛ	ˈi	0.194
v	ʍ	0.161
ˈɒː	ˈoː	0.158
ˈɒː	ˈɔː	0.156
ˈae̯	ˈiː_ə	0.15
b	v	0.149
ˈuː	-	0.146
ˈuː	ˈu	0.139
ŋ	ə_n	0.135
ˈa	ˈaː	0.133
ŋ	ŋ	0.127
ˈɒː	ˈæi̯	0.119
ˈɒː	-	0.119
n	n_d	0.118
m	v_ə	0.112
ŋ	n_ɡ	0.106
ˈɛ	-	0.098
ˈɪ	-	0.092
æ	ə	0.083
k	-	0.081
ˈɪ	ˈeː	0.071
ˈaʊ̯	ˈuː	0.069
t	d	0.069
n	-	0.069
ˈaʊ̯	ˈɔː	0.068
ˈaʊ̯	-	0.068
ˈa	ˈi	0.061
l	l_ˈɛː	0.061
m	m_b	0.051
