Cantonese	Cantonese	probability
⁵⁵	⁴⁴	1.0
ʧ	t	1.0
ʃ	s	1.0
ɵ_ɥ	u	1.0
ɵ	u	1.0
ɪ_ŋ	j_ã	1.0
ɛː	j	1.0
ɔː_⁵⁵	ɔ̃	1.0
ɔː_ŋ	ŋ̍	1.0
ɔː_²¹	ɤ	1.0
ɔː_n	w_ã	1.0
ɔː_j	a_j	1.0
ɐ_w	i_w	1.0
œː	j	1.0
ŋ̍	-	1.0
ŋ	ŋ	1.0
³⁵	⁵³	1.0
³³	¹¹	1.0
³	³²	1.0
²	⁴	1.0
uː	-	1.0
u	ɔ	1.0
tʰ	tʰ	1.0
t	t	1.0
p	p	1.0
o	a	1.0
n_aː	l_a	1.0
l	l	1.0
kʷʰ	k	1.0
kʷ	k	1.0
kʰ	k	1.0
k	k	1.0
j_ɐ	i	1.0
j_yː	h	1.0
iː_w	j_o	1.0
iː_n	ĩ	1.0
h_ɵ	kʰ	1.0
e_j	i	1.0
e	-	1.0
aː_n	ŋ̍	1.0
<#_ŋ	<#_ɡ	1.0
<#_w	<#	1.0
<#_h	<#	1.0
<#	<#_ɡ	1.0
²¹	²⁴	0.973
²²	³³	0.923
⁵	³²	0.875
¹³	⁵³	0.833
iː	i	0.75
ʦʰ	ʦʰ	0.667
ʧʰ	ʦʰ	0.6
k̚	k̚	0.588
n	n	0.571
m	m	0.562
t̚	t̚	0.545
h	kʰ	0.545
ʊ	a	0.538
w	w	0.538
pʰ	pʰ	0.5
pʰ	p	0.5
o_w	ɔ	0.5
o_w	o	0.5
f	h	0.5
aː	e	0.5
t̚	ʔ	0.455
h	h	0.455
s	ɕ	0.438
m	b	0.438
ʧʰ	ʦ	0.4
yː	-	0.375
ʦʰ	t	0.333
ʦ	ʨ	0.333
ʦ	ʦ	0.333
ʦ	-	0.333
ɔː	ɔ	0.333
ɐ	u	0.333
ɐ	a	0.333
j	l	0.312
j	j	0.312
w	h	0.308
f	p	0.3
k̚	ʔ	0.294
ɔː	o	0.25
ɔː	a	0.25
yː	w_a	0.25
yː	u	0.25
j	e	0.25
iː	j	0.25
ɐ	i	0.238
n	ŋ̍	0.238
ʊ	ɪ	0.231
ʊ	ɔ	0.231
aː	a	0.214
f	h_w	0.2
s	ʨ	0.188
ɔː	-	0.167
¹³	ɔ_³³	0.167
w	-	0.154
aː	w	0.143
aː	-	0.143
⁵	⁵	0.125
yː	ɛ	0.125
s	ʨʰ	0.125
s	s	0.125
s	-	0.125
j	a	0.125
k̚	o_ʔ	0.118
ɐ	ɪ	0.095
n	l	0.095
n	ã	0.095
²²	²²	0.077
