Swiss German	East Low German	probability
b̥	b	0.682
b̥	f	0.128
b̥	-	0.124
b̥	v	0.051
d̥	d	0.847
d̥	-	0.141
d̥_ə	ɾ	0.49
f	f	0.785
f	p	0.104
f	-	0.077
f	b	0.035
fː	p	1.0
h	h	0.905
h	-	0.085
i	ɪ	0.742
i	n	0.1
i	-	0.067
j	j	1.0
k	k	1.0
l	l	1.0
m	m	0.977
m	v	0.037
mː	m	0.24
n	n	0.971
n	-	0.034
p	p	0.594
p	f	0.392
p͡f	p	1.0
r	r	0.488
r	æ	0.402
r	-	0.083
r_ə	æ	0.49
r_ʦ	t	1.0
rː	æ	0.24
s	z	0.524
s	s	0.333
s	t	0.138
sː	t	0.856
sː	-	0.139
t	t	0.621
t	d	0.313
t	-	0.057
t_ə	ɾ	0.49
tː	ɾ	1.0
ŋ	ŋ	0.634
ŋ	n_d	0.256
ŋ	n	0.086
ŋ_ə	ŋ	1.0
ə	-	0.543
ə	n	0.418
ə	ɾ	0.033
ə_r	æ	1.0
ɡ̊	-	0.249
ɡ̊	ɡ	0.24
ɡ̊	ç	0.224
ɡ̊	k	0.091
ɡ̊	j	0.079
ɡ̊_ə	ŋ	1.0
ʃ	ʃ	0.797
ʃ	s	0.199
ʃː	ʃ	0.118
ʋ	v	0.86
ʋ	w	0.088
ʋ	-	0.05
ʦ	tʰ	0.668
ʦ	t	0.326
ˈa	ˈa	0.596
ˈa	ˈaʊ̯	0.253
ˈa	ˈaː	0.1
ˈau̯	ˈaʊ̯	0.699
ˈau̯	ˈuː	0.111
ˈau̯	ˈoː	0.067
ˈe	ˈɛ	0.5
ˈe	ˈɛː	0.25
ˈe	ˈɪ	0.25
ˈei̯	ˈae̯	0.561
ˈei̯	ˈiː	0.208
ˈei̯	ˈae̯_n	0.078
ˈeː	ˈeː	0.561
ˈeː	ˈae̯	0.425
ˈi	ˈɪ	0.757
ˈi	ˈiː	0.115
ˈi	ˈœː	0.056
ˈi	ˈɛ	0.056
ˈiə̯	ˈiː	0.514
ˈiə̯	ˈɪ	0.351
ˈiə̯	ˈae̯	0.088
ˈiː	ˈiː	0.855
ˈiː	ˈɪ	0.144
ˈo	ˈɔ	0.424
ˈo	ˈuː	0.153
ˈo	ˈɒː	0.153
ˈo	ˈʊ	0.153
ˈo	ˈøː	0.075
ˈou̯	ˈaʊ̯	0.561
ˈou̯	ˈœ	0.28
ˈou̯	ˈɔ	0.104
ˈoː	ˈaʊ̯	0.421
ˈoː	ˈɒː	0.295
ˈoː	ˈuː	0.161
ˈoː	ˈœː	0.107
ˈu	ˈʊ	0.433
ˈu	ˈɔ	0.219
ˈu	ˈʏ	0.145
ˈu	ˈuː	0.107
ˈu	ˈoː	0.065
ˈuə̯	ˈaʊ̯	0.912
ˈuə̯	ˈʊ	0.075
ˈuː	ˈuː	0.76
ˈuː	ˈœː	0.138
ˈuː	ˈʊ	0.076
ˈy	ˈʏ	0.377
ˈy	ˈae̯	0.224
ˈy	ˈœː	0.148
ˈy	ˈɪ	0.148
ˈy	ˈɛ	0.075
ˈyə̯	ˈɔʏ̯	0.675
ˈyə̯	ˈaʊ̯	0.213
ˈyː	ˈae̯	0.351
ˈyː	ˈyː	0.313
ˈyː	ˈɛː	0.093
ˈyː	ˈɔʏ̯	0.093
ˈyː	ˈiː	0.071
ˈæ	ˈɛ	0.33
ˈæ	ˈɛː	0.167
ˈæ	ˈiː	0.145
ˈæ	ˈa	0.11
ˈæ	ˈœ	0.066
ˈæi̯	ˈae̯	0.363
ˈæi̯	j	0.275
ˈæː	ˈaː	0.28
ˈæː	ˈɛɪ̯	0.28
ˈæː	ˈae̯	0.171
ˈæː	ˈɛ	0.171
ˈø	ˈʏ	0.197
ˈø	ˈœː	0.197
ˈø	ˈa	0.181
ˈø	ˈœ	0.181
ˈøi̯	ˈae̯	0.28
ˈøi̯	ˈɔʏ̯	0.28
ˈøi̯	ˈiː	0.171
ˈøi̯	ˈʊ	0.171
ˈøː	ˈyː	0.425
ˈøː	ˈɔʏ̯	0.239
ˈøː	ˈøː	0.135
ˈɒ	ˈa	0.555
ˈɒ	ˈɒː	0.174
ˈɒ	ˈɔ	0.087
ˈɒ	ˈɛː	0.076
ˈɒ	-	0.05
ˈɒː	ˈɒː	0.497
ˈɒː	ˈaː	0.21
ˈɒː	ˈa	0.159
ˈɒː	ˈoː	0.107
ˈɛi̯	ˈae̯	0.699
ˈɛi̯	ˈɪ	0.146
χ	kʰ	0.456
χ	k	0.264
χ	x	0.241
χ	ç	0.039
χ_s	s	1.0
χ_t	ç	1.0
χ_ə	ç	1.0
