Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɛː	ˈɛ_ɡ̊	1.0
ˈɔɪ̯	ˈœ_ɹ	1.0
ˈøː	ˈɛ	1.0
ˈoː	-	1.0
ˈiː_r	ɹ	1.0
ˈiː_#>	#>	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaɪ̯	-	1.0
ʧ	k	1.0
ʤ	ɡ̊ː	1.0
ʍ	kʰ_v	1.0
ŋ_k	ʰk	1.0
ç_t	ʰt	1.0
ç	ʊ	1.0
z	s	1.0
x_t	ʰt	1.0
x	-	1.0
v	v	1.0
tʰ	tʰ	1.0
t_ə	ʰt͡n̥	1.0
s_#>	s_#>	1.0
r_ˈɪ	ɹ_ˈɛ	1.0
r_n	t͡n̥	1.0
r_#>	#>	1.0
pʰ	pʰ	1.0
kʰ	kʰ	1.0
i	-	1.0
h	h	1.0
f_#>	v_ʊ_ɹ_#>	1.0
e	a_ŋ	1.0
d_#>	#>	1.0
b	b̥	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
l	l	0.917
m	m	0.909
f	f	0.9
ŋ	ŋ	0.889
s	s	0.882
#>	ʊ_ɹ_#>	0.868
r	ɹ	0.865
ˈəi̯	ˈʊ̯iː	0.833
<#_l	<#_l	0.818
θ	tʰ	0.778
ˈʌ	ˈʊ	0.778
<#_w	<#_v	0.75
t	t	0.706
n	n	0.706
ˈo	-	0.667
θ_#>	#>	0.6
ˈø	ˈɔːu̯	0.6
d	d̥	0.579
k	k	0.529
ʃ	ʃ	0.5
ʃ	s_k	0.5
ɡ	ʤ̊	0.5
ɡ	ɡ̊ː	0.5
ð	w	0.5
ð	-	0.5
p	ʰp	0.5
p	p	0.5
ˈuː	ˈɪ_ɡ̊	0.429
ˈɑː	ˈa	0.417
ˈu	ˈʉːu̯	0.417
ə	ɪ	0.417
w	v	0.417
θ_#>	nː_#>	0.4
ˈe	ˈai̯	0.4
ˈɛ	ˈɛ	0.385
ˈɪ	ˈɪ	0.359
ˈo	ˈɔ	0.333
ˈi	-	0.333
ˈeː	ˈa	0.333
ˈɛ	-	0.308
ˈuː	ˈʊ_t͡l̥	0.286
ˈuː	ˈʉːu̯	0.286
ˈa	ˈa	0.286
ˈeː	ˈɛːa̯	0.267
ˈe	ˈɛːa̯	0.267
t	ʰt	0.265
ˈɑː	-	0.25
ˈu	ˈʊ	0.25
ˈiː	ˈʊ̯iː	0.25
ə	ʊ	0.25
w	v_ˈeː	0.25
<#_w	<#	0.25
θ	ʧʰ	0.222
ˈʌ	-	0.222
ˈa	ˈœ	0.214
ˈa	-	0.214
ˈi	ˈøː	0.208
ˈø	ˈɔ̯aː	0.2
ˈø	-	0.2
ˈeː	ˈɔ̯aː	0.2
ˈeː	j	0.2
ˈe	ˈaːi̯	0.2
ˈiː	ˈɛːa̯	0.188
ˈiː	ˈɔːi̯	0.188
<#_l	<#	0.182
ˈɪ	-	0.179
k	ʧ	0.176
k	-	0.176
ˈəi̯	-	0.167
ˈɑː	ˈɔ_l	0.167
ˈɑː	ˈɔ	0.167
ˈu	ˈʏ	0.167
ˈu	ˈʊ_ɡ̊	0.167
w	ˈoː	0.167
w	-	0.167
ˈɛ	ˈɔ	0.154
ˈɛ	ˈeː	0.154
ˈa	ˈɛːa̯	0.143
ˈa	ˈɛ	0.143
ˈe	ˈa	0.133
ˈɪ	ˈiː	0.128
ˈiː	ˈɛːa̯_ɹ	0.125
ˈiː	ˈeː	0.125
ˈiː	-	0.125
ˈi	ˈʉːu̯	0.125
ˈi	ˈɛːi̯	0.125
ˈi	ˈœ	0.125
s	ʃ	0.118
k	ʰk	0.118
ŋ	ɲ	0.111
d	w	0.105
d	j_a	0.105
d	j	0.105
d	a	0.105
ˈɪ	ˈɔːu̯	0.103
ˈɪ	ˈɔ	0.103
f	v	0.1
m	-	0.091
ˈi	ˈɔ̯aː	0.083
ə	ɹ_ʊ	0.083
ə	ɹ	0.083
ə	ɡ̊_ʊ	0.083
ə	-	0.083
l	-	0.083
ˈɪ	j	0.077
n	n̥	0.059
n	nː_a	0.059
n	nː	0.059
n	n_d̥	0.059
n	-	0.059
r	ɹ_a	0.058
ˈɪ	ˈɛːa̯	0.051
