Icelandic	Limburgish	probability
a	ə	0.667
a	-	0.333
aːu̯	i	1.0
b̥	b	0.98
c	ʃ	0.479
c	k	0.311
c	-	0.21
cʰ	k	0.92
cʰ	d	0.08
d̥	d	0.81
d̥	t	0.165
f	v	0.914
f	ˈv	0.075
h	ɦ	0.955
i	ə	1.0
j	ˈeː	0.583
j	-	0.275
j	ˈi	0.1
k	k	0.555
k	-	0.213
k	ə_k	0.176
k	ʦ	0.056
kʰ	k	0.693
kʰ	-	0.238
kʰ	v	0.069
l	l	0.635
l	-	0.153
l	j	0.087
l	l_ə	0.066
l	ə_l	0.059
l̥	l	0.415
l̥	-	0.195
l̥	l_ə	0.157
l̥	j	0.135
l̥	ə_l	0.098
m	m	0.93
n	n	0.889
n	-	0.111
nː	n	0.655
nː	n_d	0.256
nː	l	0.089
n̥	ə	0.718
n̥	-	0.144
n̥	m	0.098
p	p	0.851
p	-	0.125
r	ʀ	0.729
r	ʀ_ə	0.133
r	-	0.121
rː̥	ʀ	1.0
r̥	-	0.69
r̥	ʀ	0.31
s	z	0.439
s	s	0.407
s	-	0.118
sː	s	1.0
t	t	0.662
t	-	0.265
t	j	0.073
tʰ	t	0.864
tʰ	t_β	0.104
u	-	0.5
u	ə	0.5
v	β	0.524
v	v	0.289
v	-	0.059
v	p	0.056
x	x	1.0
ç	ɦ	0.986
ð	t	0.407
ð	-	0.301
ð	j	0.274
ŋ	ŋ	0.651
ŋ	-	0.146
ŋ	n	0.146
ŋ	ɪ	0.057
ɑu̯	ɪ	1.0
ɛ	-	1.0
ɛː	ə	1.0
ɟ̊	ɣ	0.945
ɟ̊	-	0.055
ɟ̊ː	k	1.0
ɡ̊	ɣ	0.429
ɡ̊	-	0.401
ɡ̊	ŋ	0.117
ɡ̊ː	-	0.362
ɡ̊ː	x	0.362
ɡ̊ː	k	0.275
ɣ	x	0.851
ɣ	k	0.149
ɪ	ə	0.512
ɪ	-	0.454
ɲ	ŋ	1.0
ʏ	-	0.857
ʏ	ə	0.108
ʰc	k	1.0
ʰk	k	1.0
ʰp	p	1.0
ʰt	t	0.544
ʰt	x	0.456
ˈa	ˈaː	0.377
ˈa	ˈæː	0.158
ˈa	ˈɑː	0.136
ˈa	ˈɑ	0.114
ˈa	ˈɪ	0.108
ˈa	ˈæ	0.061
ˈai̯	ˈʏː	0.571
ˈai̯	ˈøː	0.429
ˈau̯	ˈʊː	0.629
ˈau̯	ˈaː	0.281
ˈau̯	ˈæː	0.09
ˈaː	ˈaː	0.643
ˈaː	ˈɑ	0.142
ˈaː	ˈi	0.073
ˈaː	ˈɑː	0.054
ˈaː	ˈœ	0.052
ˈaːi̯	ˈøː	0.448
ˈaːi̯	j	0.239
ˈaːi̯	ˈɪ	0.194
ˈaːi̯	ˈɑ	0.119
ˈaːu̯	ˈi	0.521
ˈaːu̯	ˈʊː	0.315
ˈaːu̯	ˈɒː	0.164
ˈeːi̯	ˈœi̯	0.747
ˈeːi̯	ˈɛː	0.253
ˈi	ˈɪː	0.534
ˈi	ɪː	0.262
ˈi	ˈøː	0.159
ˈiː	ˈiː	0.382
ˈiː	-	0.146
ˈiː	ˈoː	0.108
ˈiː	ˈœi̯	0.09
ˈiː	ˈɛ	0.076
ˈiː	ˈɛi̯	0.076
ˈiː	ˈøː	0.052
ˈou̯	ˈøː	0.629
ˈou̯	ˈɔː	0.281
ˈou̯	ˈæ	0.09
ˈoːu̯	ˈʊː	0.386
ˈoːu̯	ʀ	0.209
ˈoːu̯	ˈoː	0.096
ˈoːu̯	ˈɔ	0.087
ˈoːu̯	j	0.085
ˈoːu̯	ˈøː	0.073
ˈu	ˈʊː	0.771
ˈu	ˈyː	0.123
ˈu	ˈɪː	0.072
ˈuː	ˈuː	0.927
ˈuː	ˈɔu̯	0.073
ˈœ	-	0.637
ˈœ	ˈɑː	0.262
ˈœ	ˈaː	0.066
ˈœy̯	ˈyː	1.0
ˈœː	ə	0.451
ˈœː	-	0.412
ˈœː	ˈi	0.051
ˈœː	ˈœ	0.051
ˈœːy̯	ˈu	0.491
ˈœːy̯	ˈɔː	0.307
ˈœːy̯	ˈɔu̯	0.202
ˈɑu̯	ˈaː	0.651
ˈɑu̯	ˈɑ	0.349
ˈɑːu̯	ˈɒː	0.721
ˈɑːu̯	ˈu	0.218
ˈɑːu̯	ˈi	0.062
ˈɔ	ˈʊː	0.612
ˈɔ	ˈœː	0.236
ˈɔ	ʀ	0.084
ˈɔu̯	ˈɛː	0.438
ˈɔu̯	ˈʊː	0.269
ˈɔu̯	ˈɑ	0.152
ˈɔu̯	ˈɔ	0.14
ˈɔː	ˈɔː	0.425
ˈɔː	ˈɒː	0.353
ˈɔː	ˈʊː	0.222
ˈɛ	ˈeː	0.262
ˈɛ	-	0.238
ˈɛ	ˈæː	0.179
ˈɛ	ˈɑ	0.148
ˈɛ	ˈɛːi̯	0.073
ˈɛ	ˈæ	0.062
ˈɛi̯	ˈɛː	1.0
ˈɛː	ˈeː	0.283
ˈɛː	-	0.227
ˈɛː	ˈɒː	0.227
ˈɛː	ˈøː	0.172
ˈɛːi̯	ˈɛːi̯	0.317
ˈɛːi̯	ˈɛː	0.303
ˈɛːi̯	ˈɛ	0.216
ˈɛːi̯	ˈuː	0.076
ˈɛːi̯	ˈɔː	0.052
ˈɪ	ˈɪː	0.299
ˈɪ	ˈœ	0.158
ˈɪ	ˈiː	0.115
ˈɪ	ˈɛ	0.114
ˈɪ	ˈɛː	0.103
ˈɪ	ˈʊː	0.065
ˈɪ	ˈɔ	0.057
ˈɪː	ˈɛː	0.372
ˈɪː	ˈeː	0.282
ˈɪː	ˈøː	0.13
ˈɪː	ˈi	0.126
ˈɪː	ˈɪ	0.089
ˈʏ	ˈʊː	0.547
ˈʏ	ˈʏ	0.119
ˈʏ	ˈɪ	0.08
ˈʏ	ˈɔ	0.076
ˈʏ	ˈœi̯	0.059
ˈʏ	ˈuː	0.055
ˈʏː	ˈoː	0.527
ˈʏː	ˈeː	0.232
ˈʏː	ˈyː	0.16
ˈʏː	ˈɔ	0.081
θ	d	0.901
θ	-	0.099
