Icelandic	Limburgish	probability
a	ə	0.595
a	-	0.341
a	d_ə	0.058
b̥	b	0.947
b̥	-	0.056
c	ʃ	0.608
c	-	0.121
c	k	0.111
cʰ	k	1.0
d̥	d	0.74
d̥	t	0.259
d̥_ʏ	t	1.0
f	v	0.863
f	f	0.069
f	ˈv	0.069
h	ɦ	0.929
h	k	0.071
i	-	0.492
j	ˈeː	0.385
j	-	0.344
j	ˈi	0.102
j	ɡ	0.067
j	x	0.057
j_ˈoːu̯	ˈeː	0.668
j_ˈoːu̯	ˈi	0.23
j_ˈuː	ˈeː	1.0
j_ˈœ	ˈeː	1.0
k	k	0.749
k	-	0.157
k	ʦ	0.078
k_s	s	0.242
kʰ	k	1.0
kʰ_v	β	1.0
l	l	0.687
l	ə_l	0.1
l	-	0.079
l	j	0.079
l	l_ə	0.045
l_ʏ	l	1.0
l̥	l	0.412
l̥	l_ə	0.288
l̥	-	0.122
l̥	j	0.089
l̥	ə_l	0.07
l̥_ʏ	l	1.0
m	m	0.93
m	f	0.069
m_ʏ	m	1.0
n	n	0.856
n	-	0.13
nː	n	0.866
nː	l	0.133
n̥	ə	0.619
n̥	-	0.246
n̥	n	0.083
p	p	0.549
p	v	0.268
p	m	0.107
p_ʏ	p	1.0
r	ʀ	0.736
r	ʀ_ə	0.127
r	-	0.071
r	ə_ʀ	0.062
r_t	ʀ	1.0
rː̥	x	0.324
rː̥	ʀ	0.324
r̥	-	0.676
r̥	ʀ	0.282
r̥	x	0.031
s	z	0.495
s	s	0.364
s	-	0.091
s	ʃ	0.032
s	x	0.03
s_c	s	1.0
s_k	s	1.0
s_t	s	1.0
sː	s	0.242
t	t	0.885
t	-	0.101
t_j	t	1.0
t_l̥	l	1.0
t_n̥	n	1.0
t_ʏ	t	1.0
tʰ	t	0.677
tʰ	t_β	0.312
u	-	0.282
u	ə	0.282
v	β	0.503
v	v	0.18
v	-	0.112
v	p	0.103
v	b	0.052
v_ʏ	f	1.0
x	x	1.0
ç	ɦ	0.733
ç	β	0.186
ð	t	0.545
ð	-	0.239
ð	j	0.174
ð	d	0.038
ŋ	ŋ	0.908
ŋ	-	0.085
ɑu̯	ɪ	0.492
ɛ	-	0.324
ɛ	ə	0.324
ɛː	ə	0.492
ɟ̊	ɣ	0.721
ɟ̊	-	0.158
ɟ̊	k	0.055
ɡ̊	ɣ	0.451
ɡ̊	-	0.416
ɡ̊	k	0.056
ɡ̊	x	0.048
ɡ̊	ə_x	0.041
ɡ̊_ʏ	ə	0.646
ɡ̊_ʏ	k	0.351
ɣ	x	0.776
ɣ	k	0.172
ɣ_a	x	1.0
ɪ	-	0.562
ɪ	ə	0.363
ɪ	ʀ	0.068
ɲ	ŋ	0.492
ʏ	-	0.788
ʏ	ə	0.21
ʰk	ŋ_k	0.574
ʰk	k	0.282
ʰp	p	1.0
ʰt	x	0.596
ʰt	t	0.27
ʰt_ʏ	x	1.0
ˈa	ˈaː	0.308
ˈa	ˈɑː	0.221
ˈa	ˈæː	0.124
ˈa	ˈæ	0.094
ˈa	ˈɑ	0.094
ˈai̯	ˈʏː	0.488
ˈai̯	ˈøː	0.136
ˈai̯	ˈɪː	0.136
ˈaː	ˈaː	0.53
ˈaː	ˈɑ	0.162
ˈaː	ˈœ	0.107
ˈaː	ˈɑː	0.107
ˈaː	ˈeː	0.08
ˈaːi̯	ˈøː	0.389
ˈaːi̯	ˈɑ	0.166
ˈaːi̯	j	0.157
ˈaːi̯	ˈɪ	0.157
ˈaːu̯	ˈʊː	1.0
ˈeːi̯	ˈɛː	0.5
ˈeːi̯	ˈœi̯	0.5
ˈi	ˈɪː	0.304
ˈi	ɪː	0.223
ˈi	ˈøː	0.152
ˈi	ˈœi̯	0.098
ˈiː	ˈiː	0.506
ˈiː	ˈœi̯	0.126
ˈiː	-	0.11
ˈiː	ˈøː	0.073
ˈiː	ˈɪ	0.073
ˈou̯	ˈæ	0.488
ˈou̯	ˈøː	0.136
ˈou̯	ˈɔː	0.136
ˈoːu̯	ˈʊː	0.431
ˈoːu̯	ˈoː	0.15
ˈoːu̯	ˈɔ	0.114
ˈoːu̯	j	0.087
ˈoːu̯	ˈøː	0.085
ˈu	ˈʊː	0.397
ˈu	ˈʊ	0.135
ˈu	ˈyː	0.122
ˈu	ˈɔː	0.122
ˈu	ˈɪː	0.122
ˈuː	ˈuː	1.0
ˈœ	ˈɑː	0.364
ˈœ	ˈaː	0.276
ˈœ_r	ʀ	1.0
ˈœy̯	ˈyː	0.492
ˈœː	ˈɔ	0.253
ˈœː	ə	0.253
ˈœː	ˈœ	0.164
ˈœː	ˈi	0.155
ˈœː	-	0.065
ˈœːy̯	ˈu	0.514
ˈœːy̯	ˈɔː	0.282
ˈœːy̯	ˈɔu̯	0.186
ˈɑu̯	ˈɑ	0.603
ˈɑu̯	ˈaː	0.389
ˈɑːu̯	ˈɒː	0.552
ˈɑːu̯	ˈi	0.217
ˈɑːu̯	ˈiː	0.119
ˈɑːu̯	ˈu	0.076
ˈɔ	ˈʊː	0.412
ˈɔ	ˈœː	0.237
ˈɔ	ˈoː	0.136
ˈɔ	ˈɒː	0.099
ˈɔ	ˈʏː	0.072
ˈɔu̯	ˈɛː	0.204
ˈɔu̯	ˈʊː	0.204
ˈɔu̯	ˈɑ	0.204
ˈɔu̯	ˈɔ	0.125
ˈɔː	ˈɒː	0.5
ˈɔː	ˈʊː	0.5
ˈɛ	ˈeː	0.247
ˈɛ	ˈɑ	0.187
ˈɛ	ˈɛ	0.096
ˈɛ	-	0.091
ˈɛ	ˈæ	0.08
ˈɛi̯	ˈɛː	1.0
ˈɛː	ˈeː	0.376
ˈɛː	ˈɒː	0.186
ˈɛː	ˈi	0.186
ˈɛː	-	0.124
ˈɛː	ə	0.08
ˈɛːi̯	ˈɛː	0.271
ˈɛːi̯	ˈyː	0.143
ˈɛːi̯	ˈɔː	0.143
ˈɛːi̯	ˈuː	0.143
ˈɛːi̯	ˈɛ	0.143
ˈɪ	ˈɪː	0.187
ˈɪ	ˈɛ	0.142
ˈɪ	ˈɔ	0.124
ˈɪ	ˈiː	0.124
ˈɪ	ˈʏː	0.124
ˈɪː	ˈeː	0.416
ˈɪː	ˈi	0.275
ˈɪː	ˈɛː	0.101
ˈɪː	ˈɪ	0.101
ˈʏ	ˈʊː	0.248
ˈʏ	ˈuː	0.111
ˈʏ	w	0.111
ˈʏ	ˈœi̯	0.111
ˈʏ	ˈyː	0.087
ˈʏ_t	ˈɔ	1.0
ˈʏː	ˈeː	0.209
ˈʏː	ˈoː	0.197
ˈʏː	ˈyː	0.182
ˈʏː	ˈɔ	0.128
θ	d	1.0
