Asturian	Asturian	probability
θ_ˈe	s_e	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʃ_u	s	1.0
ʃ	ð	1.0
ɾ_β	r_b	1.0
ɾ_t	r_t	1.0
ɾ_m	ˈɛ	1.0
ɾ_#>	r_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
ŋ	ŋ	1.0
ð_ɾ	r	1.0
ð	d	1.0
u_ð	t	1.0
u_#>	#>	1.0
u	o	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
n_u	ŋ	1.0
k_o	k	1.0
k	k	1.0
f_e	b	1.0
f	f	1.0
e_#>	#>	1.0
a_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
#>	e_#>	1.0
s	s	0.92
t	t	0.895
a	a	0.894
d	d	0.846
m	m	0.842
l	l	0.778
ˈi	ˈi	0.773
o	o	0.733
j_ˈe	ˈɛ	0.733
ɾ	r	0.694
w_ˈe	ˈɔ	0.688
β	v	0.684
n	n	0.679
ˈu	ˈu	0.667
ɾ_u	r_o	0.667
ɲ	n	0.667
w	w	0.667
ˈo	ˈo	0.649
j	j	0.625
ˈe	ˈe	0.6
i	-	0.571
b	v	0.565
ʎ	l	0.5
b	b	0.435
i	i	0.429
e	e	0.414
j	-	0.375
ʝ	ʧ	0.364
ʝ	j	0.364
ˈu	ˈo	0.333
ɾ_u	r	0.333
ɲ	-	0.333
w	ˈo	0.333
n	ŋ	0.321
θ	s	0.312
w_ˈe	ˈo	0.312
e	-	0.276
ʝ	-	0.273
o	-	0.267
j_ˈe	ˈe	0.267
θ	θ	0.25
θ	z	0.25
ˈi	-	0.227
l	-	0.222
ʎ	p_j	0.214
β	-	0.211
θ	-	0.188
ˈo	ˈɔ	0.162
m	-	0.158
d	t	0.154
ʎ	ʧ	0.143
ʎ	j	0.143
ɾ	e_r	0.139
e	o	0.138
ˈo	-	0.135
ɾ	-	0.111
β	r	0.105
t	θ	0.105
e	ˈe	0.103
ˈe	e	0.089
ˈe	-	0.089
s	z	0.08
a	ˈa	0.076
e	ˈɛ	0.069
ˈe	ˈɛ	0.067
ˈe	ˈa	0.067
ɾ	e	0.056
ˈo	l	0.054
