Gothic	Faroese	probability
a	a	0.587
a	ɪ	0.267
a	-	0.08
a	ʊ	0.066
aː	a	1.0
b	b̥	0.862
b	v	0.106
d	d̥	0.742
d	-	0.119
d	ɡ̊ː	0.1
e	ɪ	1.0
f	f	0.641
f	v	0.341
h	h	0.496
h	-	0.227
h	ŋ	0.118
h	k	0.11
i	-	0.486
i	ɹ	0.3
i	ɪ	0.214
iː	ʊ	0.798
iː	ɪ	0.202
j	-	0.573
j	ɑ	0.191
j	ˈa	0.083
j	ɹ	0.071
k	k	0.388
k	kʰ	0.226
k	-	0.222
k	ʧ	0.096
k	ʰkː	0.069
kʷ	kʰ	1.0
l	l	0.782
l	l̥	0.17
lː	t_l̥	1.0
m	m	0.948
n	n	0.722
n	n̥	0.102
n	nː	0.07
n	-	0.066
nː	nː	0.609
nː	v	0.391
oː	a	0.723
oː	-	0.094
oː	n̥	0.067
oː	n	0.066
oː	ʊ	0.051
p	ʰp	0.354
p	p	0.332
p	v	0.221
p	ʰpː	0.092
r	ɹ	0.774
r	t	0.103
r	r	0.054
s	ʊ_ɹ	0.288
s	-	0.241
s	s	0.23
s	ɹ	0.129
s	ʃ	0.069
t	t	0.517
t	tʰ	0.145
t	ʰt	0.141
t	w	0.065
t	-	0.06
u	ʊ	0.532
u	-	0.28
u	ɪ	0.189
w	v	0.766
w	-	0.172
x	v	0.5
x	w	0.5
z	-	0.813
z	s	0.187
ð	j	0.782
ð	ɹ	0.218
ŋ	ŋ	0.666
ŋ	ɲ	0.183
ŋ	-	0.125
ɔː	a	1.0
ɡ	ɡ̊	0.794
ɡ	-	0.1
ɡ	ʤ̊	0.085
ɡʷ	ʤ̊	1.0
ɡːʷ	ɡ̊	1.0
ɣ	-	0.324
ɣ	ɡ̊	0.285
ɣ	ʤ̊ː	0.285
ɣ	j	0.106
ʍ	kʰ	0.805
ʍ	ʤ̊ː	0.195
ˈa	ˈa	0.429
ˈa	ˈɛ	0.177
ˈa	ˈɛːa̯	0.141
ˈa	ˈɔ	0.113
ˈa	ˈɔ̯aː	0.062
ˈeː	ˈɔ̯aː	0.605
ˈeː	ˈeː	0.218
ˈeː	ˈɔ	0.109
ˈeː	ˈoː	0.069
ˈi	ˈɪ	0.442
ˈi	ˈeː	0.112
ˈi	ˈiː	0.082
ˈi	ˈʊ̯iː	0.069
ˈi	-	0.068
ˈi	ˈɛ	0.064
ˈi	ˈoː	0.064
ˈiu̯	ˈʉːu̯	0.263
ˈiu̯	ˈɛːa̯	0.223
ˈiu̯	ˈʊ	0.201
ˈiu̯	ˈɔːu̯	0.134
ˈiu̯	ˈʊ̯iː	0.09
ˈiu̯	ˈɪ	0.09
ˈiː	ˈʊ̯iː	0.768
ˈiː	ˈɛːa̯	0.116
ˈiː	ˈɪ	0.116
ˈoː	ˈɔːu̯	0.623
ˈoː	ˈøː	0.123
ˈoː	ˈʊ̯iː	0.106
ˈoː	ˈœ	0.085
ˈoː	ˈɛ	0.064
ˈu	ˈʊ	0.714
ˈu	ˈɔ	0.15
ˈuː	ˈʉːu̯	0.708
ˈuː	ˈɛːa̯	0.188
ˈuː	ˈʊ	0.104
ˈɔ	ˈɔ	0.656
ˈɔ	ˈoː	0.207
ˈɔ	ˈɛːi̯	0.099
ˈɔː	ˈɛːi̯	0.38
ˈɔː	ˈiː	0.234
ˈɔː	ˈɔːi̯	0.123
ˈɔː	ˈɔ	0.103
ˈɔː	ˈɔ̯aː	0.1
ˈɔː	ˈœ	0.061
ˈɛ	j	0.748
ˈɛ	ˈʊ	0.087
ˈɛ	ˈɛ	0.083
ˈɛ	ˈɛːa̯	0.083
ˈɛː	ˈaːi̯	0.49
ˈɛː	ˈai̯	0.265
ˈɛː	ˈɛ	0.088
ˈɛː	ˈʉːu̯	0.074
ˈɛː	ˈɛːi̯	0.051
β	v	0.913
β	tː	0.065
θ	-	0.354
θ	w	0.269
θ	tʰ	0.256
θ	ʧʰ	0.058
