Gothic	Faroese	probability
a	ɪ	0.389
a	-	0.343
a	a	0.2
a	ʊ	0.063
a_n	a	1.0
aː	a	0.484
b	b̥	0.806
b	-	0.096
b	tʰ	0.096
d	d̥	0.824
d	ʤ̊	0.092
d	-	0.08
e	-	0.234
f	f	0.607
f	v	0.26
f	-	0.066
f	v_ʊ	0.049
h	h	0.6
h	-	0.186
h	ŋ	0.075
h	ʤ̊	0.057
h	f	0.048
h_l	l	1.0
h_t	ʰtː	1.0
i	-	0.608
i	ɪ	0.15
i	ə	0.099
i	ʊ	0.071
iː	ʊ	1.0
j	-	0.453
j	ɹ	0.182
j	j	0.121
j	ʤ̊	0.083
j	ˈa	0.08
k	kʰ	0.442
k	k	0.381
k	sː	0.08
k	ʰkː	0.078
kʷ	kʰ	1.0
l	l	0.776
l	l̥	0.166
l	-	0.04
lː	l̥	0.85
lː	t_l̥	0.073
m	m	0.852
m	-	0.147
n	n	0.622
n	n̥	0.16
n	-	0.146
n	nː	0.056
n_θ	nː	1.0
nː	nː	0.644
nː	v	0.236
oː	a	0.677
oː	w	0.18
oː	n̥	0.09
oː	-	0.052
p	p	0.615
p	ʰp	0.277
p	v	0.078
r	ɹ	0.82
r	-	0.063
r	t	0.059
r	ˈœ_t	0.044
s	-	0.706
s	s	0.267
s	ʃ	0.03
s_k	ʃ	1.0
t	t	0.413
t	tʰ	0.259
t	ʰt	0.095
t	ʈ	0.083
t	-	0.072
t_s	t	1.0
u	ʊ	0.523
u	-	0.32
u	ɪ	0.121
w	v	0.535
w	-	0.363
w	ɹ	0.049
w	ʧʰ	0.048
x	w	0.366
x	v	0.177
z	-	0.366
z	s	0.086
ð	-	0.644
ð	j	0.236
ŋ	ŋ	0.59
ŋ	-	0.24
ŋ	ɲ	0.158
ɔː	a	0.484
ɡ	ɡ̊	0.775
ɡ	-	0.081
ɡ	ʤ̊	0.064
ɡ	ɡ̊_ʊ	0.051
ɡ	k	0.041
ɡʷ	ʤ̊	1.0
ɡːʷ	ɡ̊	0.484
ɣ	-	0.177
ɣ	j	0.177
ʍ	ʤ̊	0.574
ʍ	kʰ	0.278
ˈa	ˈa	0.402
ˈa	ˈɛːa̯	0.222
ˈa	ˈɔ	0.132
ˈa	ˈɛ	0.085
ˈa	ˈœ	0.047
ˈeː	ˈɔ̯aː	0.474
ˈeː	ˈɔ	0.202
ˈeː	ˈeː	0.202
ˈeː	ˈoː	0.086
ˈi	ˈɪ	0.41
ˈi	ˈiː	0.201
ˈi	ˈɛ	0.081
ˈi	ˈʊ̯iː	0.061
ˈi	ˈoː	0.053
ˈi_k	ˈeː	1.0
ˈiu̯	ˈʊ̯iː	0.235
ˈiu̯	ˈɛːa̯	0.198
ˈiu̯	ˈɔːu̯	0.115
ˈiu̯	ˈʉːu̯	0.1
ˈiu̯	ˈʊ	0.087
ˈiː	ˈʊ̯iː	0.785
ˈiː	ˈɛːa̯	0.109
ˈiː	ˈɪ	0.073
ˈoː	ˈɔːu̯	0.922
ˈoː	ˈœ	0.057
ˈu	ˈʊ	0.427
ˈu	ˈʊ_t	0.188
ˈu	ˈɔ	0.151
ˈu	ˈuː	0.068
ˈu	ˈœ	0.068
ˈuː	ˈʉːu̯	0.805
ˈuː	ˈʊ	0.153
ˈɔ	ˈɔ	0.457
ˈɔ	ˈœ	0.194
ˈɔ	ˈɛːi̯	0.194
ˈɔ	ˈoː	0.124
ˈɔː	ˈɛːi̯	0.4
ˈɔː	ˈɔːi̯	0.238
ˈɔː	ˈœ	0.136
ˈɔː	ˈɔ	0.094
ˈɔː	ˈɔ̯aː	0.077
ˈɛ	j	0.314
ˈɛ	ˈʊ	0.307
ˈɛ	ˈøː	0.153
ˈɛ	ˈɛːa̯	0.153
ˈɛ	ˈɛ	0.051
ˈɛː	ˈaːi̯	0.433
ˈɛː	ˈai̯	0.224
ˈɛː	ˈɛːi̯	0.118
ˈɛː	ˈɛ	0.077
ˈɛː	ˈʉːu̯	0.077
β	v	0.626
β	tː	0.245
β	-	0.089
θ	-	0.403
θ	tʰ	0.267
θ	w	0.225
θ	t	0.075
θ	ʧʰ	0.039
