Lengadocian	Lengadocian	probability
ˈɛ_s	ˈɛ_s	1.0
ˈɔ_ʀ	ˈɔ_ɾ	1.0
ˈu_n	ˈo	1.0
ˈi_ɔ	ˈi_ɐ	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈo_w	1.0
ʎ	ɟ	1.0
ɾ_ɔ	ɾ_ɐ	1.0
ɲ_#>	ɲ_ʊ_#>	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈo	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɣ	ɣ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
y	-	1.0
t_ɔ	t_ɐ	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
p_l	ʧ	1.0
nː	m_j	1.0
n_ɔ_#>	#>	1.0
mː	m	1.0
m_#>	m_ɪ_#>	1.0
m	m	1.0
lː	-	1.0
l_e	l_e	1.0
k_l	ʧ	1.0
k_#>	k_ʊ_#>	1.0
j_ˈe	ˈe	1.0
i_#>	ʊ_#>	1.0
i	i	1.0
e_#>	#>	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#	1.0
ɔ	ɐ	0.969
β	β	0.947
p	p	0.939
f	f	0.913
ʤ	ʃ	0.867
k	k	0.841
ˈi	ˈi	0.833
ʀ	ɾ	0.833
ɾ	ɾ	0.833
d	d	0.833
a	a	0.833
ɡ	ɡ	0.8
ˈe	ˈe	0.781
<#_ˈa	<#_ˈa	0.778
ˈa	ˈa	0.767
ˈɔ	ˈɔ	0.75
ˈy	ˈu	0.722
ʧ	t_ʊ	0.714
ɥ	ˈo	0.714
l_#>	l_#>	0.7
<#_s	<#_s	0.7
ʦ	θ	0.667
u	o	0.65
n	n	0.645
t	t	0.613
ʀ_#>	ɾ_ʊ_#>	0.6
ˈu	ˈo	0.568
ˈɛ	ˈɛ	0.553
s	s	0.517
l	l	0.457
z	s	0.444
e	e	0.429
ʀ_#>	ɾ_n_ʊ_#>	0.4
ɾ_e	ɾ	0.4
j	j	0.4
j	-	0.4
#>	ʊ_#>	0.37
ʦ	θ_ʊ	0.333
z	θ	0.333
ɾ_e	ˈe_ɾ	0.3
ɾ_e	ɾ_ʊ	0.3
l_#>	#>	0.3
<#_s	<#_θ	0.3
ʧ	t	0.286
ɥ	-	0.286
#>	ɾ_#>	0.284
ˈɛ	ˈe	0.263
ˈɔ	ˈo	0.25
s	θ	0.241
e	ɪ	0.229
z	-	0.222
<#_ˈa	<#_ˈo	0.222
ɡ	-	0.2
u	u	0.2
j	ˈe	0.2
n	ɲ	0.194
w	β_ɪ	0.19
w	β	0.19
w	ʊ	0.19
w	w	0.19
ˈu	ˈɔ	0.189
ˈɛ	j	0.184
s	ʃ	0.172
ˈy	ˈu_ɾ	0.167
ʀ	r	0.167
d	-	0.167
t	ð	0.161
n	-	0.161
w	-	0.143
l	ɟ_ʊ	0.143
#>	ɪ_#>	0.136
ˈu	ˈu	0.135
ʤ	-	0.133
t	ð_ɪ	0.129
ˈe	ˈi	0.125
a	-	0.125
ˈa	ˈɑ	0.123
ˈy	ˈo_j	0.111
#>	ŋ_#>	0.111
ˈi	ɾ	0.1
ɾ	r	0.1
u	-	0.1
t	-	0.097
w	β_ʊ	0.095
ˈe	-	0.094
k	ɣ_ʊ	0.091
f	-	0.087
l	ʊ	0.086
l	-	0.086
e	ʊ	0.086
e	i	0.086
s	p_ʊ	0.069
k	ɡ	0.068
ˈi	ˈi_ɲ	0.067
ɾ	-	0.067
p	-	0.061
l	ˈe	0.057
l	ˈa	0.057
l	ʧ	0.057
l	ɾ	0.057
e	ˈe_ɾ	0.057
e	ˈe	0.057
e	o	0.057
ˈa	a	0.055
ˈu	ˈo_ŋ	0.054
ˈu	-	0.054
β	v	0.053
