Catalan	Asturian	probability
β_ə	β_a	1.0
β	β	1.0
ˈo_t	ˈo	1.0
ˈo	ˈo	1.0
ˈa_l	ˈo	1.0
ʧ	-	1.0
ʤ	-	1.0
ʎ_ə	ʎ_e	1.0
ɾ_ˈɛ	ɾ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɲ	ɲ	1.0
ə_ʒ	a_ʝ	1.0
ə_r	e_ɾ	1.0
ð	ð	1.0
z_ə	s_a	1.0
z	s	1.0
w_ˈa	w_ˈa	1.0
w_ə	w_a	1.0
t_ə	t_a	1.0
p_l	ʎ	1.0
n_d	n	1.0
n	n	1.0
mː	l_m	1.0
m	m	1.0
k_l	ʎ	1.0
d	d	1.0
b_ə	b_e	1.0
a	a	1.0
k	k	0.977
ˈa	ˈa	0.969
l	l	0.957
p	p	0.95
b	b	0.946
f	f	0.933
ˈu	ˈu	0.93
ˈi	ˈi	0.833
ɡ	ɡ	0.829
ɾ	ɾ	0.781
ə	a	0.769
ɣ	ɣ	0.713
ŋ	ŋ	0.709
ʒ	ʃ	0.699
s	s	0.695
ʎ	ʎ	0.68
j	j	0.663
t	t	0.652
ˈi_t	ˈe_ʧ	0.6
ˈe	ˈe	0.574
ˈɛ	ˈe	0.562
i	i	0.539
u	o	0.531
ʃ	ʃ	0.52
r	ˈe_ɾ	0.516
ʃ	θ_ˈe	0.48
i	e	0.461
ˈi_t	ˈe	0.4
ɾ_ə	ɾ_u	0.384
ˈe	j_ˈe	0.38
r	ɾ	0.376
ɾ_ə	ɾ	0.368
ˈɔ	ˈo	0.357
j	-	0.337
ˈɔ	w	0.334
ʒ	-	0.301
w	β	0.292
ŋ	ŋ_ɡ	0.291
ɣ	-	0.287
ʎ	ʝ	0.279
u	e	0.25
ɾ_ə	e	0.248
u	u	0.219
s	θ	0.217
w	θ	0.202
w	β_e	0.202
ˈɔ	w_ˈe	0.197
ə	e	0.179
t	-	0.176
w	-	0.174
ɡ	-	0.171
ˈi	ˈe	0.167
ˈɛ	j_ˈe	0.14
ˈɛ	j	0.117
t	ʧ	0.113
r	r	0.108
ˈɛ	e	0.101
ɾ	-	0.09
ˈɛ	-	0.08
w	ˈe_θ	0.08
ɾ	ˈe	0.076
ˈɔ	o	0.071
ˈu	w	0.07
f	-	0.067
t	ð	0.059
b	-	0.054
ɾ	ð_ɾ	0.052
w	ˈe_β	0.051
p	β_u	0.05
