East Frisian Low Saxon	Eastphalian	probability
ˈʊə̯	ˈʊ	1.0
ˈʊ	ˈʊ	1.0
ˈɪə̯	ˈɪ	1.0
ˈɛːɪ̯	ˈiː	1.0
ˈɛə̯	ˈɛ	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈɒː	1.0
ˈɒː	ˈɒː	1.0
ˈɑɪ̯	ˈɛɪ̯	1.0
ˈœːy̯	ˈaʊ̯	1.0
ˈœy̯	ˈɔʏ̯	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈɔʏ̯	1.0
ˈæːɪ̯	ˈɛɪ̯	1.0
ˈæː	ˈɛɪ̯	1.0
ˈæɪ̯	ˈɛɪ̯	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	ˈeo̯	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	ˈeː	1.0
ʊ	ˈʊ	1.0
ɫ	l_ə	1.0
ə	-	1.0
ɑɪ̯	ɒː	1.0
ɐ_n	ɐ_n	1.0
ŋ	ŋ	1.0
z	z	1.0
w	w	1.0
t_n	t_n	1.0
s_k	ʃ	1.0
r	r	1.0
p_n	b_m	1.0
p	p	1.0
o	-	1.0
n_t	n_t	1.0
n_n	n_n	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
ˈɪ	ˈɪ	0.956
n	n	0.939
m	m	0.937
ɐ	ɐ	0.92
t	t	0.909
v	v	0.904
k	k	0.903
s	s	0.879
d	d	0.869
ˈɑ	ˈa	0.861
d̥	d̥	0.84
ˈʏ	ˈʏ	0.791
ˈøː	-	0.787
ˈɑː	ˈa	0.778
ˈɑʊ̯	ˈaʊ̯	0.775
v̥	f	0.762
ˈɛ	ˈɛ	0.709
ˈɑːɑ̯	ˈa	0.631
ˈœ	-	0.622
χ	ç	0.598
ˈoː	ˈeo̯	0.555
z̥	z̥	0.55
ˈeː	ˈeː	0.525
ˈʏə̯	ˈʏ	0.516
ˈʏə̯	-	0.484
z̥	z_ə	0.45
ˈoː	ˈoː	0.445
χ	x	0.402
ɡ	ɣ	0.387
ˈœ	ˈœ	0.378
ˈɑːɑ̯	ˈɛː	0.369
ɣ̊	ç	0.298
ɣ̊	ɣ_ə	0.295
ˈɛ	-	0.291
ɡ	j	0.261
ˈeː	-	0.243
v̥	v̥	0.238
ɣ̊	ə	0.235
ˈeː	ˈɛː	0.232
ˈɑʊ̯	ˈɔʏ̯	0.225
ˈɑː	-	0.222
ɡ	-	0.222
ˈøː	ˈoː	0.213
ˈʏ	-	0.209
ɡ	ɡ	0.131
d	-	0.131
s	ʃ	0.121
ɣ̊	x	0.12
ˈɑ	-	0.108
d̥	t	0.101
v	-	0.096
k	k_ə	0.064
m	n	0.063
d̥	-	0.06
t	ˈʏ_t	0.055
ɣ̊	ɣ̊	0.052
