Icelandic	Icelandic	probability
ˈɛi̯	ˈæi̯	1.0
ˈɑu̯	ˈɒ	1.0
ˈœː	-	1.0
ˈoːu̯_r̥	ˈeː	1.0
ˈou̯	w	1.0
ˈeːi̯	-	1.0
ˈaːu̯	-	1.0
ˈau̯	ˈæ	1.0
ʰt͡n̥	sː	1.0
ʰp	fː	1.0
ʰc	kː	1.0
ʏ_r̥_#>	#>	1.0
ʏ_r̥	ə	1.0
ɲ	ŋ	1.0
ɪ_#>	#>	1.0
ɣ	ɡ̊	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	i	1.0
ɟ̊ː	kː	1.0
ɛ	-	1.0
ɑu̯	i	1.0
ð_#>	tː_#>	1.0
ç	h	1.0
x	ɡ̊	1.0
t͡n̥_#>	#>	1.0
t͡n̥	n	1.0
tʰ	ʦ	1.0
sː	sː	1.0
s_j	z̥	1.0
s_c	ʒ̊	1.0
s_#>	z̥_#>	1.0
r_ɪ	r	1.0
pʰ	p͡f	1.0
n_#>	#>	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	ʋ	1.0
kʰ	ɣ̊	1.0
k_#>	χː_#>	1.0
k	χː	1.0
j_ˈɛː	ˈi	1.0
j_ˈɛ	ˈæ	1.0
j_a	ə	1.0
i	ˈyː_χː	1.0
h	h	1.0
f	v̥	1.0
d̥_ʏ_r̥_#>	ŋ_#>	1.0
d̥	d̥	1.0
cʰ	ɣ̊	1.0
b̥	b̥	1.0
aːu̯	æ	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_tː	1.0
a	ə	0.95
r̥	r	0.938
r̥_#>	#>	0.9
r	r	0.886
θ	d̥	0.846
ɪ	ə	0.8
t͡l̥	l	0.778
ˈoːu̯	ˈuə̯	0.727
nː	n	0.714
v	ʋ	0.696
ˈœ	ˈɒ	0.667
ˈuː	ˈuː	0.667
ŋ	ŋ	0.667
p	fː	0.667
#>	ə_#>	0.667
ˈa	ˈɒ	0.647
n	n	0.647
ʏ	ə	0.643
ɡ̊	ɡ̊	0.615
ˈɪ	ˈi	0.6
ˈɔː	ˈoː	0.6
ˈu	ˈu	0.6
ˈi	ˈi	0.6
v_ʏ	b̥	0.6
s_k	ʃː	0.6
n̥	ə	0.6
j_ˈoːu̯	ˈiə̯	0.6
c	-	0.6
ˈaːi̯	-	0.571
ˈaː	ˈɒ	0.545
<#	<#_ʋ	0.545
t	sː	0.533
ˈiː	ˈiː	0.529
ˈʏ	ˈu	0.5
ˈɛːi̯	ˈæi̯	0.5
ˈɛːi̯	-	0.5
ˈɛː	-	0.5
ˈɔu̯	χː	0.5
ˈɔu̯	-	0.5
ˈɑːu̯	ˈɒː	0.5
ˈœːy̯	ˈoː	0.5
ˈœːy̯	ˈau̯	0.5
ˈai̯	ˈy	0.5
ˈai̯	-	0.5
ʰt	χː_tː	0.5
ʰk	ŋ_kː	0.5
ʰk	-	0.5
ɟ̊	ɡ̊_ˈɒ	0.5
ɟ̊	ɡ̊	0.5
ð	tː	0.5
ˈɛ	-	0.467
ˈaː	ˈɒː	0.455
ˈɔ	ˈo	0.444
ˈɪː	-	0.429
ˈaːi̯	ˈyə̯	0.429
s	z̥	0.41
ˈɔː	-	0.4
ˈu	-	0.4
ˈi	ˈyː	0.4
ð	d̥	0.4
v_ʏ	fː	0.4
s_k	ʒ̊	0.4
n̥	ɣ̊_n	0.4
j_ˈoːu̯	ˈyː	0.4
c	χː	0.4
ɡ̊	-	0.385
j	ˈæ	0.357
n	-	0.353
ˈʏː	ˈyː	0.333
ˈʏː	ˈo	0.333
ˈʏː	-	0.333
ˈʏ	ˈo	0.333
ˈɛ	ˈæ	0.333
ˈɔ	ˈu	0.333
ˈœ	-	0.333
ŋ	-	0.333
t	tː	0.333
s	ʒ̊	0.308
ˈɪː	ˈy	0.286
ˈɪː	ˈi	0.286
nː	n_d̥	0.286
j	-	0.286
ˈoːu̯	-	0.273
<#	<#_ɡ̊	0.273
ˈɛː	ˈæ	0.25
ˈɛː	ˈi	0.25
ˈɑːu̯	ˈeː	0.25
ˈɑːu̯	-	0.25
ʰt	tː	0.25
ʰt	-	0.25
ˈiː	ˈyː	0.235
ˈiː	-	0.235
ˈɔ	ˈoː	0.222
t͡l̥	l_d̥	0.222
p	-	0.222
v	b̥	0.217
ʏ	i	0.214
j	ˈyː	0.214
ˈɛ	ˈe	0.2
ˈuː	-	0.2
ɪ	-	0.2
<#	<#_j	0.182
s	ʃː	0.179
ˈʏ	-	0.167
#>	χː_#>	0.167
#>	r_#>	0.167
θ	tː	0.154
ʏ	-	0.143
j	ˈi	0.143
ˈɪ	ˈy	0.133
ˈɪ	ˈo	0.133
ˈɪ	-	0.133
ˈuː	ɡ̊	0.133
t	ʦ	0.133
ˈa	ˈɒː	0.118
ˈa	ˈæ	0.118
ˈa	-	0.118
p	pː	0.111
ð	-	0.1
r̥_#>	ɡ̊_#>	0.1
v	-	0.087
r̥	-	0.062
r	r_ˈyə̯	0.057
r	-	0.057
s	tː	0.051
s	sː	0.051
