American English	Swabian	probability
b	b	0.902
b	-	0.098
d	d	0.951
f	f	0.751
f	b	0.1
f	l_b	0.099
h	h	0.98
i	-	0.508
i	ɪ	0.253
i	eə̯	0.239
j	j	0.418
j	ˈeə̯	0.411
j	ˈiː	0.171
k	ɡ	0.527
k	x	0.26
k	ç	0.161
k	k	0.052
kʰ	kʰ	0.9
kʰ	ʁ	0.1
l	l	1.0
m	m	1.0
n	n	0.818
n	-	0.173
oʊ̯	-	0.863
oʊ̯	a	0.137
p	f	0.864
p	b̥͡f	0.091
s	s	0.7
s	ʃ	0.3
t	s	0.54
t	ʦ	0.133
t	x	0.128
t	d	0.105
t	ç_d	0.064
tʰ	ʦ	0.926
tʰ	b	0.074
tː	ʦ	1.0
v	b	0.615
v	f	0.283
v	n	0.102
w	ʋ	0.849
w	-	0.138
z	s	0.835
z	ʁ	0.165
ð	d	1.0
ŋ	ŋ	0.801
ŋ	i	0.199
ə	a	0.42
ə	-	0.419
ə	ˈɛ	0.161
ɚ	ʌ	0.574
ɚ	-	0.318
ɚ	a	0.057
ɡ	ɡ	0.808
ɡ	-	0.192
ɪ	-	1.0
ɫ	l	0.784
ɫ	ɡ_l	0.216
ɹ	ʁ	0.625
ɹ	ʕ	0.32
ɾ	s	1.0
ʃ	ʃ	1.0
ʤ	ɡ	1.0
ʧ	ç	0.458
ʧ	kʰ	0.271
ʧ	x	0.195
ʧ	ɡ	0.076
ˈaɪ̯	ˈəi̯	0.444
ˈaɪ̯	ˈɛ	0.122
ˈaɪ̯	ˈao̯	0.108
ˈaɪ̯	ˈi	0.093
ˈaɪ̯	ˈae̯	0.078
ˈaʊ̯	ˈao̯	0.558
ˈaʊ̯	ˈo	0.157
ˈaʊ̯	ˈuː	0.084
ˈaʊ̯	ˈae̯	0.077
ˈaʊ̯	ˈoː	0.075
ˈeɪ̯	ˈa	0.297
ˈeɪ̯	ˈeː	0.167
ˈeɪ̯	ˈɔː	0.167
ˈeɪ̯	ˈaː_ɡ	0.15
ˈeɪ̯	ˈaː	0.11
ˈeɪ̯	ˈoː	0.055
ˈeɪ̯	ˈɛː	0.054
ˈi	ˈi	0.136
ˈi	ˈɔː	0.121
ˈi	ˈae̯	0.119
ˈi	ˈao̯	0.117
ˈi	ˈoː	0.092
ˈi	ˈiː	0.09
ˈi	ˈiə̯	0.089
ˈi	ˈeː	0.071
ˈoʊ̯	ˈɔe̯	0.5
ˈoʊ̯	ˈeː	0.123
ˈoʊ̯	ˈa	0.105
ˈoʊ̯	ˈae̯	0.085
ˈoʊ̯	ˈo	0.079
ˈoʊ̯	ˈi	0.067
ˈu	-	0.292
ˈu	ˈɔə̯	0.208
ˈu	ˈaː	0.169
ˈu	ˈo	0.121
ˈu	ˈiə̯	0.093
ˈu	ˈuː	0.064
ˈæ	ˈa	0.584
ˈæ	ˈaː	0.171
ˈæ	ˈɔː	0.129
ˈæ	ˈʌ	0.076
ˈɑ	ˈa	0.592
ˈɑ	ˈɛ	0.103
ˈɑ	ˈe	0.09
ˈɑ	ˈɔ	0.079
ˈɑ	ˈu	0.052
ˈɑ	ˈɔe̯	0.052
ˈɔ	ˈi	0.3
ˈɔ	ˈɔ	0.261
ˈɔ	ˈa	0.227
ˈɔ	-	0.106
ˈɔ	ʋ	0.106
ˈɛ	ˈɛ	0.273
ˈɛ	-	0.203
ˈɛ	ˈoː	0.083
ˈɛ	ˈa	0.072
ˈɛ	ˈeə̯	0.06
ˈɝ	ˈae̯	0.266
ˈɝ	ˈo	0.266
ˈɝ	ˈʌ	0.265
ˈɝ	ˈɛ	0.202
ˈɪ	ˈe	0.273
ˈɪ	ˈɪ	0.198
ˈɪ	ˈi	0.195
ˈɪ	ˈeː	0.157
ˈɪ	ˈu	0.057
ˈɪ	ˈəi̯	0.057
ˈʊ	ˈo	0.589
ˈʊ	ˈuə̯	0.411
ˈʌ	ˈo	0.453
ˈʌ	ˈoː	0.216
ˈʌ	ˈu	0.073
ˈʌ	ˈɔ	0.063
ˈʌ	ˈa	0.058
θ	d	0.913
θ	-	0.087
