Auvergnat	Auvergnat	probability
ˈɪ̃_ŋ	ˈẽ	1.0
ˈɪ_j_n	ẽ	1.0
ˈɛ	ˈɛ	1.0
ˈœ_j	ˈɔ_t	1.0
ˈĩ	ˈĩ	1.0
ˈe_ʎ	l	1.0
ˈe_ʀ	ˈɛ_r	1.0
ˈã_ŋ	ˈa_n	1.0
ˈã	ˈã	1.0
ˈa_s	ˈɑː_s	1.0
ˈa_l	l	1.0
ˈa_#>	ˈa_#>	1.0
ʀ_ˈɪ	r	1.0
ɪ	s	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
œ	u	1.0
z	-	1.0
w_ˈɔ̃	ˈũ	1.0
w_#>	f_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	ũ	1.0
s_ˈɪ	s_ˈɛ	1.0
s_ɔ	s_a	1.0
s_#>	#>	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
lː	-	1.0
l_#>	l_#>	1.0
k_ʀ	k_r	1.0
k_w	k	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɔ	ˈøː	1.0
j_ʀ	d	1.0
ĩ	-	1.0
i	-	1.0
fʲ	f	1.0
f	f	1.0
e_#>	#>	1.0
e	-	1.0
dʲ	d	1.0
ã	ã	1.0
a	a	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_l	<#_l	1.0
ɔ	a	0.966
s	s	0.935
t	t	0.895
n	n	0.871
b	b	0.857
d	d	0.85
ŋ	-	0.846
m	m	0.815
ˈy	ˈyː	0.778
ɲ	ɲ	0.75
ʧ	k	0.731
ˈɔ	-	0.714
ˈe_j	ˈa	0.714
ɒ	a	0.692
ʀ	r	0.676
ʀ_ə	e_r	0.667
ʀ_#>	r_t_#>	0.667
j	-	0.667
ˈe	ˈɛ	0.654
ˈẽ	ˈẽ	0.625
ˈœ	ˈøː	0.6
ˈũ	ˈũ	0.6
ˈa_w	ˈa_l	0.571
ŋ_#>	#>	0.571
u	u	0.556
ˈi	ˈi	0.5
s_ə	s_e	0.5
s_ə	s	0.5
<#_ɒ	<#_a	0.5
<#_ɒ	<#	0.5
<#	<#_ʧ	0.5
<#	<#_l	0.5
ˈɪ	ˈeː	0.471
w	ˈɔ	0.462
ˈa	ˈɑː	0.457
u	y	0.444
ˈa_w	ˈoː	0.429
ŋ_#>	t_#>	0.429
w_ˈɔ	ˈɔ	0.429
l	l	0.417
l	j	0.417
ˈœ	ˈœ	0.4
ˈũ	-	0.4
ˈu	ˈuː	0.375
ˈi	ˈiː	0.375
ˈẽ	-	0.375
ʤ	ʒ	0.375
ʎ	ʧ	0.357
w_ˈɔ	ˈøː	0.357
ˈu	ˈu	0.333
ʀ_ə	r	0.333
ʀ_#>	r_n_#>	0.333
j	s	0.333
ˈa	ˈa	0.314
ʤ	-	0.312
ɒ	e	0.308
w	-	0.308
ˈɔ	s	0.286
ˈe_j	ˈɑː_d	0.286
ʎ	j	0.286
#>	ʧ_#>	0.261
ɲ	-	0.25
ˈɪ	ˈe	0.235
ˈe	ˈeː	0.231
w	v	0.231
ˈy	-	0.222
ə	e	0.217
#>	t_#>	0.217
ʎ	ʤ	0.214
w_ˈɔ	ˈu	0.214
ʤ	v	0.188
m	-	0.185
ˈɪ	ˈiː	0.176
ə	ˈɛ	0.174
ə	i	0.174
#>	s_#>	0.174
ʧ	-	0.154
ŋ	n	0.154
d	t	0.15
ʀ	-	0.147
ʎ	-	0.143
b	-	0.143
ə	e_r	0.13
ə	-	0.13
#>	ˈi_#>	0.13
#>	r_#>	0.13
n	-	0.129
ˈu	-	0.125
ˈi	-	0.125
ʤ	ʤ	0.125
ˈɪ	-	0.118
ˈe	-	0.115
ˈa	-	0.114
t	s_t	0.105
ə	ɛ	0.087
ə	s	0.087
#>	l_#>	0.087
ˈu	ˈy	0.083
ˈu	u	0.083
l	ˈyː	0.083
l	-	0.083
ʧ	d	0.077
s	z	0.065
ʀ	v	0.059
ʀ	r_a	0.059
ʀ	e	0.059
ˈa	ˈɑː_r	0.057
ˈa	ˈeː	0.057
