Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈo	-	1.0
ˈi_z	ˈi	1.0
ˈi_#>	e_#>	1.0
ˈe_ʎ	i_j	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa	1.0
ˈa_#>	ˈe_#>	1.0
ʤ	d	1.0
ʎ_#>	j_#>	1.0
ʎ	j	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
y	-	1.0
w_ˈe	ˈø	1.0
w_ˈa	w_ˈa	1.0
t_e	t_r	1.0
t	t	1.0
s_ˈe	s_ˈi	1.0
s_#>	#>	1.0
r	r	1.0
n_#>	ŋ_t_#>	1.0
mː	m	1.0
m_#>	m_#>	1.0
m	m	1.0
lː	-	1.0
l_ˈe	l_ˈɛ	1.0
l_ˈa	j_ˈa	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈe	ˈe	1.0
j_t	t	1.0
j_#>	j_#>	1.0
i_#>	#>	1.0
h	f	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a_w	<#_u	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
ɔ	a	0.966
p	p	0.939
ɾ	r	0.938
a	a	0.895
d	d	0.889
s	s	0.87
ˈa	ˈa	0.857
ˈi	ˈi	0.821
β	v	0.778
ʦ	z	0.778
ʒ	ʤ	0.769
ŋ_#>	ŋ_#>	0.765
n	n	0.758
ˈɛ	ˈɛ	0.75
e_#>	#>	0.75
z	z	0.714
ˈɔ	ˈɔ	0.706
j	-	0.7
ˈy	ˈy	0.696
ˈu	ˈu	0.677
t_#>	l_#>	0.667
i	i	0.667
l	l	0.647
ɣ	-	0.625
u	u	0.625
b	v	0.583
w	w	0.556
w_#>	l_#>	0.538
ð	d	0.5
k_#>	ɡ_#>	0.455
w	-	0.444
ˈe	ˈɛ	0.438
ð	-	0.417
b	b	0.417
ɣ	ɡ	0.375
u	-	0.375
k_#>	k_#>	0.364
e	e	0.357
e	-	0.357
l	j	0.353
i	-	0.333
w_#>	v_#>	0.308
j	j	0.3
z	-	0.286
#>	r_#>	0.259
ˈɛ	ˈe	0.25
e_#>	r_#>	0.25
n	ŋ	0.242
ŋ_#>	n_#>	0.235
ʒ	-	0.231
β	b	0.222
ʦ	s	0.222
#>	e_#>	0.222
ˈy	ˈu	0.217
t_#>	d_#>	0.2
ˈe	ˈe	0.188
k_#>	#>	0.182
ˈɔ	ˈø	0.176
ˈe	-	0.156
w_#>	#>	0.154
e	i	0.143
t_#>	#>	0.133
ˈɔ	-	0.118
d	-	0.111
#>	j_#>	0.111
#>	a_#>	0.111
ˈi	-	0.107
a	-	0.105
ˈu	ˈɔ	0.097
ˈu	ˈy	0.097
ˈe	ˈe_j	0.094
s	-	0.093
ˈy	ˈi	0.087
ð	dː	0.083
#>	ˈe_#>	0.074
#>	z_#>	0.074
#>	n_#>	0.074
#>	l_#>	0.074
ˈi	ˈi_ŋ	0.071
ˈu	ˈø	0.065
ˈu	-	0.065
ˈe	ˈɛ_j	0.062
ˈe	ˈi	0.062
ɾ	-	0.062
p	-	0.061
