Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛ_#>	ɪ_#>	1.0
ˈœ̃	ɲː	1.0
ˈyː	-	1.0
ˈy	ˈu	1.0
ˈuː	ˈɔ	1.0
ˈu	ˈu	1.0
ˈoː_t	j	1.0
ˈoː	ˈa_w	1.0
ˈiː_p	bː	1.0
ˈiː_f	ˈa_p	1.0
ˈeː	-	1.0
ˈa_#>	ɖː_ʊ_#>	1.0
ˈa	ˈa	1.0
ʒ	ɕ	1.0
ʀ_#>	ʊ_#>	1.0
ɲː	ʤ_i_n	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
ɛː	j_u	1.0
ɔ̃	u_n	1.0
ɔ_z	ˈu	1.0
ɑ̃	a_n	1.0
w_ˈa	ˈɔ_ɾ	1.0
uː	-	1.0
p_l	c	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	#>	1.0
f_l	ç	1.0
ẽ	i_ŋ	1.0
b	b	1.0
<#_ˈɔ̃	<#_ˈu	1.0
<#_ˈuː	<#_ˈɔ	1.0
<#_ʀ	<#_ʐ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
p	p	0.923
k	k	0.882
ɲ	ɲː	0.875
v	v	0.875
m	m	0.8
d	d	0.778
n	n	0.733
f	f	0.731
ˈøː	ˈu	0.714
l	l	0.714
ɛ	i	0.667
<#_a	<#_a	0.667
ʤ	j	0.625
ʧ	k	0.611
ˈɑ̃	ˈa_n	0.6
ˈẽ	ˈi_n	0.6
i	i	0.6
a	a	0.6
<#	<#_a	0.6
ˈɔː	ˈa	0.583
ˈiː	ˈɛ	0.571
ˈɛ	ˈi	0.556
ˈi	ˈi	0.545
ɛ_s	ʃ	0.5
ɛ_s	a_s	0.5
t	t	0.5
ˈɔ̃	ˈu_n	0.455
s	s	0.433
ˈiː	ˈa	0.429
ɔ	u	0.429
ˈɑ̃	ˈa_nː	0.4
ˈẽ	n_ɪ	0.4
i	-	0.4
a	-	0.4
<#	<#_n	0.4
ˈɔ	ˈɔ	0.375
ʤ	ʤ	0.375
#>	ɪ_#>	0.349
j	ˈɛ	0.346
#>	ʊ_#>	0.343
ˈɛː	ˈa_t	0.333
ˈɛː	ɾ	0.333
ˈɛː	ɪ_ɾ	0.333
ˈe	ˈa_r	0.333
ˈe	ˈa	0.333
ɛ	-	0.333
<#_a	<#	0.333
w	-	0.318
ˈɔ	ˈu	0.312
ˈɛ̃	ˈa_n	0.308
ʀ	ɾ	0.308
ˈøː	ˈɔ_k	0.286
ɔ	w	0.286
ɔ	o	0.286
ˈi	-	0.273
j	a	0.269
ʀ	r	0.256
ˈɔː	-	0.25
ʃ	ʃː_ɪ	0.25
ʃ	s	0.25
#>	a_#>	0.249
s	ɕ	0.233
ˈɛ̃	ˈɛ_n	0.231
w	w	0.227
ʧ	kː	0.222
d	-	0.222
t	tː	0.2
ˈɔ	-	0.188
ˈɛ	ˈa	0.185
ˈɔ̃	ˈɔ_n	0.182
ˈɔ̃	ˈu	0.182
ˈɔ̃	ˈo	0.182
ˈi	ˈi_k	0.182
ˈɔː	ˈa_ɾ	0.167
ˈe	ˈa_ɾ	0.167
ˈe	-	0.167
ʧ	-	0.167
ʃ	ɕ_ɪ	0.167
ʃ	s_k	0.167
ʃ	-	0.167
s	ʃ	0.167
ˈɛ̃	ˈa	0.154
ˈɛ̃	n_ʊ	0.154
ˈɛ̃	-	0.154
j	ɟː_a	0.154
j	-	0.154
t	-	0.15
n	ˈi_n	0.133
n	a	0.133
ˈɔ	ˈu_tː	0.125
ɲ	ɲ	0.125
v	p	0.125
k	k_ˈu	0.118
f	p	0.115
f	-	0.115
ˈɛ	ˈɛ	0.111
l	ˈi	0.107
l	-	0.107
ʀ	ɪ	0.103
t	ɪ_ɾ	0.1
s	ʊ	0.1
m	nː_a	0.1
m	mː	0.1
w	ˈɔ	0.091
w	ˈu_ɕ	0.091
w	ˈi	0.091
w	ɡ_w	0.091
w	a	0.091
ʀ	ɾ_ˈi	0.077
p	-	0.077
j	t_a	0.077
ˈɛ	ˈi_ɾ	0.074
ˈɛ	ˈa_ʈ	0.074
l	l_ˈi	0.071
s	-	0.067
ʀ	ʈ_ɽ	0.051
ʀ	ɾ_ˈa	0.051
ʀ	ɽ	0.051
ʀ	i_ɾ	0.051
ʀ	d_ɪ	0.051
