Romagnol	Romagnol	probability
θ	θ	1.0
ˈɛ̃	ˈæ	1.0
ˈɛə̯	ˈɛ	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɔ	ˈɔ	1.0
ˈõũ̯	ˈʌ_ŋ	1.0
ˈou̯_n	ŋ	1.0
ˈe	ˈa	1.0
ˈaː	-	1.0
ˈa	ˈaː	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɐ_d	a_d	1.0
ŋ	ŋ	1.0
ð	ð	1.0
v_ɐ	v	1.0
v_r	v_r	1.0
v_#>	#>	1.0
t_ɐ	t	1.0
t	t	1.0
s	s	1.0
r_ɐ	e_r	1.0
r	r	1.0
p	p	1.0
o	o	1.0
m_b	m	1.0
l	l	1.0
k_r	k_r	1.0
k_#>	k_#>	1.0
k	k	1.0
j̃	ŋ	1.0
j_ɐ	j_a	1.0
j	j	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈʌ̃	<#_ˈaː	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
m	m	0.931
ˈɔə̯	ˈɔː	0.9
v	v	0.848
z	z	0.846
ˈu	ˈuː	0.8
ɐ	a	0.776
i	i	0.75
ˈou̯	ˈʌu̯	0.714
u	u	0.714
ˈi	ˈiː	0.667
n	n	0.608
ˈeə̯	ˈɛ	0.594
ˈẽ	ˈe	0.545
ˈɛ	ˈa	0.5
ˈẽ	ˈæ	0.455
ˈʌ̃	ˈa	0.435
ˈo	ˈo	0.435
n	ŋ	0.353
ˈeə̯	ˈɛ_r	0.344
ˈeː	ˈa_j	0.333
ˈou̯	-	0.286
u	-	0.286
ˈʌ̃	ˈa_ŋ	0.261
ˈɛ	ˈe	0.25
i	e	0.25
ˈʌ̃	ˈaː	0.217
ˈu	-	0.2
ɐ	e	0.188
ˈo	ˈʌ	0.174
ˈo	ˈɔ	0.174
ˈeː	ˈɛː	0.167
ˈeː	ˈɛ	0.167
ˈeː	ˈa	0.167
ˈeː	-	0.167
z	-	0.154
v	w	0.152
ˈi	ˈe	0.143
ˈo	-	0.13
ˈɔə̯	ˈo	0.1
ˈi	ˈi	0.095
ˈi	-	0.095
ˈʌ̃	ˈɛ	0.087
ˈo	ˈuː	0.087
ˈɛ	ˈɛ	0.083
ˈɛ	ˈæ	0.083
ˈɛ	ˈaː	0.083
m	ŋ	0.069
ˈeə̯	-	0.062
