Proto-Balto-Slavic	Polish	probability
́ˀ	-	1.0
́	-	1.0
ˀ	-	1.0
ʃ	x	1.0
ɡ_a	ɡ̊	1.0
ɛ	ɛ	1.0
z	z	1.0
uː_́ˀ	ɨ	1.0
uː	ɛ	1.0
t_i	ʨ	1.0
t_ei̯	ʨ	1.0
s_u	s	1.0
r_a	r	1.0
oː_́ˀ	a	1.0
oː	a	1.0
o	-	1.0
n_a	n	1.0
l_i	l	1.0
j	-	1.0
iː	-	1.0
i_r	a_r	1.0
eː_ˀ	j	1.0
eː	j	1.0
ei̯	i	1.0
e_́	ɛ	1.0
d_u	d̥	1.0
d_a	d̥	1.0
b	b	1.0
aː_́ˀ	a	1.0
aː	a	1.0
au̯	u	1.0
a_s	ɨ	1.0
m	m	0.857
l	w	0.851
ɡ	ɡ	0.816
p	p	0.668
w	v	0.641
t	t	0.64
d	d	0.615
u	-	0.575
ai̯	ɛ	0.569
sʲ	s	0.567
r	r	0.554
n	n	0.551
ŋ	w̃	0.52
i	-	0.512
a_́	ɔ	0.506
i	ɛ	0.488
ŋ	ŋ	0.48
k	k	0.465
zʲ	z	0.451
sʲ	ɕ	0.433
u	k_i	0.425
d	ʥ	0.385
zʲ	ʑ	0.376
s	ɨ	0.372
s	s	0.369
p	-	0.332
e	u	0.312
e	-	0.312
a_́	u	0.303
n	ɲ	0.298
k	-	0.286
a	ɔ	0.272
a	-	0.263
s	-	0.258
e	ɔ	0.258
k	ʦ	0.249
ai̯	j_a	0.248
t	-	0.234
w	f	0.216
r	ʐ	0.206
a_́	ɨ	0.191
ɡ	ʐ̊	0.184
ai̯	a	0.182
a	r	0.175
zʲ	-	0.173
a	ɛ	0.168
n	w̃	0.151
l	l	0.149
r	-	0.144
w	v_j	0.143
m	-	0.143
t	ʨ	0.125
e	ɛ	0.118
r	ɔ	0.096
a	a	0.078
